,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
43261,"Little Sioux, IA","Magnolia, IA",0,3,4,3,3,1,2,4,1,7,2010
43256,"Little Sioux, IA","Charter Oak, IA",1,2,1,0,3,1,2,1,1,4,2010
43260,"Little Sioux, IA","Little Sioux, IA",1,2,1,0,3,1,3,1,0,4,2010
43255,"Little Sioux, IA","Buck Grove, IA",0,2,1,1,1,1,1,2,0,3,2010
43258,"Little Sioux, IA","Dunlap, IA",0,2,0,0,2,0,0,1,1,2,2010
43268,"Little Sioux, IA","Schleswig, IA",1,1,0,0,1,1,1,1,0,2,2010
43264,"Little Sioux, IA","Panama, IA",1,1,0,1,0,1,1,1,0,2,2010
43253,"Little Sioux, IA","Arcadia, IA",0,1,0,1,0,0,0,1,0,1,2010
43266,"Little Sioux, IA","Randolph, IA",0,1,0,1,0,0,0,1,0,1,2010
43270,"Little Sioux, IA","Tennant, IA",1,0,0,0,0,1,1,0,0,1,2010
43269,"Little Sioux, IA","Soldier, IA",1,0,0,0,0,1,1,0,0,1,2010
43267,"Little Sioux, IA","Rockwell City, IA",0,1,0,1,0,0,0,0,1,1,2010
43262,"Little Sioux, IA","Mondamin, IA",0,1,0,1,0,0,0,1,0,1,2010
43265,"Little Sioux, IA","Portsmouth, IA",0,1,0,0,0,1,0,0,1,1,2010
43263,"Little Sioux, IA","Moorhead, IA",1,0,0,1,0,0,0,1,0,1,2010
43254,"Little Sioux, IA","Bayard, IA",0,0,1,0,1,0,0,1,0,1,2010
43259,"Little Sioux, IA","Harlan, IA",0,0,1,1,0,0,0,0,1,1,2010
43257,"Little Sioux, IA","Council Bluffs, IA",1,0,0,1,0,0,1,0,0,1,2010
43271,"Little Sioux, IA","Woodbine, IA",0,0,1,0,1,0,1,0,0,1,2010
