,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
43399,"Lockridge, IA","Mount Pleasant, IA",25,44,10,45,15,19,15,55,9,79,2010
43401,"Lockridge, IA","Muscatine, IA",12,27,4,43,0,0,2,36,5,43,2010
43428,"Lockridge, IA","West Liberty, IA",14,19,3,36,0,0,0,35,1,36,2010
43396,"Lockridge, IA","Lockridge, IA",8,15,4,16,4,7,9,14,4,27,2010
43366,"Lockridge, IA","Burlington, IA",6,18,2,18,0,8,4,20,2,26,2010
43417,"Lockridge, IA","Salem, IA",5,16,1,13,7,2,6,11,5,22,2010
43408,"Lockridge, IA","Ottumwa, IA",10,11,0,12,2,7,1,17,3,21,2010
43403,"Lockridge, IA","Nichols, IA",5,9,1,14,0,1,1,13,1,15,2010
43424,"Lockridge, IA","Washington, IA",3,7,3,13,0,0,0,13,0,13,2010
43415,"Lockridge, IA","Rome, IA",4,5,3,7,2,3,1,8,3,12,2010
43381,"Lockridge, IA","Fairfield, IA",2,6,4,5,0,7,5,7,0,12,2010
43372,"Lockridge, IA","Columbus Junction, IA",6,4,1,10,1,0,0,10,1,11,2010
43390,"Lockridge, IA","Iowa City, IA",2,6,2,9,1,0,1,2,7,10,2010
43431,"Lockridge, IA","Winfield, IA",4,3,0,7,0,0,1,5,1,7,2010
43423,"Lockridge, IA","Wapello, IA",0,3,2,5,0,0,0,5,0,5,2010
43376,"Lockridge, IA","Davenport, IA",1,4,0,5,0,0,2,3,0,5,2010
43383,"Lockridge, IA","Fort Madison, IA",1,3,0,3,0,1,0,2,2,4,2010
43397,"Lockridge, IA","Lone Tree, IA",0,3,1,4,0,0,0,4,0,4,2010
43425,"Lockridge, IA","Wayland, IA",0,2,2,2,1,1,1,3,0,4,2010
43427,"Lockridge, IA","West Burlington, IA",0,4,0,3,0,1,0,4,0,4,2010
43362,"Lockridge, IA","Blue Grass, IA",2,2,0,4,0,0,0,1,3,4,2010
43419,"Lockridge, IA","St. Paul, IA",1,2,1,1,3,0,1,2,1,4,2010
43404,"Lockridge, IA","North Liberty, IA",2,1,0,3,0,0,1,1,1,3,2010
