,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
47725,"McCausland, IA","Princeton, IA",3,4,0,3,4,0,2,5,0,7,2010
47719,"McCausland, IA","Davenport, IA",3,2,1,2,4,0,1,3,2,6,2010
47718,"McCausland, IA","Clinton, IA",0,2,0,2,0,0,0,0,2,2,2010
47722,"McCausland, IA","Long Grove, IA",2,0,0,2,0,0,1,1,0,2,2010
47717,"McCausland, IA","Bettendorf, IA",0,1,0,0,1,0,1,0,0,1,2010
47720,"McCausland, IA","De Witt, IA",0,1,0,1,0,0,0,1,0,1,2010
47721,"McCausland, IA","Le Claire, IA",1,0,0,1,0,0,0,1,0,1,2010
47723,"McCausland, IA","McCausland, IA",0,1,0,0,1,0,1,0,0,1,2010
47724,"McCausland, IA","Panorama Park, IA",1,0,0,1,0,0,0,1,0,1,2010
47726,"McCausland, IA","Riverdale, IA",0,1,0,1,0,0,0,1,0,1,2010
