,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
49763,"Moorhead, IA","Soldier, IA",0,4,3,3,4,0,2,5,0,7,2010
49757,"Moorhead, IA","Moorhead, IA",0,3,2,2,1,2,3,1,1,5,2010
49752,"Moorhead, IA","Castana, IA",0,2,0,0,0,2,0,1,1,2,2010
49760,"Moorhead, IA","Portsmouth, IA",0,0,2,0,2,0,2,0,0,2,2010
49761,"Moorhead, IA","Quimby, IA",1,1,0,1,1,0,0,1,1,2,2010
49762,"Moorhead, IA","Sioux City, IA",1,1,0,0,0,2,0,2,0,2,2010
49751,"Moorhead, IA","Audubon, IA",0,0,1,0,0,1,0,1,0,1,2010
49753,"Moorhead, IA","Charter Oak, IA",0,0,1,0,1,0,1,0,0,1,2010
49754,"Moorhead, IA","Guthrie Center, IA",0,1,0,1,0,0,0,1,0,1,2010
49755,"Moorhead, IA","Little Sioux, IA",0,1,0,0,1,0,0,1,0,1,2010
49756,"Moorhead, IA","Logan, IA",0,1,0,1,0,0,0,0,1,1,2010
49758,"Moorhead, IA","Onawa, IA",0,1,0,0,1,0,1,0,0,1,2010
49759,"Moorhead, IA","Panama, IA",0,1,0,0,0,1,0,0,1,1,2010
