,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54108,"Norwalk, IA","Des Moines, IA",388,716,216,186,906,228,379,709,232,1320,2010
54263,"Norwalk, IA","Norwalk, IA",195,460,153,58,627,123,253,298,257,808,2010
54288,"Norwalk, IA","Pleasant Hill, IA",95,237,49,46,256,79,99,187,95,381,2010
54084,"Norwalk, IA","Clive, IA",100,201,46,12,264,71,93,54,200,347,2010
54037,"Norwalk, IA","Ankeny, IA",83,195,40,10,245,63,77,95,146,318,2010
54381,"Norwalk, IA","Windsor Heights, IA",80,176,60,10,245,61,79,93,144,316,2010
54376,"Norwalk, IA","West Des Moines, IA",100,143,55,16,234,48,81,107,110,298,2010
54358,"Norwalk, IA","Urbandale, IA",51,123,38,7,158,47,54,61,97,212,2010
54063,"Norwalk, IA","Carlisle, IA",46,126,33,17,154,34,54,70,81,205,2010
54369,"Norwalk, IA","Waukee, IA",25,103,21,2,122,25,32,24,93,149,2010
54032,"Norwalk, IA","Altoona, IA",26,94,23,2,113,28,30,55,58,143,2010
54173,"Norwalk, IA","Indianola, IA",36,72,32,8,102,30,43,57,40,140,2010
54180,"Norwalk, IA","Johnston, IA",27,71,18,7,95,14,21,30,65,116,2010
54334,"Norwalk, IA","Spring Hill, IA",24,60,23,12,82,13,30,42,35,107,2010
54033,"Norwalk, IA","Ames, IA",28,33,11,2,28,42,35,20,17,72,2010
54070,"Norwalk, IA","Cedar Rapids, IA",18,33,11,1,35,26,24,15,23,62,2010
54337,"Norwalk, IA","St. Marys, IA",13,30,17,4,44,12,23,21,16,60,2010
54152,"Norwalk, IA","Grimes, IA",8,37,7,4,37,11,13,14,25,52,2010
54103,"Norwalk, IA","De Soto, IA",4,29,7,3,34,3,5,12,23,40,2010
54056,"Norwalk, IA","Boone, IA",17,19,4,2,30,8,15,16,9,40,2010
54187,"Norwalk, IA","Knoxville, IA",10,20,6,1,29,6,6,21,9,36,2010
54022,"Norwalk, IA","Ackworth, IA",4,26,6,2,23,11,9,14,13,36,2010
54284,"Norwalk, IA","Patterson, IA",3,23,6,0,28,4,7,9,16,32,2010
54291,"Norwalk, IA","Polk City, IA",9,20,2,1,20,10,7,3,21,31,2010
54137,"Norwalk, IA","Fort Dodge, IA",12,13,5,1,13,16,14,12,4,30,2010
54383,"Norwalk, IA","Winterset, IA",9,13,8,1,25,4,8,10,12,30,2010
54176,"Norwalk, IA","Iowa City, IA",16,9,5,0,15,15,13,12,5,30,2010
54238,"Norwalk, IA","Mitchellville, IA",6,18,5,3,18,8,7,7,15,29,2010
54146,"Norwalk, IA","Granger, IA",3,19,5,3,18,6,6,4,17,27,2010
54109,"Norwalk, IA","Dexter, IA",4,18,4,2,22,2,5,12,9,26,2010
54224,"Norwalk, IA","Marshalltown, IA",15,9,1,0,11,14,18,2,5,25,2010
54274,"Norwalk, IA","Ottumwa, IA",10,6,8,1,9,14,15,4,5,24,2010
54330,"Norwalk, IA","Sioux City, IA",9,10,4,0,10,13,13,5,5,23,2010
54368,"Norwalk, IA","Waterloo, IA",7,13,2,0,12,10,12,7,3,22,2010
54101,"Norwalk, IA","Davenport, IA",8,12,1,0,11,10,11,7,3,21,2010
54312,"Norwalk, IA","Runnells, IA",2,17,1,0,15,5,3,13,4,20,2010
54096,"Norwalk, IA","Creston, IA",3,12,4,1,9,9,8,3,8,19,2010
54318,"Norwalk, IA","Sandyville, IA",6,9,4,2,13,4,10,4,5,19,2010
54257,"Norwalk, IA","Newton, IA",6,10,2,1,10,7,3,9,6,18,2010
54286,"Norwalk, IA","Perry, IA",4,9,5,2,11,5,5,7,6,18,2010
54231,"Norwalk, IA","Melcher-Dallas, IA",8,8,2,2,13,3,2,12,4,18,2010
54170,"Norwalk, IA","Huxley, IA",5,11,1,0,14,3,4,5,8,17,2010
54216,"Norwalk, IA","Madrid, IA",5,8,3,0,6,10,3,4,9,16,2010
54069,"Norwalk, IA","Cedar Falls, IA",6,8,2,0,10,6,3,6,7,16,2010
54227,"Norwalk, IA","Mason City, IA",9,6,1,3,8,5,7,8,1,16,2010
