,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
56074,"Oskaloosa, IA","Oskaloosa, IA",330,655,258,336,706,201,408,491,344,1243,2010
56143,"Oskaloosa, IA","University Park, IA",145,355,137,184,373,80,191,253,193,637,2010
55891,"Oskaloosa, IA","Bussey, IA",48,116,45,50,126,33,71,85,53,209,2010
56076,"Oskaloosa, IA","Ottumwa, IA",40,98,34,74,63,35,37,75,60,172,2010
56063,"Oskaloosa, IA","New Sharon, IA",36,61,37,38,72,24,35,60,39,134,2010
56012,"Oskaloosa, IA","Knoxville, IA",17,62,13,28,43,21,25,29,38,92,2010
55972,"Oskaloosa, IA","Fremont, IA",17,42,22,26,46,9,24,33,24,81,2010
56083,"Oskaloosa, IA","Pella, IA",12,53,14,28,39,12,22,25,32,79,2010
55857,"Oskaloosa, IA","Albia, IA",11,48,13,20,32,20,25,22,25,72,2010
55946,"Oskaloosa, IA","Eddyville, IA",13,26,9,14,32,2,14,15,19,48,2010
55937,"Oskaloosa, IA","Des Moines, IA",18,14,11,4,22,17,18,17,8,43,2010
56124,"Oskaloosa, IA","Sigourney, IA",6,29,8,20,18,5,3,30,10,43,2010
55855,"Oskaloosa, IA","Agency, IA",5,18,4,10,13,4,9,6,12,27,2010
55900,"Oskaloosa, IA","Cedar Rapids, IA",13,8,5,4,9,13,8,9,9,26,2010
55988,"Oskaloosa, IA","Harvey, IA",9,11,4,5,15,4,11,7,6,24,2010
55890,"Oskaloosa, IA","Burlington, IA",6,16,0,11,10,1,4,10,8,22,2010
55960,"Oskaloosa, IA","Fairfield, IA",2,15,5,3,16,3,5,10,7,22,2010
55879,"Oskaloosa, IA","Blakesburg, IA",8,9,3,9,8,3,6,4,10,20,2010
55998,"Oskaloosa, IA","Indianola, IA",3,13,4,0,10,10,8,7,5,20,2010
56145,"Oskaloosa, IA","Urbandale, IA",7,9,3,2,6,11,7,4,8,19,2010
56059,"Oskaloosa, IA","Muscatine, IA",4,9,5,8,8,2,2,10,6,18,2010
55861,"Oskaloosa, IA","Ames, IA",8,7,2,0,9,8,9,7,1,17,2010
56039,"Oskaloosa, IA","Melcher-Dallas, IA",2,13,2,5,9,3,6,1,10,17,2010
55863,"Oskaloosa, IA","Ankeny, IA",8,7,2,5,9,3,7,3,7,17,2010
56000,"Oskaloosa, IA","Iowa City, IA",5,9,2,2,10,4,6,5,5,16,2010
56168,"Oskaloosa, IA","Windsor Heights, IA",7,8,1,1,8,7,9,1,6,16,2010
56158,"Oskaloosa, IA","Webster, IA",2,11,3,5,7,4,2,11,3,16,2010
56108,"Oskaloosa, IA","Richland, IA",6,4,5,5,9,1,5,4,6,15,2010
56034,"Oskaloosa, IA","Marshalltown, IA",3,8,4,1,6,8,7,8,0,15,2010
56009,"Oskaloosa, IA","Kirkville, IA",2,8,4,6,6,2,6,4,4,14,2010
56089,"Oskaloosa, IA","Pleasantville, IA",4,7,3,4,9,1,3,8,3,14,2010
55905,"Oskaloosa, IA","Chariton, IA",3,8,3,1,7,6,3,2,9,14,2010
56045,"Oskaloosa, IA","Monroe, IA",4,7,3,4,8,2,5,4,5,14,2010
56050,"Oskaloosa, IA","Moravia, IA",7,6,0,4,6,3,9,0,4,13,2010
56027,"Oskaloosa, IA","Lynnville, IA",3,7,3,5,4,4,4,4,5,13,2010
55928,"Oskaloosa, IA","Davenport, IA",6,5,2,1,2,10,4,7,2,13,2010
56054,"Oskaloosa, IA","Moulton, IA",3,6,4,3,6,4,1,8,4,13,2010
55912,"Oskaloosa, IA","Clive, IA",4,2,7,2,9,2,4,3,6,13,2010
56152,"Oskaloosa, IA","Washington, IA",4,4,4,1,8,3,4,6,2,12,2010
56126,"Oskaloosa, IA","Sioux City, IA",6,4,2,1,3,8,5,4,3,12,2010
56116,"Oskaloosa, IA","Russell, IA",5,3,4,3,5,4,6,5,1,12,2010
56163,"Oskaloosa, IA","West Des Moines, IA",6,4,2,1,6,5,3,3,6,12,2010
55899,"Oskaloosa, IA","Cedar Falls, IA",3,6,2,0,7,4,7,3,1,11,2010
56069,"Oskaloosa, IA","Norwalk, IA",4,7,0,1,3,7,5,1,5,11,2010
55985,"Oskaloosa, IA","Guernsey, IA",7,2,2,5,4,2,7,2,2,11,2010
56064,"Oskaloosa, IA","Newton, IA",4,6,1,2,3,6,4,4,3,11,2010
56165,"Oskaloosa, IA","What Cheer, IA",3,5,3,5,6,0,2,4,5,11,2010
56035,"Oskaloosa, IA","Marysville, IA",3,4,3,3,3,4,3,3,4,10,2010
55934,"Oskaloosa, IA","Delta, IA",2,4,4,4,5,1,2,5,3,10,2010
55991,"Oskaloosa, IA","Hiawatha, IA",3,6,1,2,4,4,3,5,2,10,2010
56087,"Oskaloosa, IA","Pleasant Hill, IA",3,6,1,1,5,4,4,5,1,10,2010
55976,"Oskaloosa, IA","Gibson, IA",1,6,3,3,6,1,2,4,4,10,2010
55941,"Oskaloosa, IA","Dubuque, IA",4,5,0,1,8,0,2,4,3,9,2010
55895,"Oskaloosa, IA","Carlisle, IA",4,4,1,0,2,7,5,4,0,9,2010
56148,"Oskaloosa, IA","Vinton, IA",4,5,0,1,7,1,7,1,1,9,2010
56006,"Oskaloosa, IA","Keokuk, IA",0,8,1,7,1,1,1,5,3,9,2010
56130,"Oskaloosa, IA","St. Marys, IA",5,1,2,0,6,2,1,5,2,8,2010
56046,"Oskaloosa, IA","Montezuma, IA",4,0,4,4,4,0,5,2,1,8,2010
55877,"Oskaloosa, IA","Bettendorf, IA",3,4,1,2,2,4,3,3,2,8,2010
55880,"Oskaloosa, IA","Bloomfield, IA",3,5,0,2,4,2,1,6,1,8,2010
56170,"Oskaloosa, IA","Winterset, IA",3,5,0,3,1,4,2,0,6,8,2010
55977,"Oskaloosa, IA","Gilman, IA",2,5,1,4,4,0,2,5,1,8,2010
56153,"Oskaloosa, IA","Waterloo, IA",1,6,1,1,5,2,3,3,2,8,2010
56003,"Oskaloosa, IA","Johnston, IA",4,2,2,0,5,3,5,2,1,8,2010
55903,"Oskaloosa, IA","Centerville, IA",3,5,0,3,4,1,1,2,5,8,2010
55990,"Oskaloosa, IA","Hedrick, IA",4,2,2,2,6,0,3,3,2,8,2010
55948,"Oskaloosa, IA","Eldon, IA",2,3,2,2,2,3,3,2,2,7,2010
56005,"Oskaloosa, IA","Kellogg, IA",3,4,0,0,5,2,1,3,3,7,2010
55922,"Oskaloosa, IA","Council Bluffs, IA",2,4,1,1,2,4,5,2,0,7,2010
56079,"Oskaloosa, IA","Packwood, IA",0,6,1,2,3,2,2,3,2,7,2010
56138,"Oskaloosa, IA","Toledo, IA",3,2,1,1,1,4,2,3,1,6,2010
56086,"Oskaloosa, IA","Plano, IA",2,4,0,3,2,1,1,2,3,6,2010
55908,"Oskaloosa, IA","Cincinnati, IA",1,3,2,4,2,0,1,2,3,6,2010
56013,"Oskaloosa, IA","Lacona, IA",1,2,3,0,3,3,5,0,1,6,2010
55913,"Oskaloosa, IA","Colfax, IA",0,5,1,2,1,3,2,2,2,6,2010
56142,"Oskaloosa, IA","University Heights, IA",1,2,3,1,4,1,1,2,3,6,2010
56057,"Oskaloosa, IA","Mount Pleasant, IA",4,1,1,1,3,2,6,0,0,6,2010
55860,"Oskaloosa, IA","Altoona, IA",0,3,2,2,2,1,2,3,0,5,2010
55971,"Oskaloosa, IA","Fort Madison, IA",1,2,2,3,1,1,1,3,1,5,2010
56073,"Oskaloosa, IA","Osceola, IA",1,4,0,0,2,3,1,2,2,5,2010
55930,"Oskaloosa, IA","De Soto, IA",3,1,1,0,0,5,3,1,1,5,2010
56154,"Oskaloosa, IA","Waukee, IA",1,3,1,0,4,1,2,1,2,5,2010
55911,"Oskaloosa, IA","Clio, IA",3,1,1,0,0,5,3,2,0,5,2010
55965,"Oskaloosa, IA","Floris, IA",1,4,0,4,1,0,1,1,3,5,2010
55887,"Oskaloosa, IA","Brooklyn, IA",3,2,0,1,2,2,2,2,1,5,2010
