,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
63694,"Rutland, IA","Humboldt, IA",2,3,6,8,2,1,3,6,2,11,2010
63699,"Rutland, IA","Ottosen, IA",2,3,4,6,1,2,4,4,1,9,2010
63688,"Rutland, IA","Dakota City, IA",2,4,0,5,0,1,0,5,1,6,2010
63693,"Rutland, IA","Havelock, IA",1,2,1,2,2,0,3,1,0,4,2010
63704,"Rutland, IA","Rutland, IA",0,2,1,1,1,1,1,0,2,3,2010
63701,"Rutland, IA","Pomeroy, IA",0,2,1,1,0,2,0,2,1,3,2010
63696,"Rutland, IA","Livermore, IA",1,0,1,1,0,1,1,1,0,2,2010
63689,"Rutland, IA","Eagle Grove, IA",1,1,0,2,0,0,0,2,0,2,2010
63690,"Rutland, IA","Fort Dodge, IA",0,2,0,1,1,0,1,0,1,2,2010
63698,"Rutland, IA","Milford, IA",0,2,0,0,0,2,0,1,1,2,2010
63703,"Rutland, IA","Rockwell City, IA",0,1,0,0,0,1,0,1,0,1,2010
63702,"Rutland, IA","Randalia, IA",1,0,0,1,0,0,0,1,0,1,2010
63700,"Rutland, IA","Perry, IA",0,1,0,0,1,0,1,0,0,1,2010
63686,"Rutland, IA","Algona, IA",1,0,0,0,0,1,0,1,0,1,2010
63697,"Rutland, IA","Manson, IA",0,1,0,0,0,1,0,0,1,1,2010
63687,"Rutland, IA","Ashton, IA",0,1,0,1,0,0,1,0,0,1,2010
63695,"Rutland, IA","Laurens, IA",0,1,0,0,0,1,0,1,0,1,2010
63692,"Rutland, IA","Hardy, IA",0,1,0,1,0,0,0,0,1,1,2010
63691,"Rutland, IA","Goldfield, IA",0,0,1,1,0,0,0,1,0,1,2010
63705,"Rutland, IA","Whittemore, IA",0,0,1,1,0,0,0,1,0,1,2010
