,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
64266,"Sandyville, IA","St. Marys, IA",2,7,1,6,2,2,5,2,3,10,2010
64255,"Sandyville, IA","Indianola, IA",1,4,2,2,5,0,6,1,0,7,2010
64256,"Sandyville, IA","Lacona, IA",1,5,0,1,2,3,1,4,1,6,2010
64244,"Sandyville, IA","Ackworth, IA",1,4,0,1,3,1,2,3,0,5,2010
64259,"Sandyville, IA","Melcher-Dallas, IA",1,3,0,0,0,4,2,2,0,4,2010
64265,"Sandyville, IA","Sandyville, IA",2,1,1,0,1,3,0,4,0,4,2010
64250,"Sandyville, IA","Des Moines, IA",0,2,1,2,1,0,0,3,0,3,2010
64248,"Sandyville, IA","Clio, IA",1,0,1,0,0,2,1,1,0,2,2010
64261,"Sandyville, IA","Osceola, IA",1,1,0,0,1,1,1,1,0,2,2010
64268,"Sandyville, IA","Waukee, IA",1,0,0,0,0,1,0,1,0,1,2010
64267,"Sandyville, IA","Urbana, IA",0,1,0,0,0,1,0,1,0,1,2010
64264,"Sandyville, IA","Pleasant Hill, IA",0,1,0,1,0,0,0,1,0,1,2010
64263,"Sandyville, IA","Plano, IA",0,1,0,0,1,0,1,0,0,1,2010
64262,"Sandyville, IA","Panama, IA",0,1,0,0,0,1,0,0,1,1,2010
64260,"Sandyville, IA","Newton, IA",0,0,1,1,0,0,0,0,1,1,2010
64257,"Sandyville, IA","Lamoni, IA",1,0,0,0,0,1,0,1,0,1,2010
64258,"Sandyville, IA","Mechanicsville, IA",0,1,0,0,0,1,0,1,0,1,2010
64245,"Sandyville, IA","Albion, IA",0,0,1,0,0,1,1,0,0,1,2010
64254,"Sandyville, IA","Grinnell, IA",0,1,0,0,1,0,1,0,0,1,2010
64253,"Sandyville, IA","Farley, IA",1,0,0,0,1,0,0,1,0,1,2010
64252,"Sandyville, IA","Fairbank, IA",0,1,0,0,0,1,0,1,0,1,2010
64251,"Sandyville, IA","Eddyville, IA",0,1,0,0,1,0,1,0,0,1,2010
64249,"Sandyville, IA","Clive, IA",0,1,0,0,1,0,0,1,0,1,2010
64247,"Sandyville, IA","Chariton, IA",0,1,0,0,0,1,0,0,1,1,2010
64246,"Sandyville, IA","Centerville, IA",0,0,1,0,0,1,1,0,0,1,2010
64269,"Sandyville, IA","Windsor Heights, IA",0,1,0,1,0,0,0,1,0,1,2010
