,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
68378,"St. Olaf, IA","Elkader, IA",12,26,13,25,20,6,20,13,18,51,2010
68389,"St. Olaf, IA","Guttenberg, IA",10,14,7,20,8,3,7,11,13,31,2010
68421,"St. Olaf, IA","St. Olaf, IA",4,15,11,18,8,4,6,7,17,30,2010
68403,"St. Olaf, IA","Monona, IA",3,18,4,21,3,1,3,3,19,25,2010
68385,"St. Olaf, IA","Garnavillo, IA",7,13,3,14,7,2,6,9,8,23,2010
68397,"St. Olaf, IA","Luana, IA",5,16,1,16,5,1,4,4,14,22,2010
68422,"St. Olaf, IA","Strawberry Point, IA",5,5,3,7,6,0,1,5,7,13,2010
68383,"St. Olaf, IA","Farmersburg, IA",2,5,3,7,2,1,2,2,6,10,2010
68400,"St. Olaf, IA","Marquette, IA",1,5,3,7,0,2,2,0,7,9,2010
68424,"St. Olaf, IA","Wadena, IA",2,3,4,6,3,0,1,2,6,9,2010
68402,"St. Olaf, IA","Millville, IA",2,3,4,5,4,0,1,4,4,9,2010
68379,"St. Olaf, IA","Elkport, IA",2,5,1,7,1,0,1,2,5,8,2010
68372,"St. Olaf, IA","Delaware, IA",0,5,2,3,2,2,0,5,2,7,2010
68414,"St. Olaf, IA","Randalia, IA",1,2,1,3,1,0,0,2,2,4,2010
68371,"St. Olaf, IA","Decorah, IA",0,4,0,4,0,0,0,0,4,4,2010
68398,"St. Olaf, IA","Manchester, IA",0,2,1,1,1,1,0,1,2,3,2010
68374,"St. Olaf, IA","Dubuque, IA",0,1,2,0,3,0,1,1,1,3,2010
68368,"St. Olaf, IA","Castalia, IA",0,2,1,2,1,0,1,1,1,3,2010
68369,"St. Olaf, IA","Cedar Rapids, IA",0,3,0,3,0,0,0,0,3,3,2010
68390,"St. Olaf, IA","Harpers Ferry, IA",1,2,0,3,0,0,0,0,3,3,2010
68366,"St. Olaf, IA","Asbury, IA",0,2,0,0,1,1,0,2,0,2,2010
68427,"St. Olaf, IA","West Union, IA",1,1,0,2,0,0,0,0,2,2,2010
68394,"St. Olaf, IA","Kalona, IA",2,0,0,2,0,0,0,0,2,2,2010
68416,"St. Olaf, IA","Ridgeway, IA",0,1,1,2,0,0,0,0,2,2,2010
68408,"St. Olaf, IA","Oelwein, IA",0,2,0,0,1,1,0,0,2,2,2010
68418,"St. Olaf, IA","Robins, IA",0,2,0,2,0,0,0,1,1,2,2010
68407,"St. Olaf, IA","New Vienna, IA",0,2,0,2,0,0,0,0,2,2,2010
68382,"St. Olaf, IA","Farley, IA",2,0,0,1,1,0,0,1,1,2,2010
68426,"St. Olaf, IA","West Des Moines, IA",0,2,0,2,0,0,0,0,2,2,2010
68377,"St. Olaf, IA","Elgin, IA",1,1,0,2,0,0,0,1,1,2,2010
68423,"St. Olaf, IA","University Heights, IA",0,1,1,0,2,0,0,2,0,2,2010
68425,"St. Olaf, IA","Waukon, IA",0,1,1,1,1,0,0,1,1,2,2010
68419,"St. Olaf, IA","Shell Rock, IA",0,1,0,1,0,0,0,0,1,1,2010
68415,"St. Olaf, IA","Readlyn, IA",1,0,0,1,0,0,0,1,0,1,2010
68420,"St. Olaf, IA","Spring Hill, IA",0,1,0,1,0,0,0,0,1,1,2010
68413,"St. Olaf, IA","Prairieburg, IA",0,0,1,1,0,0,0,0,1,1,2010
68412,"St. Olaf, IA","Postville, IA",1,0,0,1,0,0,0,1,0,1,2010
68411,"St. Olaf, IA","Peosta, IA",0,1,0,1,0,0,0,0,1,1,2010
68410,"St. Olaf, IA","Parkersburg, IA",0,1,0,1,0,0,0,0,1,1,2010
68409,"St. Olaf, IA","Ogden, IA",0,1,0,1,0,0,0,1,0,1,2010
68417,"St. Olaf, IA","Riverside, IA",0,0,1,0,1,0,1,0,0,1,2010
68365,"St. Olaf, IA","Arlington, IA",0,1,0,0,0,1,0,0,1,1,2010
68406,"St. Olaf, IA","New Hampton, IA",0,1,0,0,0,1,0,0,1,1,2010
68405,"St. Olaf, IA","Mount Pleasant, IA",1,0,0,1,0,0,1,0,0,1,2010
68367,"St. Olaf, IA","Bennett, IA",0,1,0,1,0,0,0,0,1,1,2010
68370,"St. Olaf, IA","Chariton, IA",0,1,0,1,0,0,0,0,1,1,2010
68373,"St. Olaf, IA","Des Moines, IA",0,1,0,1,0,0,0,0,1,1,2010
68375,"St. Olaf, IA","Dyersville, IA",0,1,0,0,0,1,0,1,0,1,2010
68376,"St. Olaf, IA","Elberon, IA",1,0,0,1,0,0,0,0,1,1,2010
68380,"St. Olaf, IA","Epworth, IA",0,1,0,1,0,0,0,0,1,1,2010
68381,"St. Olaf, IA","Fairfield, IA",0,1,0,1,0,0,0,0,1,1,2010
68384,"St. Olaf, IA","Fayette, IA",1,0,0,1,0,0,0,0,1,1,2010
68386,"St. Olaf, IA","Gilman, IA",0,1,0,1,0,0,0,0,1,1,2010
68387,"St. Olaf, IA","Greeley, IA",0,1,0,0,1,0,0,1,0,1,2010
68388,"St. Olaf, IA","Greene, IA",0,0,1,1,0,0,0,1,0,1,2010
68391,"St. Olaf, IA","Hazleton, IA",0,1,0,0,1,0,0,1,0,1,2010
68392,"St. Olaf, IA","Hiawatha, IA",0,1,0,0,0,1,0,0,1,1,2010
68393,"St. Olaf, IA","Johnston, IA",0,1,0,0,1,0,0,1,0,1,2010
68395,"St. Olaf, IA","Lakota, IA",0,1,0,1,0,0,0,1,0,1,2010
68396,"St. Olaf, IA","Lowden, IA",0,0,1,1,0,0,0,0,1,1,2010
68399,"St. Olaf, IA","Marion, IA",0,1,0,1,0,0,0,0,1,1,2010
68401,"St. Olaf, IA","Mason City, IA",0,1,0,1,0,0,0,0,1,1,2010
68404,"St. Olaf, IA","Morley, IA",0,0,1,0,0,1,0,1,0,1,2010
