,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
71008,"Tipton, IA","Tipton, IA",203,318,175,63,526,107,282,281,133,696,2010
71024,"Tipton, IA","West Branch, IA",24,43,29,12,63,21,31,44,21,96,2010
70883,"Tipton, IA","Bennett, IA",14,37,23,9,49,16,26,30,18,74,2010
70966,"Tipton, IA","Mechanicsville, IA",9,38,17,13,45,6,22,33,9,64,2010
71029,"Tipton, IA","Wheatland, IA",15,20,9,8,31,5,11,20,13,44,2010
70972,"Tipton, IA","Muscatine, IA",18,20,5,3,38,2,10,27,6,43,2010
70958,"Tipton, IA","Lowden, IA",12,22,5,2,28,9,15,18,6,39,2010
71031,"Tipton, IA","Wilton, IA",6,26,6,8,21,9,10,22,6,38,2010
70902,"Tipton, IA","Clarence, IA",12,21,4,1,28,8,16,17,4,37,2010
70955,"Tipton, IA","Lisbon, IA",10,19,4,6,22,5,9,18,6,33,2010
70879,"Tipton, IA","Atalissa, IA",4,18,9,5,21,5,9,15,7,31,2010
70945,"Tipton, IA","Iowa City, IA",7,15,7,8,16,5,10,8,11,29,2010
70915,"Tipton, IA","Davenport, IA",6,12,4,8,8,6,4,14,4,22,2010
70897,"Tipton, IA","Cedar Rapids, IA",6,11,3,2,13,5,8,9,3,20,2010
70924,"Tipton, IA","Durant, IA",1,14,1,3,9,4,4,6,6,16,2010
70875,"Tipton, IA","Anamosa, IA",5,8,3,3,10,3,11,1,4,16,2010
70898,"Tipton, IA","Center Junction, IA",2,9,1,3,7,2,1,6,5,12,2010
70911,"Tipton, IA","Coralville, IA",2,8,1,4,5,2,3,4,4,11,2010
70923,"Tipton, IA","Dubuque, IA",3,5,3,1,8,2,5,3,3,11,2010
70971,"Tipton, IA","Morley, IA",1,6,3,3,4,3,1,7,2,10,2010
70916,"Tipton, IA","De Witt, IA",1,8,0,0,6,3,1,6,2,9,2010
71028,"Tipton, IA","West Liberty, IA",2,5,1,1,5,2,0,7,1,8,2010
70983,"Tipton, IA","Oxford, IA",0,6,1,0,7,0,1,3,3,7,2010
70995,"Tipton, IA","Riverside, IA",1,5,1,0,6,1,4,0,3,7,2010
70977,"Tipton, IA","North Liberty, IA",1,6,0,4,2,1,0,3,4,7,2010
70990,"Tipton, IA","Preston, IA",3,1,2,1,4,1,0,4,2,6,2010
71012,"Tipton, IA","Urbana, IA",0,5,1,1,3,2,0,3,3,6,2010
70920,"Tipton, IA","Des Moines, IA",0,5,1,2,3,1,1,2,3,6,2010
70905,"Tipton, IA","Clinton, IA",3,3,0,1,3,2,0,2,4,6,2010
70892,"Tipton, IA","Burlington, IA",1,2,3,3,3,0,2,2,2,6,2010
70959,"Tipton, IA","Manchester, IA",1,1,3,1,2,2,3,1,1,5,2010
