,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
758,"Agency, IA","Ottumwa, IA",96,267,140,98,336,69,130,210,163,503,2011
704,"Agency, IA","Fairfield, IA",11,30,12,22,26,5,6,24,23,53,2011
669,"Agency, IA","Batavia, IA",8,22,8,3,28,7,12,19,7,38,2011
698,"Agency, IA","Eddyville, IA",4,22,6,12,8,12,8,11,13,32,2011
693,"Agency, IA","Des Moines, IA",7,19,6,6,20,6,6,12,14,32,2011
699,"Agency, IA","Eldon, IA",4,17,9,1,11,18,11,14,5,30,2011
662,"Agency, IA","Albia, IA",3,14,7,9,8,7,2,18,4,24,2011
679,"Agency, IA","Bussey, IA",4,13,5,11,9,2,4,4,14,22,2011
728,"Agency, IA","Kirkville, IA",3,13,4,19,0,1,3,7,10,20,2011
665,"Agency, IA","Ankeny, IA",3,6,8,6,2,9,3,7,7,17,2011
739,"Agency, IA","Melcher-Dallas, IA",0,10,7,15,2,0,1,8,8,17,2011
683,"Agency, IA","Centerville, IA",2,13,2,8,6,3,4,4,9,17,2011
757,"Agency, IA","Oskaloosa, IA",5,9,3,3,8,6,11,3,3,17,2011
773,"Agency, IA","Richland, IA",2,8,6,2,2,12,1,8,7,16,2011
664,"Agency, IA","Ames, IA",6,6,4,0,9,7,7,4,5,16,2011
675,"Agency, IA","Bloomfield, IA",7,5,3,1,10,4,8,7,0,15,2011
785,"Agency, IA","University Park, IA",1,10,3,3,8,3,4,4,6,14,2011
736,"Agency, IA","Marshalltown, IA",2,6,5,0,5,8,5,3,5,13,2011
674,"Agency, IA","Blakesburg, IA",3,4,5,2,4,6,4,3,5,12,2011
682,"Agency, IA","Cedar Rapids, IA",6,4,2,1,6,5,3,7,2,12,2011
661,"Agency, IA","Agency, IA",2,5,4,0,9,2,6,3,2,11,2011
722,"Agency, IA","Iowa City, IA",2,3,5,1,7,2,3,2,5,10,2011
724,"Agency, IA","Johnston, IA",2,7,1,1,3,6,1,5,4,10,2011
686,"Agency, IA","Clive, IA",4,3,2,0,4,5,5,0,4,9,2011
788,"Agency, IA","Waterloo, IA",4,4,1,2,5,2,2,4,3,9,2011
746,"Agency, IA","Mount Pleasant, IA",1,4,4,0,2,7,2,3,4,9,2011
763,"Agency, IA","Pleasant Hill, IA",3,2,3,1,0,7,1,5,2,8,2011
681,"Agency, IA","Cedar Falls, IA",4,4,0,0,3,5,3,3,2,8,2011
678,"Agency, IA","Burlington, IA",1,5,2,1,4,3,3,2,3,8,2011
673,"Agency, IA","Bettendorf, IA",3,3,1,0,2,5,3,2,2,7,2011
716,"Agency, IA","Hiawatha, IA",2,3,2,1,3,3,3,2,2,7,2011
770,"Agency, IA","Rathbun, IA",2,2,2,0,5,1,4,0,2,6,2011
796,"Agency, IA","Windsor Heights, IA",5,0,1,0,2,4,5,0,1,6,2011
726,"Agency, IA","Keosauqua, IA",1,3,2,3,2,1,0,2,4,6,2011
779,"Agency, IA","Sigourney, IA",1,5,0,0,4,2,0,5,1,6,2011
711,"Agency, IA","Grinnell, IA",5,0,1,1,3,2,2,3,1,6,2011
