,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
8511,"Bristow, IA","Hampton, IA",12,38,13,8,47,8,18,26,19,63,2011
8486,"Bristow, IA","Cedar Falls, IA",9,27,6,11,29,2,13,15,14,42,2011
8549,"Bristow, IA","Waterloo, IA",8,17,12,7,24,6,8,15,14,37,2011
8535,"Bristow, IA","Parkersburg, IA",6,12,17,7,21,7,10,13,12,35,2011
8517,"Bristow, IA","Iowa Falls, IA",8,23,3,9,19,6,9,17,8,34,2011
8551,"Bristow, IA","Waverly, IA",8,15,10,12,17,4,6,13,14,33,2011
8484,"Bristow, IA","Bristow, IA",4,11,18,0,24,9,13,13,7,33,2011
8479,"Bristow, IA","Allison, IA",8,13,7,5,21,2,9,14,5,28,2011
8542,"Bristow, IA","Sheffield, IA",2,5,11,18,0,0,1,12,5,18,2011
8488,"Bristow, IA","Charles City, IA",0,11,3,10,2,2,3,3,8,14,2011
8487,"Bristow, IA","Cedar Rapids, IA",2,10,1,2,8,3,5,3,5,13,2011
8497,"Bristow, IA","Dougherty, IA",2,6,5,10,0,3,4,7,2,13,2011
8489,"Bristow, IA","Clarksville, IA",3,5,4,2,8,2,5,5,2,12,2011
8525,"Bristow, IA","Mason City, IA",4,5,3,3,7,2,5,7,0,12,2011
8518,"Bristow, IA","Janesville, IA",5,6,0,10,0,1,1,2,8,11,2011
8477,"Bristow, IA","Ackley, IA",2,6,3,1,10,0,7,2,2,11,2011
8504,"Bristow, IA","Evansdale, IA",3,4,1,2,6,0,4,4,0,8,2011
8502,"Bristow, IA","Elk Run Heights, IA",4,4,0,7,0,1,1,3,4,8,2011
8534,"Bristow, IA","Owasa, IA",3,4,0,1,3,3,5,1,1,7,2011
8481,"Bristow, IA","Aredale, IA",0,6,0,1,0,5,1,3,2,6,2011
8501,"Bristow, IA","Eldora, IA",0,6,0,0,6,0,1,2,3,6,2011
8513,"Bristow, IA","Hiawatha, IA",4,1,0,1,3,1,1,4,0,5,2011
8523,"Bristow, IA","Manchester, IA",1,3,1,0,0,5,2,3,0,5,2011
8478,"Bristow, IA","Alden, IA",4,1,0,4,1,0,1,3,1,5,2011
8505,"Bristow, IA","Fairfax, IA",0,4,0,1,1,2,0,2,2,4,2011
8510,"Bristow, IA","Guttenberg, IA",1,3,0,0,4,0,1,3,0,4,2011
8516,"Bristow, IA","Independence, IA",2,2,0,0,4,0,2,2,0,4,2011
8519,"Bristow, IA","Jesup, IA",0,2,2,1,2,1,1,1,2,4,2011
8509,"Bristow, IA","Grundy Center, IA",0,1,2,0,3,0,3,0,0,3,2011
8533,"Bristow, IA","Oelwein, IA",2,1,0,0,3,0,2,1,0,3,2011
8539,"Bristow, IA","Robins, IA",0,1,2,1,1,1,2,0,1,3,2011
8527,"Bristow, IA","Morrison, IA",2,1,0,1,2,0,2,1,0,3,2011
8552,"Bristow, IA","Wellsburg, IA",0,3,0,0,2,1,2,0,1,3,2011
8490,"Bristow, IA","Clear Lake, IA",2,0,1,0,3,0,2,1,0,3,2011
8507,"Bristow, IA","Floyd, IA",1,1,1,1,2,0,1,2,0,3,2011
8482,"Bristow, IA","Asbury, IA",3,0,0,0,0,3,3,0,0,3,2011
8522,"Bristow, IA","Luana, IA",0,2,0,2,0,0,0,0,2,2,2011
8530,"Bristow, IA","New Hampton, IA",0,1,1,0,2,0,0,1,1,2,2011
8529,"Bristow, IA","Nashua, IA",0,2,0,1,1,0,1,1,0,2,2011
8493,"Bristow, IA","Cresco, IA",0,1,1,1,0,1,1,1,0,2,2011
8483,"Bristow, IA","Beaman, IA",0,2,0,2,0,0,2,0,0,2,2011
8543,"Bristow, IA","Shell Rock, IA",0,2,0,1,1,0,1,0,1,2,2011
8508,"Bristow, IA","Garwin, IA",1,1,0,0,1,1,1,0,1,2,2011
8496,"Bristow, IA","Dike, IA",1,1,0,1,1,0,0,0,2,2,2011
8498,"Bristow, IA","Dubuque, IA",0,0,2,0,2,0,1,0,1,2,2011
8499,"Bristow, IA","Dyersville, IA",1,1,0,0,0,2,1,1,0,2,2011
8495,"Bristow, IA","Denver, IA",2,0,0,1,1,0,1,1,0,2,2011
8546,"Bristow, IA","Strawberry Point, IA",1,0,0,1,0,0,1,0,0,1,2011
8545,"Bristow, IA","State Center, IA",1,0,0,0,0,1,1,0,0,1,2011
8537,"Bristow, IA","Randalia, IA",0,1,0,0,1,0,0,0,1,1,2011
8544,"Bristow, IA","Springville, IA",0,0,1,0,0,1,0,0,1,1,2011
8547,"Bristow, IA","Toledo, IA",0,0,1,0,0,1,0,1,0,1,2011
8541,"Bristow, IA","Rockwell, IA",0,1,0,0,1,0,0,1,0,1,2011
8548,"Bristow, IA","Vinton, IA",1,0,0,0,0,1,1,0,0,1,2011
8550,"Bristow, IA","Waukon, IA",1,0,0,0,1,0,0,1,0,1,2011
8480,"Bristow, IA","Anamosa, IA",0,0,1,0,0,1,0,1,0,1,2011
8540,"Bristow, IA","Rockford, IA",0,1,0,0,1,0,0,1,0,1,2011
8485,"Bristow, IA","Castalia, IA",0,1,0,1,0,0,0,0,1,1,2011
8538,"Bristow, IA","Readlyn, IA",0,1,0,0,1,0,0,1,0,1,2011
8531,"Bristow, IA","New Hartford, IA",0,1,0,0,1,0,0,0,1,1,2011
8536,"Bristow, IA","Popejoy, IA",0,1,0,1,0,0,0,1,0,1,2011
8491,"Bristow, IA","Conrad, IA",1,0,0,0,1,0,1,0,0,1,2011
8492,"Bristow, IA","Coulter, IA",0,1,0,0,0,1,0,1,0,1,2011
8532,"Bristow, IA","Nora Springs, IA",0,1,0,0,1,0,0,0,1,1,2011
8528,"Bristow, IA","Mount Vernon, IA",1,0,0,0,1,0,1,0,0,1,2011
8526,"Bristow, IA","Monona, IA",0,0,1,0,0,1,1,0,0,1,2011
8494,"Bristow, IA","Decorah, IA",1,0,0,0,0,1,0,1,0,1,2011
8524,"Bristow, IA","Marble Rock, IA",0,1,0,1,0,0,0,1,0,1,2011
8521,"Bristow, IA","Lisbon, IA",1,0,0,0,1,0,1,0,0,1,2011
8520,"Bristow, IA","Lincoln, IA",0,1,0,0,1,0,0,1,0,1,2011
8500,"Bristow, IA","Elberon, IA",0,1,0,0,0,1,0,1,0,1,2011
8503,"Bristow, IA","Elma, IA",0,0,1,0,0,1,0,0,1,1,2011
8514,"Bristow, IA","Hopkinton, IA",0,0,1,0,0,1,0,0,1,1,2011
