,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
31952,"Henderson, IA","Council Bluffs, IA",50,97,43,19,121,50,63,73,54,190,2011
31994,"Henderson, IA","Silver City, IA",3,13,2,2,15,1,4,8,6,18,2011
31957,"Henderson, IA","Des Moines, IA",7,9,1,1,11,5,3,9,5,17,2011
31995,"Henderson, IA","Sioux City, IA",4,8,2,0,7,7,5,6,3,14,2011
32001,"Henderson, IA","Urbandale, IA",3,4,0,0,4,3,1,3,3,7,2011
31967,"Henderson, IA","Henderson, IA",1,5,1,4,2,1,3,3,1,7,2011
31983,"Henderson, IA","Pacific Junction, IA",2,2,2,3,0,3,2,1,3,6,2011
31977,"Henderson, IA","Minden, IA",0,2,4,0,5,1,0,4,2,6,2011
31946,"Henderson, IA","Carter Lake, IA",2,4,0,3,2,1,2,2,2,6,2011
31940,"Henderson, IA","Atlantic, IA",2,1,3,0,5,1,1,3,2,6,2011
31939,"Henderson, IA","Ankeny, IA",2,0,2,0,1,3,2,1,1,4,2011
31945,"Henderson, IA","Carson, IA",2,2,0,0,2,2,1,1,2,4,2011
31961,"Henderson, IA","Glenwood, IA",1,2,1,0,4,0,1,1,2,4,2011
31949,"Henderson, IA","Clive, IA",1,3,0,0,3,1,2,0,2,4,2011
31965,"Henderson, IA","Hancock, IA",2,1,0,3,0,0,0,2,1,3,2011
31990,"Henderson, IA","Sergeant Bluff, IA",2,1,0,0,0,3,0,1,2,3,2011
31956,"Henderson, IA","Denison, IA",1,1,1,2,1,0,0,3,0,3,2011
31966,"Henderson, IA","Harlan, IA",1,2,0,1,2,0,1,0,2,3,2011
31974,"Henderson, IA","Malvern, IA",0,1,2,1,1,1,3,0,0,3,2011
31948,"Henderson, IA","Clarinda, IA",0,2,1,0,3,0,1,1,1,3,2011
31999,"Henderson, IA","Storm Lake, IA",2,0,0,0,1,1,1,1,0,2,2011
31975,"Henderson, IA","McClelland, IA",0,2,0,1,1,0,0,2,0,2,2011
31944,"Henderson, IA","Carroll, IA",0,1,1,0,1,1,0,1,1,2,2011
31988,"Henderson, IA","Red Oak, IA",2,0,0,0,0,2,1,0,1,2,2011
31997,"Henderson, IA","Spencer, IA",1,1,0,1,0,1,0,1,1,2,2011
31984,"Henderson, IA","Panora, IA",0,1,0,1,0,0,1,0,0,1,2011
31985,"Henderson, IA","Pella, IA",1,0,0,0,1,0,1,0,0,1,2011
31986,"Henderson, IA","Perry, IA",1,0,0,0,1,0,0,1,0,1,2011
31987,"Henderson, IA","Pleasant Hill, IA",0,1,0,0,0,1,0,0,1,1,2011
31982,"Henderson, IA","Osceola, IA",0,0,1,0,0,1,1,0,0,1,2011
31937,"Henderson, IA","Algona, IA",0,0,1,0,1,0,0,1,0,1,2011
31989,"Henderson, IA","Redding, IA",0,0,1,0,1,0,1,0,0,1,2011
31991,"Henderson, IA","Shelby, IA",0,1,0,0,0,1,0,0,1,1,2011
31992,"Henderson, IA","Sheldon, IA",0,1,0,0,1,0,0,0,1,1,2011
31993,"Henderson, IA","Shenandoah, IA",0,1,0,0,0,1,0,0,1,1,2011
31980,"Henderson, IA","Oakland, IA",0,1,0,0,1,0,0,1,0,1,2011
31996,"Henderson, IA","Soldier, IA",0,0,1,0,1,0,1,0,0,1,2011
31998,"Henderson, IA","Spirit Lake, IA",0,1,0,0,0,1,1,0,0,1,2011
32000,"Henderson, IA","Tennant, IA",0,1,0,1,0,0,1,0,0,1,2011
32002,"Henderson, IA","Westside, IA",1,0,0,1,0,0,0,1,0,1,2011
32003,"Henderson, IA","Williams, IA",0,1,0,1,0,0,0,0,1,1,2011
31981,"Henderson, IA","Onawa, IA",1,0,0,0,1,0,0,1,0,1,2011
31971,"Henderson, IA","Kingsley, IA",1,0,0,0,1,0,1,0,0,1,2011
31979,"Henderson, IA","Norwalk, IA",0,1,0,0,1,0,0,0,1,1,2011
31959,"Henderson, IA","Eldora, IA",1,0,0,0,0,1,0,1,0,1,2011
31941,"Henderson, IA","Audubon, IA",0,1,0,0,0,1,0,0,1,1,2011
31942,"Henderson, IA","Bedford, IA",0,0,1,0,1,0,1,0,0,1,2011
31943,"Henderson, IA","Boone, IA",0,1,0,0,0,1,0,0,1,1,2011
31947,"Henderson, IA","Chariton, IA",1,0,0,0,0,1,1,0,0,1,2011
31950,"Henderson, IA","Corning, IA",0,1,0,0,1,0,0,1,0,1,2011
31951,"Henderson, IA","Corydon, IA",1,0,0,0,1,0,0,1,0,1,2011
31953,"Henderson, IA","Crescent, IA",0,1,0,0,0,1,0,1,0,1,2011
31954,"Henderson, IA","Creston, IA",0,0,1,0,0,1,0,1,0,1,2011
31955,"Henderson, IA","Dakota City, IA",1,0,0,0,0,1,1,0,0,1,2011
31958,"Henderson, IA","Dexter, IA",1,0,0,1,0,0,0,1,0,1,2011
31960,"Henderson, IA","Fort Dodge, IA",1,0,0,0,0,1,1,0,0,1,2011
31978,"Henderson, IA","Montezuma, IA",0,1,0,0,0,1,0,1,0,1,2011
31962,"Henderson, IA","Greenfield, IA",0,1,0,0,0,1,0,0,1,1,2011
