,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
32721,"Humboldt, IA","Humboldt, IA",163,429,190,279,387,116,224,324,234,782,2011
32705,"Humboldt, IA","Fort Dodge, IA",51,170,69,60,175,55,56,92,142,290,2011
32692,"Humboldt, IA","Dakota City, IA",25,101,53,44,117,18,51,75,53,179,2011
32697,"Humboldt, IA","Des Moines, IA",18,27,4,3,39,7,13,14,22,49,2011
32666,"Humboldt, IA","Algona, IA",10,14,6,5,19,6,14,5,11,30,2011
32669,"Humboldt, IA","Ames, IA",11,13,6,5,19,6,14,13,3,30,2011
32683,"Humboldt, IA","Clarion, IA",8,14,4,4,19,3,3,13,10,26,2011
32708,"Humboldt, IA","Goldfield, IA",7,9,4,8,8,4,4,8,8,20,2011
32756,"Humboldt, IA","Ottosen, IA",5,10,4,10,5,4,10,4,5,19,2011
32671,"Humboldt, IA","Ankeny, IA",7,11,1,2,9,8,6,3,10,19,2011
32744,"Humboldt, IA","Mason City, IA",11,6,1,0,14,4,6,10,2,18,2011
32790,"Humboldt, IA","Webster City, IA",2,8,7,1,10,6,5,10,2,17,2011
32778,"Humboldt, IA","Spencer, IA",7,9,0,2,11,3,7,6,3,16,2011
32699,"Humboldt, IA","Eagle Grove, IA",1,6,9,2,10,4,4,9,3,16,2011
32737,"Humboldt, IA","Livermore, IA",5,5,5,4,9,2,6,3,6,15,2011
32776,"Humboldt, IA","Sioux City, IA",3,7,5,2,9,4,4,7,4,15,2011
32680,"Humboldt, IA","Carroll, IA",3,9,3,1,13,1,2,9,4,15,2011
32785,"Humboldt, IA","Urbandale, IA",2,8,5,1,11,3,5,4,6,15,2011
32719,"Humboldt, IA","Havelock, IA",6,6,2,7,5,2,2,5,7,14,2011
32716,"Humboldt, IA","Hardy, IA",4,5,4,2,4,7,4,5,4,13,2011
32678,"Humboldt, IA","Boone, IA",7,3,2,0,3,9,7,3,2,12,2011
32797,"Humboldt, IA","Windsor Heights, IA",4,3,4,0,7,4,4,7,0,11,2011
32686,"Humboldt, IA","Clive, IA",4,5,2,1,8,2,3,4,4,11,2011
