,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
37695,"Lansing, IA","Lansing, IA",13,30,18,2,43,16,20,29,12,61,2011
37714,"Lansing, IA","Waukon, IA",5,30,8,7,25,11,21,13,9,43,2011
37700,"Lansing, IA","New Albin, IA",5,19,10,6,19,9,17,11,6,34,2011
37681,"Lansing, IA","Cedar Rapids, IA",4,9,1,2,1,11,4,8,2,14,2011
37683,"Lansing, IA","Decorah, IA",3,7,3,3,5,5,5,6,2,13,2011
37691,"Lansing, IA","Harpers Ferry, IA",1,7,5,2,3,8,3,5,5,13,2011
37713,"Lansing, IA","Waterloo, IA",2,1,4,1,4,2,3,1,3,7,2011
37680,"Lansing, IA","Cedar Falls, IA",5,1,0,0,6,0,4,2,0,6,2011
37704,"Lansing, IA","Postville, IA",3,1,1,4,1,0,1,4,0,5,2011
37702,"Lansing, IA","Oelwein, IA",0,3,2,0,5,0,2,2,1,5,2011
37696,"Lansing, IA","Luana, IA",1,3,1,1,3,1,1,2,2,5,2011
37688,"Lansing, IA","Fort Atkinson, IA",0,2,2,1,2,1,2,2,0,4,2011
37698,"Lansing, IA","Marquette, IA",0,2,2,0,4,0,0,4,0,4,2011
37686,"Lansing, IA","Evansdale, IA",3,0,1,0,4,0,2,0,2,4,2011
37697,"Lansing, IA","Manchester, IA",2,1,0,0,1,2,2,0,1,3,2011
37705,"Lansing, IA","Randalia, IA",1,0,2,0,3,0,0,2,1,3,2011
37699,"Lansing, IA","Mason City, IA",0,2,1,2,0,1,0,0,3,3,2011
37694,"Lansing, IA","Independence, IA",1,2,0,1,1,1,1,1,1,3,2011
37709,"Lansing, IA","Stanley, IA",0,2,0,0,2,0,0,0,2,2,2011
37677,"Lansing, IA","Anamosa, IA",0,2,0,0,2,0,0,0,2,2,2011
37690,"Lansing, IA","Guttenberg, IA",1,1,0,1,0,1,1,1,0,2,2011
37685,"Lansing, IA","Elkader, IA",1,0,1,0,1,1,1,0,1,2,2011
37678,"Lansing, IA","Asbury, IA",0,1,0,0,1,0,0,1,0,1,2011
37708,"Lansing, IA","Springville, IA",0,1,0,1,0,0,0,1,0,1,2011
37679,"Lansing, IA","Castalia, IA",0,1,0,0,0,1,1,0,0,1,2011
37682,"Lansing, IA","Cresco, IA",1,0,0,0,0,1,0,1,0,1,2011
37712,"Lansing, IA","Toledo, IA",1,0,0,0,1,0,0,1,0,1,2011
37711,"Lansing, IA","Sumner, IA",0,1,0,0,1,0,0,0,1,1,2011
37710,"Lansing, IA","Strawberry Point, IA",1,0,0,0,1,0,0,0,1,1,2011
37684,"Lansing, IA","Elk Run Heights, IA",0,0,1,0,1,0,1,0,0,1,2011
37706,"Lansing, IA","Robins, IA",1,0,0,0,0,1,1,0,0,1,2011
37707,"Lansing, IA","Shell Rock, IA",0,0,1,0,0,1,0,1,0,1,2011
37693,"Lansing, IA","Hiawatha, IA",0,1,0,1,0,0,0,1,0,1,2011
37687,"Lansing, IA","Farley, IA",1,0,0,1,0,0,1,0,0,1,2011
37703,"Lansing, IA","Peosta, IA",1,0,0,0,1,0,1,0,0,1,2011
37689,"Lansing, IA","Garnavillo, IA",0,0,1,0,1,0,0,0,1,1,2011
37701,"Lansing, IA","New Hampton, IA",0,1,0,1,0,0,1,0,0,1,2011
37692,"Lansing, IA","Hazleton, IA",0,1,0,0,1,0,0,0,1,1,2011
37715,"Lansing, IA","West Union, IA",0,0,1,1,0,0,0,0,1,1,2011
