,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
38324,"Le Grand, IA","Marshalltown, IA",80,242,98,159,208,53,89,157,174,420,2011
38269,"Le Grand, IA","Des Moines, IA",13,37,10,6,42,12,11,19,30,60,2011
38233,"Le Grand, IA","Ames, IA",7,19,11,5,24,8,9,13,15,37,2011
38385,"Le Grand, IA","Toledo, IA",5,12,4,0,20,1,5,11,5,21,2011
38293,"Le Grand, IA","Grinnell, IA",4,15,2,5,14,2,5,9,7,21,2011
38254,"Le Grand, IA","Clive, IA",6,11,2,0,17,2,2,10,7,19,2011
38337,"Le Grand, IA","Newton, IA",4,12,3,8,6,5,4,6,9,19,2011
38316,"Le Grand, IA","Le Grand, IA",1,9,7,4,13,0,5,6,6,17,2011
38248,"Le Grand, IA","Cedar Falls, IA",9,6,1,0,10,6,8,5,3,16,2011
38249,"Le Grand, IA","Cedar Rapids, IA",5,7,2,0,8,6,4,5,5,14,2011
38296,"Le Grand, IA","Haverhill, IA",0,10,4,5,8,1,4,8,2,14,2011
38229,"Le Grand, IA","Albion, IA",1,8,4,8,4,1,2,7,4,13,2011
38258,"Le Grand, IA","Conrad, IA",5,5,2,4,8,0,6,2,4,12,2011
38287,"Le Grand, IA","Gilman, IA",1,8,3,0,12,0,2,5,5,12,2011
38297,"Le Grand, IA","Hiawatha, IA",6,5,0,1,6,4,6,5,0,11,2011
38319,"Le Grand, IA","Liscomb, IA",2,4,5,6,1,4,3,7,1,11,2011
38234,"Le Grand, IA","Ankeny, IA",2,6,3,2,3,6,3,2,6,11,2011
38238,"Le Grand, IA","Beaman, IA",0,4,6,3,5,2,3,4,3,10,2011
38301,"Le Grand, IA","Iowa City, IA",7,1,2,2,6,2,4,3,3,10,2011
38392,"Le Grand, IA","Waterloo, IA",5,3,2,0,6,4,5,4,1,10,2011
38285,"Le Grand, IA","Garwin, IA",2,4,3,3,3,3,4,3,2,9,2011
38282,"Le Grand, IA","Ferguson, IA",0,4,5,3,2,4,3,4,2,9,2011
38330,"Le Grand, IA","Montezuma, IA",2,5,2,2,5,2,2,2,5,9,2011
38388,"Le Grand, IA","Urbandale, IA",3,4,2,0,6,3,1,5,3,9,2011
38270,"Le Grand, IA","Dubuque, IA",4,2,1,2,3,2,3,2,2,7,2011
38264,"Le Grand, IA","Davenport, IA",3,4,0,2,3,2,3,1,3,7,2011
38259,"Le Grand, IA","Coralville, IA",3,4,0,1,2,4,4,3,0,7,2011
38400,"Le Grand, IA","Windsor Heights, IA",2,4,1,0,6,1,1,4,2,7,2011
38393,"Le Grand, IA","Waukee, IA",1,4,1,0,2,4,0,4,2,6,2011
38300,"Le Grand, IA","Indianola, IA",1,2,3,1,2,3,0,6,0,6,2011
38302,"Le Grand, IA","Iowa Falls, IA",0,4,2,1,4,1,1,4,1,6,2011
38396,"Le Grand, IA","West Des Moines, IA",0,4,1,2,2,1,1,2,2,5,2011
38355,"Le Grand, IA","Reasnor, IA",2,1,2,3,2,0,2,1,2,5,2011
38281,"Le Grand, IA","Fairfield, IA",2,1,2,0,3,2,0,3,2,5,2011
38333,"Le Grand, IA","Muscatine, IA",2,3,0,0,3,2,3,1,1,5,2011
38305,"Le Grand, IA","Johnston, IA",3,0,2,0,3,2,2,1,2,5,2011
38286,"Le Grand, IA","Gilbert, IA",0,1,3,0,1,3,1,1,2,4,2011
38298,"Le Grand, IA","Hubbard, IA",0,3,1,1,0,3,0,2,2,4,2011
38386,"Le Grand, IA","University Heights, IA",3,1,0,0,2,2,2,1,1,4,2011
38283,"Le Grand, IA","Fort Dodge, IA",2,2,0,0,0,4,0,1,3,4,2011
38253,"Le Grand, IA","Clinton, IA",0,2,2,0,2,2,0,2,2,4,2011
38346,"Le Grand, IA","Pella, IA",1,2,1,1,3,0,2,0,2,4,2011
38344,"Le Grand, IA","Ottumwa, IA",1,2,1,0,1,3,0,4,0,4,2011
38260,"Le Grand, IA","Council Bluffs, IA",2,2,0,0,0,4,4,0,0,4,2011
38325,"Le Grand, IA","Mason City, IA",1,3,0,0,2,2,2,0,2,4,2011
38232,"Le Grand, IA","Altoona, IA",0,3,0,0,3,0,1,0,2,3,2011
38299,"Le Grand, IA","Huxley, IA",2,1,0,0,3,0,2,0,1,3,2011
38348,"Le Grand, IA","Pleasant Hill, IA",0,3,0,0,0,3,0,3,0,3,2011
38369,"Le Grand, IA","Sioux City, IA",2,1,0,0,3,0,2,0,1,3,2011
38342,"Le Grand, IA","Osceola, IA",1,1,1,1,2,0,0,1,2,3,2011
38332,"Le Grand, IA","Montour, IA",2,0,1,1,2,0,3,0,0,3,2011
38327,"Le Grand, IA","Melcher-Dallas, IA",0,3,0,3,0,0,0,2,1,3,2011
38326,"Le Grand, IA","Melbourne, IA",1,2,0,1,1,1,0,3,0,3,2011
38311,"Le Grand, IA","Knoxville, IA",1,2,0,0,3,0,1,2,0,3,2011
38228,"Le Grand, IA","Albia, IA",0,1,2,0,2,1,2,1,0,3,2011
38243,"Le Grand, IA","Boone, IA",0,3,0,0,2,1,0,1,2,3,2011
38320,"Le Grand, IA","Lynnville, IA",0,3,0,1,1,1,0,1,2,3,2011
38347,"Le Grand, IA","Perry, IA",1,1,1,0,1,2,2,1,0,3,2011
38274,"Le Grand, IA","Eldridge, IA",1,2,0,0,2,1,2,1,0,3,2011
38391,"Le Grand, IA","Washington, IA",1,2,0,0,2,1,0,3,0,3,2011
38338,"Le Grand, IA","North Liberty, IA",2,0,0,1,0,1,1,0,1,2,2011
38377,"Le Grand, IA","State Center, IA",0,1,1,0,2,0,1,0,1,2,2011
38308,"Le Grand, IA","Keokuk, IA",0,0,2,0,1,1,0,1,1,2,2011
38360,"Le Grand, IA","Robins, IA",1,1,0,0,1,1,1,1,0,2,2011
38378,"Le Grand, IA","Steamboat Rock, IA",1,0,1,1,1,0,1,1,0,2,2011
38335,"Le Grand, IA","New Hampton, IA",0,2,0,1,0,1,1,1,0,2,2011
38334,"Le Grand, IA","Nevada, IA",1,0,1,1,0,1,1,1,0,2,2011
38383,"Le Grand, IA","Tama, IA",0,2,0,1,1,0,1,1,0,2,2011
38317,"Le Grand, IA","Le Mars, IA",0,2,0,0,1,1,0,1,1,2,2011
38318,"Le Grand, IA","Lincoln, IA",2,0,0,0,1,1,0,1,1,2,2011
38398,"Le Grand, IA","Williamsburg, IA",1,1,0,1,0,1,1,0,1,2,2011
38246,"Le Grand, IA","Burlington, IA",1,1,0,0,1,1,1,0,1,2,2011
38321,"Le Grand, IA","Madrid, IA",0,0,2,0,2,0,0,0,2,2,2011
38322,"Le Grand, IA","Manchester, IA",2,0,0,0,0,2,2,0,0,2,2011
38267,"Le Grand, IA","Denison, IA",0,2,0,0,0,2,0,1,1,2,2011
38380,"Le Grand, IA","Story City, IA",0,1,1,0,1,1,1,0,1,2,2011
38231,"Le Grand, IA","Algona, IA",0,2,0,2,0,0,0,0,2,2,2011
38329,"Le Grand, IA","Monroe, IA",0,1,1,0,2,0,0,1,1,2,2011
38247,"Le Grand, IA","Carroll, IA",0,1,1,0,0,2,1,1,0,2,2011
38295,"Le Grand, IA","Hampton, IA",2,0,0,0,2,0,2,0,0,2,2011
38372,"Le Grand, IA","Spencer, IA",0,2,0,1,0,1,0,1,1,2,2011
38273,"Le Grand, IA","Eldora, IA",0,1,1,0,2,0,1,0,1,2,2011
38251,"Le Grand, IA","Chariton, IA",0,1,1,0,2,0,0,1,1,2,2011
38376,"Le Grand, IA","Stanhope, IA",0,2,0,0,0,2,0,0,2,2,2011
38341,"Le Grand, IA","Oelwein, IA",1,0,1,0,0,2,0,2,0,2,2011
38384,"Le Grand, IA","Tiffin, IA",2,0,0,2,0,0,0,2,0,2,2011
38395,"Le Grand, IA","West Burlington, IA",2,0,0,0,0,2,2,0,0,2,2011
38279,"Le Grand, IA","Evansdale, IA",0,2,0,0,1,1,0,1,1,2,2011
38394,"Le Grand, IA","Waverly, IA",1,1,0,0,1,1,0,2,0,2,2011
