,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39308,"Lime Springs, IA","Cresco, IA",34,104,51,89,88,12,52,70,67,189,2011
39309,"Lime Springs, IA","Decorah, IA",12,24,6,8,24,10,15,19,8,42,2011
39338,"Lime Springs, IA","Protivin, IA",11,18,12,10,12,19,15,15,11,41,2011
39327,"Lime Springs, IA","Lime Springs, IA",3,9,7,5,10,4,6,6,7,19,2011
39344,"Lime Springs, IA","Waterloo, IA",0,10,2,5,5,2,1,4,7,12,2011
39333,"Lime Springs, IA","New Hampton, IA",5,5,1,3,5,3,0,8,3,11,2011
39303,"Lime Springs, IA","Cedar Falls, IA",4,5,1,0,6,4,4,4,2,10,2011
39320,"Lime Springs, IA","Fort Atkinson, IA",3,4,3,0,7,3,5,3,2,10,2011
39328,"Lime Springs, IA","Luana, IA",0,6,2,4,1,3,2,3,3,8,2011
39326,"Lime Springs, IA","Lawler, IA",1,5,1,6,0,1,0,4,3,7,2011
39348,"Lime Springs, IA","West Union, IA",3,1,3,2,4,1,3,1,3,7,2011
39329,"Lime Springs, IA","Mason City, IA",2,0,5,0,6,1,1,4,2,7,2011
39322,"Lime Springs, IA","Hiawatha, IA",2,3,1,3,0,3,2,4,0,6,2011
39330,"Lime Springs, IA","McIntire, IA",0,4,1,3,0,2,2,2,1,5,2011
39346,"Lime Springs, IA","Waukon, IA",0,3,2,0,4,1,3,1,1,5,2011
39302,"Lime Springs, IA","Castalia, IA",1,3,0,2,1,1,1,2,1,4,2011
39304,"Lime Springs, IA","Cedar Rapids, IA",2,2,0,0,3,1,2,0,2,4,2011
39315,"Lime Springs, IA","Elkader, IA",1,2,1,0,2,2,1,1,2,4,2011
39337,"Lime Springs, IA","Postville, IA",0,3,0,0,2,1,0,2,1,3,2011
39347,"Lime Springs, IA","Waverly, IA",1,1,1,0,1,2,1,1,1,3,2011
39307,"Lime Springs, IA","Chester, IA",1,2,0,2,0,1,1,1,1,3,2011
39311,"Lime Springs, IA","Dyersville, IA",1,2,0,0,0,3,1,2,0,3,2011
39310,"Lime Springs, IA","Dubuque, IA",0,2,0,0,1,1,0,1,1,2,2011
39306,"Lime Springs, IA","Charles City, IA",1,0,1,0,2,0,1,1,0,2,2011
39321,"Lime Springs, IA","Guttenberg, IA",2,0,0,1,1,0,1,1,0,2,2011
39335,"Lime Springs, IA","Parkersburg, IA",1,1,0,0,0,2,1,0,1,2,2011
39340,"Lime Springs, IA","Raymond, IA",0,2,0,0,0,2,0,0,2,2,2011
39345,"Lime Springs, IA","Waucoma, IA",0,0,2,0,0,2,0,2,0,2,2011
39325,"Lime Springs, IA","Lansing, IA",1,1,0,0,2,0,1,0,1,2,2011
39312,"Lime Springs, IA","Eldora, IA",0,1,1,0,1,1,0,1,1,2,2011
39300,"Lime Springs, IA","Asbury, IA",1,1,0,0,1,1,1,1,0,2,2011
39319,"Lime Springs, IA","Farley, IA",1,1,0,0,0,2,1,1,0,2,2011
39343,"Lime Springs, IA","St. Olaf, IA",1,0,0,0,0,1,0,1,0,1,2011
39339,"Lime Springs, IA","Randalia, IA",0,1,0,0,0,1,0,1,0,1,2011
39341,"Lime Springs, IA","Ridgeway, IA",0,1,0,1,0,0,0,0,1,1,2011
39342,"Lime Springs, IA","Robins, IA",1,0,0,0,0,1,1,0,0,1,2011
39336,"Lime Springs, IA","Peosta, IA",1,0,0,1,0,0,1,0,0,1,2011
39298,"Lime Springs, IA","Alta Vista, IA",1,0,0,1,0,0,0,1,0,1,2011
39334,"Lime Springs, IA","Osage, IA",0,1,0,0,0,1,0,1,0,1,2011
39332,"Lime Springs, IA","Mount Vernon, IA",0,1,0,0,1,0,0,1,0,1,2011
39331,"Lime Springs, IA","Monticello, IA",1,0,0,0,0,1,1,0,0,1,2011
39324,"Lime Springs, IA","La Porte City, IA",0,1,0,0,0,1,0,1,0,1,2011
39299,"Lime Springs, IA","Arlington, IA",0,1,0,1,0,0,0,1,0,1,2011
39318,"Lime Springs, IA","Evansdale, IA",0,1,0,0,1,0,1,0,0,1,2011
39317,"Lime Springs, IA","Ely, IA",0,1,0,0,1,0,0,1,0,1,2011
39316,"Lime Springs, IA","Elma, IA",0,1,0,0,1,0,0,0,1,1,2011
39314,"Lime Springs, IA","Elk Run Heights, IA",0,1,0,0,0,1,0,0,1,1,2011
39313,"Lime Springs, IA","Elgin, IA",0,0,1,0,0,1,0,1,0,1,2011
39305,"Lime Springs, IA","Central City, IA",0,1,0,0,1,0,1,0,0,1,2011
39301,"Lime Springs, IA","Balltown, IA",0,1,0,0,1,0,0,1,0,1,2011
39323,"Lime Springs, IA","Hubbard, IA",0,0,1,0,0,1,0,1,0,1,2011
