,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
40774,"Lowden, IA","Clarence, IA",3,19,13,4,24,7,9,16,10,35,2011
40816,"Lowden, IA","Tipton, IA",9,22,3,3,21,10,12,18,4,34,2011
40772,"Lowden, IA","Cedar Rapids, IA",8,19,3,9,17,4,7,9,14,30,2011
40798,"Lowden, IA","Mechanicsville, IA",4,9,8,1,18,2,6,7,8,21,2011
40789,"Lowden, IA","Iowa City, IA",2,16,2,3,14,3,1,8,11,20,2011
40778,"Lowden, IA","Davenport, IA",4,10,2,2,14,0,4,5,7,16,2011
40788,"Lowden, IA","Hiawatha, IA",4,8,2,2,12,0,4,4,6,14,2011
40792,"Lowden, IA","Lowden, IA",3,6,4,0,11,2,7,2,4,13,2011
40821,"Lowden, IA","Wheatland, IA",5,5,3,7,5,1,3,7,3,13,2011
40775,"Lowden, IA","Clinton, IA",0,5,4,1,8,0,5,1,3,9,2011
40822,"Lowden, IA","Wilton, IA",0,5,3,3,4,1,0,5,3,8,2011
40767,"Lowden, IA","Bettendorf, IA",2,5,0,1,2,4,0,2,5,7,2011
40801,"Lowden, IA","Muscatine, IA",1,5,1,3,4,0,2,3,2,7,2011
40779,"Lowden, IA","De Witt, IA",0,6,1,3,4,0,0,3,4,7,2011
40765,"Lowden, IA","Bennett, IA",1,3,2,0,1,5,2,1,3,6,2011
40817,"Lowden, IA","University Heights, IA",1,4,0,0,5,0,0,1,4,5,2011
40794,"Lowden, IA","Maquoketa, IA",0,3,2,0,4,1,1,3,1,5,2011
40783,"Lowden, IA","Eldridge, IA",1,1,3,2,1,2,0,4,1,5,2011
40806,"Lowden, IA","Panorama Park, IA",0,4,1,4,1,0,1,0,4,5,2011
40815,"Lowden, IA","Tiffin, IA",2,2,0,2,0,2,2,1,1,4,2011
40790,"Lowden, IA","Lisbon, IA",2,1,1,2,0,2,2,1,1,4,2011
40787,"Lowden, IA","Grand Mound, IA",0,4,0,2,2,0,0,1,3,4,2011
40785,"Lowden, IA","Ely, IA",1,3,0,0,4,0,0,2,2,4,2011
40802,"Lowden, IA","North Liberty, IA",1,2,1,1,1,2,0,3,1,4,2011
40796,"Lowden, IA","Marion, IA",2,1,1,2,2,0,3,0,1,4,2011
40771,"Lowden, IA","Camanche, IA",0,2,1,1,2,0,0,2,1,3,2011
40781,"Lowden, IA","Durant, IA",1,2,0,1,2,0,1,1,1,3,2011
40820,"Lowden, IA","West Branch, IA",0,2,1,0,2,1,1,1,1,3,2011
40769,"Lowden, IA","Blue Grass, IA",2,1,0,1,0,2,1,1,1,3,2011
40780,"Lowden, IA","Dubuque, IA",0,3,0,0,2,1,0,0,3,3,2011
40804,"Lowden, IA","Oxford, IA",0,2,0,0,1,1,1,1,0,2,2011
40813,"Lowden, IA","Shueyville, IA",1,0,1,0,0,2,1,0,1,2,2011
40810,"Lowden, IA","Riverdale, IA",0,1,1,1,0,1,0,0,2,2,2011
40811,"Lowden, IA","Robins, IA",0,1,1,1,0,1,0,0,2,2,2011
40766,"Lowden, IA","Bertram, IA",2,0,0,0,2,0,1,0,1,2,2011
40761,"Lowden, IA","Asbury, IA",0,2,0,0,0,2,0,2,0,2,2011
40768,"Lowden, IA","Blairstown, IA",1,1,0,1,1,0,1,1,0,2,2011
