,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
45563,"Mitchell, IA","St. Ansgar, IA",15,43,30,40,39,9,26,26,36,88,2011
45559,"Mitchell, IA","Osage, IA",20,45,11,22,48,6,23,27,26,76,2011
45554,"Mitchell, IA","Mason City, IA",5,28,15,9,35,4,13,19,16,48,2011
45564,"Mitchell, IA","Stacyville, IA",1,11,2,7,3,4,3,7,4,14,2011
45531,"Mitchell, IA","Crystal Lake, IA",0,4,2,5,0,1,0,1,5,6,2011
45558,"Mitchell, IA","Northwood, IA",2,2,2,2,3,1,1,3,2,6,2011
45537,"Mitchell, IA","Forest City, IA",1,3,1,0,4,1,3,1,1,5,2011
45529,"Mitchell, IA","Charles City, IA",0,2,2,2,1,1,2,0,2,4,2011
45556,"Mitchell, IA","Mitchell, IA",0,4,0,3,0,1,1,3,0,4,2011
45557,"Mitchell, IA","Nora Springs, IA",0,3,1,0,3,1,0,1,3,4,2011
45552,"Mitchell, IA","Manly, IA",1,1,1,0,2,1,1,1,1,3,2011
45555,"Mitchell, IA","McIntire, IA",1,1,1,2,1,0,0,1,2,3,2011
45548,"Mitchell, IA","Lake Mills, IA",0,2,1,2,1,0,0,2,1,3,2011
45535,"Mitchell, IA","Elma, IA",3,0,0,0,3,0,0,3,0,3,2011
45538,"Mitchell, IA","Fort Dodge, IA",0,2,1,0,1,2,0,2,1,3,2011
45545,"Mitchell, IA","Joice, IA",1,1,0,1,0,1,0,0,2,2,2011
45539,"Mitchell, IA","Fredericksburg, IA",0,2,0,0,0,2,0,0,2,2,2011
45540,"Mitchell, IA","Garner, IA",1,1,0,1,1,0,1,1,0,2,2011
45536,"Mitchell, IA","Floyd, IA",0,2,0,2,0,0,0,0,2,2,2011
45534,"Mitchell, IA","Elk Run Heights, IA",0,2,0,1,0,1,0,1,1,2,2011
45530,"Mitchell, IA","Clear Lake, IA",1,0,1,1,1,0,1,1,0,2,2011
45561,"Mitchell, IA","Rockford, IA",0,1,0,0,0,1,0,0,1,1,2011
45560,"Mitchell, IA","Rake, IA",0,1,0,0,0,1,0,0,1,1,2011
45562,"Mitchell, IA","Sheffield, IA",0,1,0,1,0,0,0,0,1,1,2011
45553,"Mitchell, IA","Marble Rock, IA",0,1,0,1,0,0,0,0,1,1,2011
45565,"Mitchell, IA","Story City, IA",1,0,0,0,0,1,1,0,0,1,2011
45566,"Mitchell, IA","Thompson, IA",0,0,1,0,0,1,1,0,0,1,2011
45525,"Mitchell, IA","Algona, IA",1,0,0,0,1,0,1,0,0,1,2011
45546,"Mitchell, IA","Kamrar, IA",0,1,0,1,0,0,0,1,0,1,2011
45551,"Mitchell, IA","Lincoln, IA",1,0,0,0,0,1,0,1,0,1,2011
45550,"Mitchell, IA","Lime Springs, IA",0,1,0,0,0,1,0,0,1,1,2011
45549,"Mitchell, IA","Lakota, IA",0,1,0,1,0,0,0,0,1,1,2011
45547,"Mitchell, IA","Kensett, IA",1,0,0,0,0,1,1,0,0,1,2011
45526,"Mitchell, IA","Britt, IA",1,0,0,0,1,0,0,0,1,1,2011
45544,"Mitchell, IA","Humboldt, IA",0,1,0,0,0,1,1,0,0,1,2011
45543,"Mitchell, IA","Havelock, IA",1,0,0,0,1,0,1,0,0,1,2011
45542,"Mitchell, IA","Hampton, IA",0,1,0,0,1,0,0,1,0,1,2011
45541,"Mitchell, IA","Grundy Center, IA",1,0,0,0,1,0,0,0,1,1,2011
45533,"Mitchell, IA","Eldora, IA",0,1,0,0,1,0,0,0,1,1,2011
45532,"Mitchell, IA","Des Moines, IA",0,0,1,0,1,0,0,1,0,1,2011
45528,"Mitchell, IA","Cedar Falls, IA",0,1,0,0,0,1,0,1,0,1,2011
45527,"Mitchell, IA","Buffalo Center, IA",0,1,0,0,0,1,0,0,1,1,2011
45567,"Mitchell, IA","Waverly, IA",0,1,0,0,1,0,1,0,0,1,2011
