,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
45628,"Mitchellville, IA","Des Moines, IA",93,426,134,89,469,95,98,167,388,653,2011
45576,"Mitchellville, IA","Ankeny, IA",41,103,30,60,61,53,41,48,85,174,2011
45573,"Mitchellville, IA","Altoona, IA",58,73,25,5,122,29,76,54,26,156,2011
45692,"Mitchellville, IA","Mitchellville, IA",10,94,45,14,122,13,43,57,49,149,2011
45766,"Mitchellville, IA","Urbandale, IA",18,65,18,10,65,26,24,25,52,101,2011
45609,"Mitchellville, IA","Clive, IA",20,61,17,2,81,15,26,23,49,98,2011
45722,"Mitchellville, IA","Pleasant Hill, IA",25,48,16,18,55,16,33,21,35,89,2011
45777,"Mitchellville, IA","West Des Moines, IA",11,48,11,17,32,21,14,12,44,70,2011
45703,"Mitchellville, IA","Newton, IA",14,43,12,17,51,1,11,30,28,69,2011
45574,"Mitchellville, IA","Ames, IA",18,29,15,9,41,12,20,16,26,62,2011
45770,"Mitchellville, IA","Waterloo, IA",16,23,5,9,23,12,10,10,24,44,2011
45582,"Mitchellville, IA","Baxter, IA",8,27,6,3,25,13,18,12,11,41,2011
45780,"Mitchellville, IA","Windsor Heights, IA",8,21,12,7,26,8,8,19,14,41,2011
45601,"Mitchellville, IA","Cedar Rapids, IA",13,21,5,3,17,19,13,9,17,39,2011
45664,"Mitchellville, IA","Johnston, IA",8,26,5,3,23,13,5,6,28,39,2011
45660,"Mitchellville, IA","Iowa City, IA",14,13,5,1,23,8,16,10,6,32,2011
45622,"Mitchellville, IA","Davenport, IA",12,17,3,3,16,13,15,9,8,32,2011
45586,"Mitchellville, IA","Bettendorf, IA",18,7,5,0,13,17,13,9,8,30,2011
45771,"Mitchellville, IA","Waukee, IA",6,17,5,3,18,7,0,15,13,28,2011
45749,"Mitchellville, IA","Sioux City, IA",13,12,2,2,14,11,8,10,9,27,2011
45683,"Mitchellville, IA","Marshalltown, IA",4,21,1,9,12,5,2,9,15,26,2011
45655,"Mitchellville, IA","Hiawatha, IA",10,10,5,1,10,14,8,10,7,25,2011
45600,"Mitchellville, IA","Cedar Falls, IA",11,8,3,2,12,8,5,7,10,22,2011
45618,"Mitchellville, IA","Council Bluffs, IA",8,9,2,1,7,11,8,6,5,19,2011
45610,"Mitchellville, IA","Colfax, IA",2,6,10,2,15,1,8,5,5,18,2011
45629,"Mitchellville, IA","Dubuque, IA",11,6,1,0,6,12,9,5,4,18,2011
45648,"Mitchellville, IA","Grimes, IA",5,8,2,4,2,9,2,6,7,15,2011
45705,"Mitchellville, IA","Norwalk, IA",3,8,3,0,12,2,2,6,6,14,2011
45684,"Mitchellville, IA","Mason City, IA",5,5,4,0,8,6,2,6,6,14,2011
45730,"Mitchellville, IA","Reasnor, IA",0,10,3,3,7,3,1,5,7,13,2011
45659,"Mitchellville, IA","Indianola, IA",2,9,2,2,5,6,0,7,6,13,2011
45700,"Mitchellville, IA","Nevada, IA",4,8,1,0,11,2,2,0,11,13,2011
45632,"Mitchellville, IA","Eldridge, IA",4,7,1,6,3,3,0,3,9,12,2011
45589,"Mitchellville, IA","Boone, IA",1,9,1,0,6,5,3,3,5,11,2011
45739,"Mitchellville, IA","Runnells, IA",1,9,1,1,8,2,6,3,2,11,2011
45712,"Mitchellville, IA","Ottumwa, IA",2,7,2,4,4,3,3,1,7,11,2011
45616,"Mitchellville, IA","Coralville, IA",6,3,2,0,5,6,6,4,1,11,2011
45744,"Mitchellville, IA","Sergeant Bluff, IA",4,3,4,0,9,2,5,2,4,11,2011
45699,"Mitchellville, IA","Muscatine, IA",2,6,2,1,5,4,1,7,2,10,2011
45721,"Mitchellville, IA","Perry, IA",3,4,1,1,3,4,1,5,2,8,2011
45637,"Mitchellville, IA","Fairfax, IA",6,1,1,0,2,6,3,4,1,8,2011
45726,"Mitchellville, IA","Prairie City, IA",0,7,1,0,6,2,1,4,3,8,2011
45577,"Mitchellville, IA","Asbury, IA",1,4,2,0,2,5,1,3,3,7,2011
45704,"Mitchellville, IA","North Liberty, IA",3,3,1,0,5,2,1,3,3,7,2011
45764,"Mitchellville, IA","University Heights, IA",6,0,1,0,7,0,4,1,2,7,2011
45687,"Mitchellville, IA","Melcher-Dallas, IA",1,6,0,4,2,1,1,3,3,7,2011
45776,"Mitchellville, IA","West Burlington, IA",4,1,1,0,1,5,4,2,0,6,2011
45593,"Mitchellville, IA","Burlington, IA",2,4,0,0,4,2,1,3,2,6,2011
45608,"Mitchellville, IA","Clinton, IA",3,3,0,0,3,3,5,1,0,6,2011
45603,"Mitchellville, IA","Chariton, IA",1,5,0,0,3,3,3,3,0,6,2011
45694,"Mitchellville, IA","Monroe, IA",0,5,0,1,2,2,0,3,2,5,2011
45751,"Mitchellville, IA","Spencer, IA",3,2,0,1,3,1,1,2,2,5,2011
45658,"Mitchellville, IA","Humboldt, IA",3,1,1,1,3,1,3,1,1,5,2011
45697,"Mitchellville, IA","Mount Pleasant, IA",3,1,1,2,1,2,2,3,0,5,2011
45642,"Mitchellville, IA","Fort Dodge, IA",2,2,0,1,2,1,2,0,2,4,2011
45747,"Mitchellville, IA","Shenandoah, IA",1,2,1,1,0,3,1,2,1,4,2011
45633,"Mitchellville, IA","Elk Run Heights, IA",0,2,2,4,0,0,0,0,4,4,2011
45653,"Mitchellville, IA","Harvey, IA",0,3,1,2,0,2,1,2,1,4,2011
45716,"Mitchellville, IA","Panorama Park, IA",1,2,1,0,2,2,1,2,1,4,2011
45654,"Mitchellville, IA","Haverhill, IA",1,3,0,3,1,0,1,1,2,4,2011
45772,"Mitchellville, IA","Waukon, IA",3,1,0,0,2,2,3,1,0,4,2011
45596,"Mitchellville, IA","Carlisle, IA",1,3,0,1,1,2,2,1,1,4,2011
45623,"Mitchellville, IA","De Soto, IA",0,3,1,1,3,0,1,2,1,4,2011
45621,"Mitchellville, IA","Dallas Center, IA",0,3,1,0,1,3,1,1,2,4,2011
45597,"Mitchellville, IA","Carroll, IA",1,3,0,0,2,2,1,2,1,4,2011
45713,"Mitchellville, IA","Oxford, IA",1,3,0,0,3,1,1,2,1,4,2011
45737,"Mitchellville, IA","Robins, IA",2,2,0,0,0,4,2,2,0,4,2011
45626,"Mitchellville, IA","Denison, IA",0,3,0,0,2,1,1,0,2,3,2011
45682,"Mitchellville, IA","Marion, IA",0,3,0,0,3,0,0,1,2,3,2011
45651,"Mitchellville, IA","Hampton, IA",2,1,0,0,1,2,2,0,1,3,2011
45588,"Mitchellville, IA","Bondurant, IA",0,2,1,1,1,1,1,1,1,3,2011
45607,"Mitchellville, IA","Clear Lake, IA",0,2,1,1,1,1,1,1,1,3,2011
45769,"Mitchellville, IA","Washington, IA",1,1,1,0,2,1,1,2,0,3,2011
45571,"Mitchellville, IA","Algona, IA",0,3,0,3,0,0,0,0,3,3,2011
45646,"Mitchellville, IA","Glenwood, IA",0,2,1,0,2,1,1,2,0,3,2011
45685,"Mitchellville, IA","Maxwell, IA",1,2,0,0,3,0,2,1,0,3,2011
45745,"Mitchellville, IA","Shelby, IA",1,2,0,0,0,3,0,2,1,3,2011
45649,"Mitchellville, IA","Grinnell, IA",1,2,0,1,1,1,2,0,1,3,2011
45578,"Mitchellville, IA","Atlantic, IA",2,1,0,1,2,0,0,3,0,3,2011
45638,"Mitchellville, IA","Fairfield, IA",0,3,0,0,1,2,1,0,2,3,2011
