,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51723,"Onawa, IA","Onawa, IA",117,303,116,65,374,97,165,248,123,536,2011
51745,"Onawa, IA","Sioux City, IA",22,74,23,18,73,28,36,44,39,119,2011
51737,"Onawa, IA","Rodney, IA",23,29,20,2,63,7,29,39,4,72,2011
51741,"Onawa, IA","Sergeant Bluff, IA",9,40,6,15,34,6,6,25,24,55,2011
51746,"Onawa, IA","Sloan, IA",11,33,10,2,44,8,23,19,12,54,2011
51677,"Onawa, IA","Des Moines, IA",7,19,5,0,22,9,10,8,13,31,2011
51676,"Onawa, IA","Denison, IA",10,7,5,1,17,4,11,8,3,22,2011
51669,"Onawa, IA","Council Bluffs, IA",7,7,6,4,10,6,7,8,5,20,2011
51646,"Onawa, IA","Ames, IA",2,10,3,2,10,3,5,3,7,15,2011
51686,"Onawa, IA","Harlan, IA",1,4,6,0,10,1,1,3,7,11,2011
51708,"Onawa, IA","Mapleton, IA",2,8,1,3,7,1,3,5,3,11,2011
51715,"Onawa, IA","Missouri Valley, IA",1,7,2,0,9,1,7,1,2,10,2011
51667,"Onawa, IA","Clive, IA",3,3,4,0,9,1,5,4,1,10,2011
51703,"Onawa, IA","Le Mars, IA",0,6,3,0,5,4,2,1,6,9,2011
51648,"Onawa, IA","Anthon, IA",2,6,0,1,4,3,6,1,1,8,2011
51681,"Onawa, IA","Fort Dodge, IA",4,3,1,1,4,3,3,3,2,8,2011
51672,"Onawa, IA","Cushing, IA",1,7,0,0,0,8,0,2,6,8,2011
51748,"Onawa, IA","Spencer, IA",2,3,2,3,1,3,2,1,4,7,2011
51673,"Onawa, IA","Danbury, IA",0,3,4,4,1,2,4,1,2,7,2011
51750,"Onawa, IA","Storm Lake, IA",1,5,0,0,2,4,2,2,2,6,2011
51713,"Onawa, IA","Melcher-Dallas, IA",0,5,1,5,1,0,0,5,1,6,2011
51744,"Onawa, IA","Sioux Center, IA",2,3,0,0,1,4,2,3,0,5,2011
51752,"Onawa, IA","Urbandale, IA",0,2,3,0,4,1,3,1,1,5,2011
51747,"Onawa, IA","Soldier, IA",1,3,1,0,5,0,2,0,3,5,2011
51697,"Onawa, IA","Johnston, IA",3,2,0,1,3,1,1,2,2,5,2011
51660,"Onawa, IA","Carroll, IA",3,0,2,0,2,3,3,1,1,5,2011
51678,"Onawa, IA","Dunlap, IA",0,5,0,0,3,2,1,1,3,5,2011
51643,"Onawa, IA","Adel, IA",2,2,1,2,1,2,0,4,1,5,2011
51661,"Onawa, IA","Carter Lake, IA",1,3,0,2,1,1,2,0,2,4,2011
51647,"Onawa, IA","Ankeny, IA",2,0,2,1,2,1,2,1,1,4,2011
51663,"Onawa, IA","Castana, IA",2,2,0,3,1,0,2,2,0,4,2011
51700,"Onawa, IA","Lake City, IA",3,1,0,0,1,3,3,0,1,4,2011
51753,"Onawa, IA","Wall Lake, IA",1,1,2,3,0,1,0,1,3,4,2011
51674,"Onawa, IA","Dawson, IA",1,2,1,1,0,3,1,0,3,4,2011
51742,"Onawa, IA","Sheldon, IA",0,3,0,1,1,1,1,1,1,3,2011
51734,"Onawa, IA","Red Oak, IA",0,3,0,1,2,0,2,1,0,3,2011
51731,"Onawa, IA","Primghar, IA",0,2,1,1,1,1,0,2,1,3,2011
51693,"Onawa, IA","Ida Grove, IA",0,2,1,2,1,0,0,1,2,3,2011
51728,"Onawa, IA","Pierson, IA",0,3,0,0,1,2,2,1,0,3,2011
51651,"Onawa, IA","Atlantic, IA",1,2,0,2,1,0,0,0,3,3,2011
51670,"Onawa, IA","Creston, IA",1,2,0,2,1,0,0,3,0,3,2011
51729,"Onawa, IA","Pleasant Hill, IA",1,2,0,0,1,2,2,1,0,3,2011
51755,"Onawa, IA","Webster City, IA",1,0,2,0,1,2,0,3,0,3,2011
51756,"Onawa, IA","West Des Moines, IA",0,1,2,2,0,1,1,2,0,3,2011
51714,"Onawa, IA","Merrill, IA",0,1,2,0,0,3,0,3,0,3,2011
51707,"Onawa, IA","Magnolia, IA",0,2,0,0,0,2,0,0,2,2,2011
51717,"Onawa, IA","Moville, IA",2,0,0,2,0,0,0,0,2,2,2011
51732,"Onawa, IA","Quimby, IA",0,2,0,0,0,2,0,1,1,2,2011
51709,"Onawa, IA","Marcus, IA",2,0,0,0,0,2,0,0,2,2,2011
51719,"Onawa, IA","Newell, IA",0,2,0,1,0,1,1,1,0,2,2011
51733,"Onawa, IA","Randall, IA",0,2,0,0,2,0,0,0,2,2,2011
51710,"Onawa, IA","Marshalltown, IA",0,2,0,1,1,0,0,2,0,2,2011
51735,"Onawa, IA","Rock Rapids, IA",0,0,2,0,2,0,0,0,2,2,2011
51720,"Onawa, IA","Newton, IA",1,1,0,0,1,1,0,2,0,2,2011
51736,"Onawa, IA","Rock Valley, IA",2,0,0,1,1,0,2,0,0,2,2011
51683,"Onawa, IA","Glenwood, IA",1,1,0,0,2,0,1,1,0,2,2011
51696,"Onawa, IA","Iowa Falls, IA",0,2,0,0,0,2,1,1,0,2,2011
51743,"Onawa, IA","Shenandoah, IA",1,1,0,1,1,0,0,1,1,2,2011
51758,"Onawa, IA","Windsor Heights, IA",1,0,1,0,0,2,2,0,0,2,2011
51757,"Onawa, IA","Westside, IA",1,1,0,2,0,0,1,0,1,2,2011
51653,"Onawa, IA","Aurelia, IA",0,2,0,1,1,0,0,0,2,2,2011
51655,"Onawa, IA","Boone, IA",1,1,0,0,1,1,0,1,1,2,2011
51754,"Onawa, IA","Webb, IA",0,2,0,0,0,2,0,2,0,2,2011
51751,"Onawa, IA","Tennant, IA",1,1,0,1,1,0,1,1,0,2,2011
51749,"Onawa, IA","Spirit Lake, IA",1,1,0,0,2,0,1,1,0,2,2011
51679,"Onawa, IA","Eldora, IA",0,2,0,0,1,1,1,0,1,2,2011
51724,"Onawa, IA","Orange City, IA",1,1,0,0,2,0,1,1,0,2,2011
51684,"Onawa, IA","Greenfield, IA",0,1,1,0,2,0,0,1,1,2,2011
51689,"Onawa, IA","Hinton, IA",0,1,1,0,1,1,1,1,0,2,2011
51691,"Onawa, IA","Hull, IA",1,1,0,0,1,1,2,0,0,2,2011
51692,"Onawa, IA","Humboldt, IA",0,1,1,0,0,2,2,0,0,2,2011
51727,"Onawa, IA","Perry, IA",1,0,0,0,0,1,1,0,0,1,2011
51761,"Onawa, IA","Woodbine, IA",0,1,0,0,1,0,1,0,0,1,2011
51726,"Onawa, IA","Palmer, IA",0,0,1,1,0,0,0,1,0,1,2011
51725,"Onawa, IA","Osceola, IA",0,1,0,0,1,0,0,1,0,1,2011
51760,"Onawa, IA","Wiota, IA",0,1,0,0,1,0,1,0,0,1,2011
51730,"Onawa, IA","Pleasantville, IA",0,0,1,0,1,0,0,1,0,1,2011
51759,"Onawa, IA","Winterset, IA",0,0,1,0,0,1,1,0,0,1,2011
51738,"Onawa, IA","Roland, IA",0,1,0,0,0,1,0,1,0,1,2011
51740,"Onawa, IA","Sac City, IA",1,0,0,0,0,1,0,1,0,1,2011
51739,"Onawa, IA","Royal, IA",0,0,1,0,1,0,0,1,0,1,2011
51642,"Onawa, IA","Adair, IA",0,1,0,1,0,0,0,1,0,1,2011
51702,"Onawa, IA","Lakeside, IA",1,0,0,1,0,0,0,1,0,1,2011
51722,"Onawa, IA","Norwalk, IA",1,0,0,0,0,1,1,0,0,1,2011
51658,"Onawa, IA","Bussey, IA",1,0,0,1,0,0,0,1,0,1,2011
51671,"Onawa, IA","Cromwell, IA",0,1,0,1,0,0,0,1,0,1,2011
51668,"Onawa, IA","Corydon, IA",0,1,0,0,0,1,0,1,0,1,2011
51666,"Onawa, IA","Clarinda, IA",0,0,1,0,1,0,0,1,0,1,2011
51665,"Onawa, IA","Cherokee, IA",0,0,1,0,0,1,0,1,0,1,2011
51664,"Onawa, IA","Charter Oak, IA",0,1,0,0,1,0,0,0,1,1,2011
51662,"Onawa, IA","Casey, IA",1,0,0,0,1,0,0,1,0,1,2011
51659,"Onawa, IA","Carlisle, IA",0,1,0,0,0,1,1,0,0,1,2011
51657,"Onawa, IA","Bronson, IA",0,1,0,0,0,1,0,0,1,1,2011
51721,"Onawa, IA","Nodaway, IA",0,0,1,0,0,1,1,0,0,1,2011
51656,"Onawa, IA","Boyden, IA",1,0,0,1,0,0,1,0,0,1,2011
51654,"Onawa, IA","Bagley, IA",0,1,0,1,0,0,0,0,1,1,2011
51652,"Onawa, IA","Audubon, IA",0,1,0,0,0,1,0,0,1,1,2011
51650,"Onawa, IA","Ashton, IA",0,1,0,1,0,0,0,1,0,1,2011
51649,"Onawa, IA","Arthur, IA",0,1,0,0,0,1,0,0,1,1,2011
51645,"Onawa, IA","Alton, IA",0,0,1,0,0,1,0,0,1,1,2011
51644,"Onawa, IA","Akron, IA",0,1,0,0,1,0,0,0,1,1,2011
51675,"Onawa, IA","Deloit, IA",0,1,0,0,0,1,0,1,0,1,2011
51680,"Onawa, IA","Estherville, IA",1,0,0,0,1,0,1,0,0,1,2011
51682,"Onawa, IA","Fostoria, IA",0,0,1,1,0,0,0,0,1,1,2011
51685,"Onawa, IA","Guthrie Center, IA",0,0,1,0,1,0,1,0,0,1,2011
51718,"Onawa, IA","Murray, IA",1,0,0,0,1,0,1,0,0,1,2011
51716,"Onawa, IA","Monroe, IA",1,0,0,0,1,0,1,0,0,1,2011
51712,"Onawa, IA","Massena, IA",0,1,0,0,0,1,0,1,0,1,2011
51711,"Onawa, IA","Mason City, IA",0,1,0,1,0,0,0,0,1,1,2011
51706,"Onawa, IA","Macedonia, IA",0,1,0,0,0,1,0,0,1,1,2011
51705,"Onawa, IA","Logan, IA",0,1,0,0,1,0,1,0,0,1,2011
51704,"Onawa, IA","Linden, IA",0,1,0,0,0,1,1,0,0,1,2011
51701,"Onawa, IA","Lake View, IA",0,1,0,1,0,0,0,0,1,1,2011
51699,"Onawa, IA","Knoxville, IA",0,1,0,1,0,0,0,0,1,1,2011
51698,"Onawa, IA","Kirkman, IA",0,1,0,0,1,0,1,0,0,1,2011
51695,"Onawa, IA","Indianola, IA",0,0,1,0,1,0,1,0,0,1,2011
51694,"Onawa, IA","Imogene, IA",0,0,1,0,1,0,0,1,0,1,2011
51690,"Onawa, IA","Hospers, IA",1,0,0,0,1,0,0,1,0,1,2011
51688,"Onawa, IA","Hawarden, IA",0,1,0,1,0,0,1,0,0,1,2011
51687,"Onawa, IA","Harris, IA",0,1,0,1,0,0,1,0,0,1,2011
51762,"Onawa, IA","Yetter, IA",0,1,0,1,0,0,0,0,1,1,2011
