,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59044,"Riverdale, IA","Davenport, IA",95,257,77,67,269,93,98,180,151,429,2011
59028,"Riverdale, IA","Bettendorf, IA",127,201,63,16,285,90,169,157,65,391,2011
59124,"Riverdale, IA","Riverdale, IA",50,74,33,26,98,33,46,66,45,157,2011
59115,"Riverdale, IA","Panorama Park, IA",14,65,17,47,21,28,9,42,45,96,2011
59055,"Riverdale, IA","Eldridge, IA",29,48,15,30,44,18,15,44,33,92,2011
59037,"Riverdale, IA","Cedar Rapids, IA",12,23,6,4,25,12,12,14,15,41,2011
59049,"Riverdale, IA","Des Moines, IA",5,24,7,1,19,16,7,13,16,36,2011
59074,"Riverdale, IA","Iowa City, IA",11,17,7,2,25,8,14,12,9,35,2011
59042,"Riverdale, IA","Council Bluffs, IA",9,13,5,2,16,9,9,11,7,27,2011
59102,"Riverdale, IA","Muscatine, IA",7,15,3,10,10,5,2,13,10,25,2011
59039,"Riverdale, IA","Clive, IA",5,13,3,0,17,4,8,5,8,21,2011
59051,"Riverdale, IA","Dubuque, IA",8,4,6,2,6,10,10,6,2,18,2011
59038,"Riverdale, IA","Clinton, IA",6,10,2,6,7,5,7,7,4,18,2011
59138,"Riverdale, IA","Urbandale, IA",5,8,1,2,7,5,4,2,8,14,2011
59071,"Riverdale, IA","Hiawatha, IA",3,8,1,0,4,8,4,5,3,12,2011
59126,"Riverdale, IA","Sageville, IA",2,7,1,8,1,1,1,0,9,10,2011
59033,"Riverdale, IA","Camanche, IA",2,8,0,4,5,1,2,3,5,10,2011
59143,"Riverdale, IA","Waterloo, IA",1,6,3,0,9,1,2,5,3,10,2011
59080,"Riverdale, IA","Le Claire, IA",4,2,3,2,6,1,6,2,1,9,2011
59131,"Riverdale, IA","Sioux City, IA",2,6,0,2,1,5,3,4,1,8,2011
59022,"Riverdale, IA","Ames, IA",2,3,3,1,1,6,2,3,3,8,2011
59029,"Riverdale, IA","Blue Grass, IA",3,4,1,5,2,1,2,2,4,8,2011
59087,"Riverdale, IA","Low Moor, IA",2,3,2,4,1,2,1,4,2,7,2011
59132,"Riverdale, IA","Spencer, IA",2,3,2,1,3,3,3,0,4,7,2011
59024,"Riverdale, IA","Ankeny, IA",2,5,0,1,4,2,3,1,3,7,2011
59153,"Riverdale, IA","Windsor Heights, IA",2,1,3,0,0,6,3,1,2,6,2011
59045,"Riverdale, IA","De Witt, IA",1,4,1,0,6,0,4,0,2,6,2011
59089,"Riverdale, IA","Maquoketa, IA",2,4,0,0,4,2,4,2,0,6,2011
59145,"Riverdale, IA","Waukon, IA",5,0,0,0,3,2,5,0,0,5,2011
59091,"Riverdale, IA","Marshalltown, IA",0,4,1,0,3,2,0,2,3,5,2011
59108,"Riverdale, IA","North Liberty, IA",3,2,0,2,0,3,1,2,2,5,2011
59041,"Riverdale, IA","Coralville, IA",2,3,0,0,1,4,2,2,1,5,2011
59025,"Riverdale, IA","Asbury, IA",4,1,0,0,2,3,4,1,0,5,2011
59046,"Riverdale, IA","Decorah, IA",4,1,0,1,1,3,3,2,0,5,2011
59048,"Riverdale, IA","Denison, IA",1,2,1,0,3,1,2,0,2,4,2011
59117,"Riverdale, IA","Pleasant Hill, IA",2,2,0,0,2,2,2,1,1,4,2011
59119,"Riverdale, IA","Princeton, IA",1,2,1,0,4,0,0,2,2,4,2011
59031,"Riverdale, IA","Buffalo, IA",0,2,2,1,1,2,2,1,1,4,2011
59125,"Riverdale, IA","Robins, IA",0,3,1,0,3,1,1,1,2,4,2011
59128,"Riverdale, IA","Sergeant Bluff, IA",2,1,1,0,1,3,0,1,3,4,2011
59036,"Riverdale, IA","Cedar Falls, IA",2,1,1,1,1,2,1,2,1,4,2011
59148,"Riverdale, IA","West Des Moines, IA",1,1,2,0,1,3,2,1,1,4,2011
59149,"Riverdale, IA","West Liberty, IA",3,0,1,1,2,1,0,3,1,4,2011
59059,"Riverdale, IA","Fairfax, IA",3,1,0,0,1,3,3,1,0,4,2011
59062,"Riverdale, IA","Fort Dodge, IA",0,3,1,0,1,3,1,0,3,4,2011
59147,"Riverdale, IA","West Burlington, IA",1,2,0,1,0,2,0,1,2,3,2011
59032,"Riverdale, IA","Burlington, IA",1,1,1,0,1,2,2,1,0,3,2011
59052,"Riverdale, IA","Dyersville, IA",0,2,1,1,1,1,1,1,1,3,2011
59076,"Riverdale, IA","Keokuk, IA",1,1,1,0,1,2,2,1,0,3,2011
59092,"Riverdale, IA","Martelle, IA",1,1,1,1,0,2,1,2,0,3,2011
59093,"Riverdale, IA","Mason City, IA",0,0,3,0,1,2,2,0,1,3,2011
59140,"Riverdale, IA","Walcott, IA",1,2,0,0,1,2,1,2,0,3,2011
59113,"Riverdale, IA","Ottumwa, IA",1,2,0,0,1,2,1,2,0,3,2011
59112,"Riverdale, IA","Oskaloosa, IA",2,1,0,0,2,1,2,1,0,3,2011
59100,"Riverdale, IA","Mount Pleasant, IA",1,0,1,0,0,2,1,1,0,2,2011
59152,"Riverdale, IA","Wilton, IA",0,1,1,1,0,1,1,0,1,2,2011
59144,"Riverdale, IA","Waukee, IA",0,2,0,0,1,1,0,0,2,2,2011
59104,"Riverdale, IA","New Sharon, IA",0,2,0,1,1,0,0,1,1,2,2011
59021,"Riverdale, IA","Altoona, IA",1,1,0,0,0,2,0,2,0,2,2011
59105,"Riverdale, IA","Newell, IA",1,1,0,0,1,1,2,0,0,2,2011
59141,"Riverdale, IA","Wall Lake, IA",1,0,1,0,1,1,0,1,1,2,2011
59058,"Riverdale, IA","Evansdale, IA",1,0,1,0,1,1,1,0,1,2,2011
59086,"Riverdale, IA","Long Grove, IA",0,1,1,1,1,0,0,2,0,2,2011
59081,"Riverdale, IA","Le Mars, IA",0,0,2,0,0,2,0,0,2,2,2011
59136,"Riverdale, IA","University Heights, IA",1,0,1,0,1,1,0,0,2,2,2011
59133,"Riverdale, IA","Storm Lake, IA",0,1,1,0,1,1,0,1,1,2,2011
59069,"Riverdale, IA","Harvey, IA",0,2,0,0,0,2,1,1,0,2,2011
59075,"Riverdale, IA","Iowa Falls, IA",0,2,0,1,0,1,0,1,1,2,2011
59035,"Riverdale, IA","Cascade, IA",1,1,0,0,2,0,1,1,0,2,2011
59130,"Riverdale, IA","Sioux Center, IA",0,2,0,1,0,1,1,0,1,2,2011
59146,"Riverdale, IA","West Branch, IA",0,0,1,0,0,1,0,1,0,1,2011
59111,"Riverdale, IA","Osage, IA",0,1,0,1,0,0,0,0,1,1,2011
59135,"Riverdale, IA","Tipton, IA",1,0,0,0,0,1,1,0,0,1,2011
59134,"Riverdale, IA","Tiffin, IA",0,1,0,0,0,1,1,0,0,1,2011
59114,"Riverdale, IA","Pacific Junction, IA",0,1,0,0,0,1,0,1,0,1,2011
59139,"Riverdale, IA","Van Meter, IA",0,1,0,0,0,1,0,1,0,1,2011
59116,"Riverdale, IA","Peosta, IA",0,1,0,1,0,0,0,1,0,1,2011
59118,"Riverdale, IA","Polk City, IA",0,1,0,0,1,0,0,0,1,1,2011
59127,"Riverdale, IA","Sanborn, IA",1,0,0,0,1,0,1,0,0,1,2011
59142,"Riverdale, IA","Washington, IA",0,1,0,0,0,1,0,1,0,1,2011
59120,"Riverdale, IA","Rake, IA",0,1,0,1,0,0,0,1,0,1,2011
59151,"Riverdale, IA","Williamsburg, IA",0,1,0,1,0,0,0,0,1,1,2011
59121,"Riverdale, IA","Randolph, IA",0,1,0,0,1,0,0,1,0,1,2011
59150,"Riverdale, IA","Wheatland, IA",1,0,0,0,1,0,0,1,0,1,2011
59122,"Riverdale, IA","Rathbun, IA",0,1,0,0,1,0,0,1,0,1,2011
59129,"Riverdale, IA","Sibley, IA",0,0,1,0,1,0,0,1,0,1,2011
59110,"Riverdale, IA","Orange City, IA",1,0,0,0,1,0,1,0,0,1,2011
59123,"Riverdale, IA","Richland, IA",0,1,0,0,1,0,0,0,1,1,2011
59137,"Riverdale, IA","Urbana, IA",0,1,0,0,0,1,0,0,1,1,2011
59020,"Riverdale, IA","Albia, IA",1,0,0,0,0,1,1,0,0,1,2011
59109,"Riverdale, IA","Onawa, IA",0,0,1,1,0,0,0,0,1,1,2011
59068,"Riverdale, IA","Hampton, IA",0,0,1,1,0,0,0,1,0,1,2011
59066,"Riverdale, IA","Grimes, IA",0,1,0,0,0,1,0,1,0,1,2011
59065,"Riverdale, IA","Grandview, IA",0,1,0,0,0,1,0,1,0,1,2011
59064,"Riverdale, IA","Glenwood, IA",0,1,0,0,1,0,0,1,0,1,2011
59063,"Riverdale, IA","Fruitland, IA",0,1,0,0,0,1,0,1,0,1,2011
59061,"Riverdale, IA","Forest City, IA",0,0,1,0,1,0,0,0,1,1,2011
59060,"Riverdale, IA","Farley, IA",0,1,0,0,1,0,1,0,0,1,2011
59057,"Riverdale, IA","Emmetsburg, IA",0,0,1,0,1,0,0,0,1,1,2011
59056,"Riverdale, IA","Elk Run Heights, IA",1,0,0,1,0,0,0,1,0,1,2011
59054,"Riverdale, IA","Eldora, IA",1,0,0,0,0,1,0,1,0,1,2011
59053,"Riverdale, IA","Edgewood, IA",0,1,0,0,0,1,1,0,0,1,2011
59050,"Riverdale, IA","Dixon, IA",1,0,0,1,0,0,0,1,0,1,2011
59047,"Riverdale, IA","Delaware, IA",0,1,0,0,0,1,0,0,1,1,2011
59043,"Riverdale, IA","Cresco, IA",0,1,0,0,1,0,0,1,0,1,2011
59040,"Riverdale, IA","Columbus Junction, IA",0,1,0,0,0,1,0,1,0,1,2011
59034,"Riverdale, IA","Carroll, IA",0,1,0,0,0,1,1,0,0,1,2011
59030,"Riverdale, IA","Boyden, IA",0,0,1,1,0,0,1,0,0,1,2011
59027,"Riverdale, IA","Bennett, IA",0,0,1,0,1,0,0,0,1,1,2011
59026,"Riverdale, IA","Atalissa, IA",1,0,0,0,0,1,0,1,0,1,2011
59023,"Riverdale, IA","Anamosa, IA",0,1,0,0,0,1,0,0,1,1,2011
59067,"Riverdale, IA","Grundy Center, IA",0,1,0,1,0,0,0,1,0,1,2011
59070,"Riverdale, IA","Henderson, IA",0,1,0,0,1,0,0,0,1,1,2011
59107,"Riverdale, IA","Nichols, IA",1,0,0,0,1,0,0,1,0,1,2011
59072,"Riverdale, IA","Huxley, IA",0,1,0,0,1,0,0,0,1,1,2011
59106,"Riverdale, IA","Newton, IA",0,0,1,0,1,0,0,0,1,1,2011
59103,"Riverdale, IA","New London, IA",1,0,0,0,0,1,1,0,0,1,2011
59101,"Riverdale, IA","Mount Union, IA",1,0,0,0,0,1,0,1,0,1,2011
59099,"Riverdale, IA","Monticello, IA",1,0,0,0,0,1,1,0,0,1,2011
59098,"Riverdale, IA","Minden, IA",0,0,1,0,0,1,0,0,1,1,2011
59097,"Riverdale, IA","Meriden, IA",0,1,0,0,1,0,0,0,1,1,2011
59096,"Riverdale, IA","Melcher-Dallas, IA",1,0,0,0,0,1,0,1,0,1,2011
59095,"Riverdale, IA","Mediapolis, IA",0,1,0,0,0,1,0,0,1,1,2011
59094,"Riverdale, IA","McCausland, IA",0,1,0,0,1,0,0,0,1,1,2011
59090,"Riverdale, IA","Marengo, IA",1,0,0,1,0,0,0,0,1,1,2011
59088,"Riverdale, IA","Manchester, IA",1,0,0,0,1,0,1,0,0,1,2011
59085,"Riverdale, IA","Lone Tree, IA",0,1,0,0,1,0,1,0,0,1,2011
59084,"Riverdale, IA","Logan, IA",0,1,0,0,0,1,0,0,1,1,2011
59083,"Riverdale, IA","Lockridge, IA",0,1,0,1,0,0,0,1,0,1,2011
59082,"Riverdale, IA","Lisbon, IA",0,0,1,0,0,1,0,0,1,1,2011
59079,"Riverdale, IA","Lakeside, IA",1,0,0,1,0,0,0,1,0,1,2011
59078,"Riverdale, IA","Lake Mills, IA",1,0,0,0,1,0,1,0,0,1,2011
