,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
63132,"Sigourney, IA","Sigourney, IA",63,146,69,34,188,56,114,108,56,278,2011
63111,"Sigourney, IA","Ottumwa, IA",9,43,18,15,46,9,22,28,20,70,2011
63109,"Sigourney, IA","Oskaloosa, IA",8,26,12,25,16,5,8,24,14,46,2011
63144,"Sigourney, IA","University Park, IA",6,22,4,6,21,5,7,19,6,32,2011
63032,"Sigourney, IA","Des Moines, IA",6,15,3,8,15,1,5,8,11,24,2011
63042,"Sigourney, IA","Fairfield, IA",5,16,3,5,17,2,4,12,8,24,2011
63153,"Sigourney, IA","Webster, IA",9,12,3,18,6,0,5,15,4,24,2011
63148,"Sigourney, IA","Washington, IA",10,7,3,4,12,4,9,5,6,20,2011
63090,"Sigourney, IA","Melcher-Dallas, IA",3,13,3,16,0,3,2,9,8,19,2011
63005,"Sigourney, IA","Blairstown, IA",8,8,3,19,0,0,2,9,8,19,2011
63084,"Sigourney, IA","Marengo, IA",8,8,0,12,4,0,1,5,10,16,2011
63069,"Sigourney, IA","Keota, IA",5,8,2,7,7,1,7,6,2,15,2011
63016,"Sigourney, IA","Cedar Rapids, IA",3,7,4,4,5,5,1,8,5,14,2011
63098,"Sigourney, IA","Mount Pleasant, IA",3,7,3,4,7,2,6,5,2,13,2011
63030,"Sigourney, IA","Delta, IA",2,9,1,2,10,0,8,4,0,12,2011
63086,"Sigourney, IA","Marshalltown, IA",2,8,2,0,10,2,1,11,0,12,2011
63160,"Sigourney, IA","Williamsburg, IA",0,6,5,4,5,2,3,3,5,11,2011
63001,"Sigourney, IA","Ankeny, IA",1,9,1,2,6,3,2,5,4,11,2011
63063,"Sigourney, IA","Iowa City, IA",3,7,0,1,6,3,2,2,6,10,2011
63065,"Sigourney, IA","Johnston, IA",2,6,1,1,1,7,1,3,5,9,2011
63050,"Sigourney, IA","Gibson, IA",7,2,0,3,6,0,4,5,0,9,2011
63021,"Sigourney, IA","Clive, IA",7,1,1,0,5,4,6,3,0,9,2011
63000,"Sigourney, IA","Ames, IA",3,3,3,0,6,3,5,1,3,9,2011
63125,"Sigourney, IA","Richland, IA",0,5,3,0,4,4,2,2,4,8,2011
63060,"Sigourney, IA","Hiawatha, IA",1,6,1,0,6,2,3,3,2,8,2011
63018,"Sigourney, IA","Chariton, IA",5,2,1,1,3,4,4,2,2,8,2011
63149,"Sigourney, IA","Waterloo, IA",1,4,3,5,2,1,0,2,6,8,2011
63049,"Sigourney, IA","Fremont, IA",0,5,3,3,4,1,1,4,3,8,2011
63023,"Sigourney, IA","Council Bluffs, IA",0,5,2,0,5,2,2,5,0,7,2011
63092,"Sigourney, IA","Montezuma, IA",2,5,0,5,2,0,1,1,5,7,2011
63117,"Sigourney, IA","Pleasant Hill, IA",1,5,1,1,2,4,2,3,2,7,2011
63116,"Sigourney, IA","Pella, IA",1,4,2,3,1,3,1,3,3,7,2011
63020,"Sigourney, IA","Clinton, IA",1,2,3,1,5,0,0,5,1,6,2011
63027,"Sigourney, IA","Davenport, IA",2,4,0,1,2,3,3,1,2,6,2011
63161,"Sigourney, IA","Windsor Heights, IA",0,4,2,0,3,3,2,3,1,6,2011
63034,"Sigourney, IA","Eddyville, IA",0,5,1,1,0,5,0,4,2,6,2011
63004,"Sigourney, IA","Bettendorf, IA",4,1,1,0,0,6,5,0,1,6,2011
63150,"Sigourney, IA","Waukee, IA",1,3,1,0,1,4,1,2,2,5,2011
63055,"Sigourney, IA","Grinnell, IA",1,3,1,1,3,1,1,2,2,5,2011
63064,"Sigourney, IA","Iowa Falls, IA",3,2,0,1,3,1,1,3,1,5,2011
63062,"Sigourney, IA","Indianola, IA",3,1,1,0,4,1,1,3,1,5,2011
63037,"Sigourney, IA","Elk Run Heights, IA",1,4,0,4,1,0,0,3,2,5,2011
63025,"Sigourney, IA","Creston, IA",2,3,0,1,3,1,4,1,0,5,2011
63102,"Sigourney, IA","Newton, IA",0,4,0,0,2,2,1,3,0,4,2011
63006,"Sigourney, IA","Bloomfield, IA",2,1,1,0,3,1,0,3,1,4,2011
63012,"Sigourney, IA","Bussey, IA",1,2,1,3,1,0,0,1,3,4,2011
63066,"Sigourney, IA","Kalona, IA",2,2,0,3,0,1,0,3,1,4,2011
63134,"Sigourney, IA","South English, IA",1,2,1,4,0,0,3,1,0,4,2011
63015,"Sigourney, IA","Cedar Falls, IA",4,0,0,0,2,2,2,1,1,4,2011
63100,"Sigourney, IA","Nevada, IA",1,2,1,1,2,1,3,0,1,4,2011
62999,"Sigourney, IA","Altoona, IA",4,0,0,1,3,0,1,3,0,4,2011
63097,"Sigourney, IA","Moulton, IA",1,2,1,0,4,0,1,3,0,4,2011
63073,"Sigourney, IA","Kirkville, IA",0,3,0,1,1,1,0,2,1,3,2011
