,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
3553,"Aredale, IA","Hampton, IA",4,10,5,9,7,3,6,7,6,19,2011
3556,"Aredale, IA","Iowa Falls, IA",2,5,4,5,2,4,1,6,4,11,2011
3572,"Aredale, IA","Sheffield, IA",1,3,6,5,2,3,4,3,3,10,2011
3542,"Aredale, IA","Bristow, IA",0,6,0,1,0,5,1,3,2,6,2011
3538,"Aredale, IA","Aredale, IA",1,0,4,1,1,3,1,1,3,5,2011
3537,"Aredale, IA","Alden, IA",1,2,1,0,0,4,1,2,1,4,2011
3552,"Aredale, IA","Geneva, IA",0,2,2,2,1,1,2,1,1,4,2011
3566,"Aredale, IA","Owasa, IA",0,3,1,2,1,1,3,1,0,4,2011
3560,"Aredale, IA","Mason City, IA",1,3,0,1,1,2,2,0,2,4,2011
3540,"Aredale, IA","Belmond, IA",0,2,1,1,1,1,1,0,2,3,2011
3574,"Aredale, IA","Thornton, IA",1,0,2,2,1,0,2,1,0,3,2011
3563,"Aredale, IA","Nora Springs, IA",1,1,1,1,1,1,1,1,1,3,2011
3547,"Aredale, IA","Crystal Lake, IA",0,3,0,1,0,2,0,1,2,3,2011
3576,"Aredale, IA","Wellsburg, IA",0,1,1,0,0,2,0,2,0,2,2011
3564,"Aredale, IA","Northwood, IA",2,0,0,1,1,0,1,0,1,2,2011
3562,"Aredale, IA","Morrison, IA",0,1,1,0,0,2,0,1,1,2,2011
3561,"Aredale, IA","Merrill, IA",0,2,0,0,0,2,1,0,1,2,2011
3535,"Aredale, IA","Ackley, IA",2,0,0,0,0,2,2,0,0,2,2011
3549,"Aredale, IA","Eldora, IA",0,2,0,0,0,2,1,0,1,2,2011
3548,"Aredale, IA","Dougherty, IA",0,1,1,2,0,0,0,2,0,2,2011
3546,"Aredale, IA","Clive, IA",1,0,1,0,0,2,0,2,0,2,2011
3545,"Aredale, IA","Clear Lake, IA",0,2,0,1,0,1,0,0,2,2,2011
3551,"Aredale, IA","Floyd, IA",0,1,0,0,0,1,0,0,1,1,2011
3568,"Aredale, IA","Pomeroy, IA",0,1,0,0,0,1,0,0,1,1,2011
3539,"Aredale, IA","Audubon, IA",0,0,1,0,0,1,0,0,1,1,2011
3575,"Aredale, IA","Webster City, IA",0,1,0,0,0,1,1,0,0,1,2011
3541,"Aredale, IA","Blairstown, IA",0,0,1,1,0,0,0,0,1,1,2011
3573,"Aredale, IA","Swea City, IA",1,0,0,0,1,0,1,0,0,1,2011
3543,"Aredale, IA","Cambridge, IA",0,1,0,0,0,1,0,0,1,1,2011
3571,"Aredale, IA","Rockwell, IA",0,1,0,1,0,0,0,1,0,1,2011
3570,"Aredale, IA","Rockford, IA",0,1,0,1,0,0,0,1,0,1,2011
3569,"Aredale, IA","Renwick, IA",0,1,0,0,1,0,1,0,0,1,2011
3565,"Aredale, IA","Ottumwa, IA",0,1,0,0,0,1,0,0,1,1,2011
3567,"Aredale, IA","Parkersburg, IA",1,0,0,0,1,0,1,0,0,1,2011
3544,"Aredale, IA","Cedar Falls, IA",0,1,0,0,0,1,0,0,1,1,2011
3554,"Aredale, IA","Hazleton, IA",1,0,0,0,0,1,0,0,1,1,2011
3550,"Aredale, IA","Farnhamville, IA",1,0,0,0,0,1,0,1,0,1,2011
3559,"Aredale, IA","Linden, IA",0,1,0,0,0,1,0,0,1,1,2011
3558,"Aredale, IA","Joice, IA",0,0,1,1,0,0,0,0,1,1,2011
3557,"Aredale, IA","Jewell Junction, IA",0,0,1,0,0,1,0,0,1,1,2011
3536,"Aredale, IA","Ackworth, IA",1,0,0,0,0,1,0,0,1,1,2011
3555,"Aredale, IA","Iowa City, IA",1,0,0,0,0,1,0,1,0,1,2011
3577,"Aredale, IA","Winterset, IA",1,0,0,0,0,1,1,0,0,1,2011
