,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
7092,"Blue Grass, IA","Davenport, IA",77,214,45,170,96,70,63,97,176,336,2011
7137,"Blue Grass, IA","Muscatine, IA",37,188,49,226,12,36,16,61,197,274,2011
7077,"Blue Grass, IA","Blue Grass, IA",28,85,29,68,42,32,30,36,76,142,2011
7075,"Blue Grass, IA","Bettendorf, IA",18,66,12,58,17,21,10,16,70,96,2011
7079,"Blue Grass, IA","Buffalo, IA",10,52,14,41,21,14,19,20,37,76,2011
7176,"Blue Grass, IA","Walcott, IA",12,31,12,31,17,7,16,13,26,55,2011
7190,"Blue Grass, IA","Wilton, IA",8,25,13,33,7,6,6,8,32,46,2011
7073,"Blue Grass, IA","Bennett, IA",8,23,2,24,4,5,3,3,27,33,2011
7102,"Blue Grass, IA","Eldridge, IA",5,24,3,18,7,7,0,11,21,32,2011
7097,"Blue Grass, IA","Dixon, IA",8,12,6,10,8,8,11,7,8,26,2011
7121,"Blue Grass, IA","Long Grove, IA",5,11,8,15,4,5,1,7,16,24,2011
7166,"Blue Grass, IA","Stockton, IA",2,16,0,10,3,5,4,2,12,18,2011
7111,"Blue Grass, IA","Grandview, IA",1,12,4,16,1,0,0,4,13,17,2011
7146,"Blue Grass, IA","Panorama Park, IA",1,14,2,11,5,1,5,2,10,17,2011
7093,"Blue Grass, IA","De Witt, IA",4,10,0,9,4,1,0,7,7,14,2011
7151,"Blue Grass, IA","Princeton, IA",1,13,0,9,3,2,1,6,7,14,2011
7118,"Blue Grass, IA","Le Claire, IA",0,10,2,8,0,4,0,4,8,12,2011
7185,"Blue Grass, IA","West Branch, IA",3,6,2,8,1,2,0,4,7,11,2011
7188,"Blue Grass, IA","Wheatland, IA",3,3,3,3,2,4,3,3,3,9,2011
7141,"Blue Grass, IA","Nichols, IA",1,6,1,8,0,0,0,2,6,8,2011
7086,"Blue Grass, IA","Clinton, IA",2,5,1,0,3,5,1,3,4,8,2011
7155,"Blue Grass, IA","Riverdale, IA",3,4,1,5,2,1,2,2,4,8,2011
7070,"Blue Grass, IA","Atalissa, IA",1,6,1,4,1,3,0,2,6,8,2011
7187,"Blue Grass, IA","West Liberty, IA",1,7,0,6,0,2,2,0,6,8,2011
7168,"Blue Grass, IA","Tipton, IA",2,4,1,3,2,2,2,2,3,7,2011
7178,"Blue Grass, IA","Wapello, IA",1,5,1,5,1,1,1,1,5,7,2011
7100,"Blue Grass, IA","Durant, IA",0,3,4,5,1,1,0,1,6,7,2011
7179,"Blue Grass, IA","Waterloo, IA",4,3,0,0,2,5,3,4,0,7,2011
7114,"Blue Grass, IA","Iowa City, IA",2,3,1,6,0,0,0,1,5,6,2011
7082,"Blue Grass, IA","Cedar Falls, IA",1,5,0,0,1,5,1,4,1,6,2011
7087,"Blue Grass, IA","Columbus Junction, IA",1,5,0,6,0,0,0,1,5,6,2011
7081,"Blue Grass, IA","Camanche, IA",0,3,2,4,1,0,0,1,4,5,2011
7113,"Blue Grass, IA","Hiawatha, IA",1,4,0,1,0,4,0,1,4,5,2011
7133,"Blue Grass, IA","Morning Sun, IA",1,3,1,5,0,0,0,1,4,5,2011
7109,"Blue Grass, IA","Fruitland, IA",0,4,1,5,0,0,0,0,5,5,2011
7165,"Blue Grass, IA","St. Paul, IA",1,1,2,2,1,1,0,1,3,4,2011
7139,"Blue Grass, IA","New Liberty, IA",1,2,1,2,2,0,1,2,1,4,2011
