,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9715,"Carson, IA","Carson, IA",11,17,9,6,13,18,11,12,14,37,2011
9734,"Carson, IA","Lewis, IA",4,13,4,3,11,7,4,8,9,21,2011
9726,"Carson, IA","Hancock, IA",3,4,4,2,4,5,2,3,6,11,2011
9743,"Carson, IA","Oakland, IA",3,5,1,1,7,1,5,1,3,9,2011
9725,"Carson, IA","Hamburg, IA",1,6,2,1,0,8,1,1,7,9,2011
9750,"Carson, IA","Silver City, IA",1,4,3,3,2,3,1,3,4,8,2011
9737,"Carson, IA","Malvern, IA",0,4,1,0,1,4,1,0,4,5,2011
9747,"Carson, IA","Red Oak, IA",1,3,1,2,0,3,0,1,4,5,2011
9717,"Carson, IA","Council Bluffs, IA",1,3,1,1,0,4,1,2,2,5,2011
9722,"Carson, IA","Glenwood, IA",0,3,1,0,0,4,0,1,3,4,2011
9729,"Carson, IA","Henderson, IA",2,2,0,0,2,2,1,1,2,4,2011
9728,"Carson, IA","Hastings, IA",0,3,1,0,1,3,1,0,3,4,2011
9723,"Carson, IA","Grant, IA",0,2,2,0,2,2,3,0,1,4,2011
9742,"Carson, IA","Missouri Valley, IA",1,2,0,1,2,0,0,1,2,3,2011
9710,"Carson, IA","Ames, IA",0,3,0,0,2,1,1,1,1,3,2011
9731,"Carson, IA","Indianola, IA",0,2,0,0,1,1,1,0,1,2,2011
9716,"Carson, IA","Charter Oak, IA",1,0,1,1,1,0,1,1,0,2,2011
9711,"Carson, IA","Atlantic, IA",0,1,1,0,2,0,1,0,1,2,2011
9736,"Carson, IA","Macedonia, IA",0,1,1,1,0,1,1,0,1,2,2011
9714,"Carson, IA","Buck Grove, IA",1,0,1,1,1,0,1,0,1,2,2011
9756,"Carson, IA","Urbandale, IA",0,2,0,0,2,0,0,0,2,2,2011
9749,"Carson, IA","Sidney, IA",0,1,1,0,0,2,0,0,2,2,2011
9719,"Carson, IA","Elliott, IA",0,0,2,1,1,0,2,0,0,2,2011
9748,"Carson, IA","Shelby, IA",0,1,0,0,1,0,0,0,1,1,2011
9752,"Carson, IA","Spring Hill, IA",0,1,0,0,1,0,0,1,0,1,2011
9754,"Carson, IA","Underwood, IA",0,1,0,0,0,1,0,0,1,1,2011
9746,"Carson, IA","Randolph, IA",0,0,1,0,0,1,0,0,1,1,2011
9755,"Carson, IA","University Park, IA",0,0,1,1,0,0,0,1,0,1,2011
9745,"Carson, IA","Pleasant Hill, IA",0,1,0,0,0,1,0,0,1,1,2011
9753,"Carson, IA","Stanton, IA",1,0,0,0,0,1,0,0,1,1,2011
9744,"Carson, IA","Pacific Junction, IA",0,1,0,0,0,1,0,0,1,1,2011
9741,"Carson, IA","Merrill, IA",0,0,1,1,0,0,1,0,0,1,2011
9751,"Carson, IA","Sioux City, IA",0,0,1,0,0,1,0,0,1,1,2011
9708,"Carson, IA","Albia, IA",0,1,0,0,0,1,0,0,1,1,2011
9740,"Carson, IA","McClelland, IA",0,1,0,0,0,1,0,0,1,1,2011
9739,"Carson, IA","Massena, IA",1,0,0,0,0,1,0,0,1,1,2011
9738,"Carson, IA","Manilla, IA",1,0,0,1,0,0,0,1,0,1,2011
9735,"Carson, IA","Logan, IA",0,1,0,0,1,0,0,0,1,1,2011
9733,"Carson, IA","Le Mars, IA",0,1,0,0,1,0,0,0,1,1,2011
9709,"Carson, IA","Altoona, IA",0,1,0,0,1,0,0,0,1,1,2011
9730,"Carson, IA","Ida Grove, IA",0,1,0,0,1,0,0,1,0,1,2011
9727,"Carson, IA","Harlan, IA",0,1,0,0,0,1,0,0,1,1,2011
9724,"Carson, IA","Guthrie Center, IA",0,0,1,0,0,1,0,0,1,1,2011
9721,"Carson, IA","Fairfield, IA",0,0,1,0,0,1,0,0,1,1,2011
9720,"Carson, IA","Exira, IA",0,1,0,0,1,0,0,1,0,1,2011
9718,"Carson, IA","Des Moines, IA",0,1,0,0,1,0,1,0,0,1,2011
9713,"Carson, IA","Bayard, IA",1,0,0,0,0,1,0,0,1,1,2011
9712,"Carson, IA","Avoca, IA",1,0,0,0,0,1,0,1,0,1,2011
9732,"Carson, IA","Johnston, IA",0,1,0,0,0,1,0,0,1,1,2011
