,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
17817,"De Witt, IA","De Witt, IA",249,536,231,218,624,174,357,393,266,1016,2011
17805,"De Witt, IA","Clinton, IA",71,166,42,142,114,23,57,146,76,279,2011
17816,"De Witt, IA","Davenport, IA",55,88,39,47,115,20,26,86,70,182,2011
17876,"De Witt, IA","Maquoketa, IA",13,105,22,63,66,11,29,74,37,140,2011
17849,"De Witt, IA","Grand Mound, IA",26,66,27,24,66,29,37,54,28,119,2011
17786,"De Witt, IA","Bettendorf, IA",14,60,19,39,50,4,12,21,60,93,2011
17913,"De Witt, IA","Preston, IA",22,43,18,37,32,14,15,44,24,83,2011
17954,"De Witt, IA","Wheatland, IA",13,46,19,24,37,17,23,30,25,78,2011
17870,"De Witt, IA","Long Grove, IA",20,40,17,27,38,12,16,25,36,77,2011
17872,"De Witt, IA","Low Moor, IA",12,50,13,36,29,10,16,35,24,75,2011
17794,"De Witt, IA","Camanche, IA",16,38,16,24,38,8,19,39,12,70,2011
17896,"De Witt, IA","New Liberty, IA",16,38,8,22,22,18,20,28,14,62,2011
17824,"De Witt, IA","Dixon, IA",13,37,10,13,33,14,21,27,12,60,2011
17833,"De Witt, IA","Eldridge, IA",26,23,10,21,30,8,14,14,31,59,2011
17777,"De Witt, IA","Andover, IA",11,29,12,14,21,17,17,18,17,52,2011
17780,"De Witt, IA","Baldwin, IA",14,20,9,16,21,6,11,21,11,43,2011
17914,"De Witt, IA","Princeton, IA",7,21,12,15,21,4,13,19,8,40,2011
17871,"De Witt, IA","Lost Nation, IA",5,14,4,9,8,6,3,11,9,23,2011
17924,"De Witt, IA","Sabula, IA",6,13,4,15,4,4,7,4,12,23,2011
17906,"De Witt, IA","Panorama Park, IA",4,15,4,5,15,3,4,5,14,23,2011
17783,"De Witt, IA","Bellevue, IA",4,13,5,9,9,4,5,4,13,22,2011
17950,"De Witt, IA","Welton, IA",4,11,5,8,6,6,2,9,9,20,2011
17867,"De Witt, IA","Le Claire, IA",0,16,3,10,7,2,2,3,14,19,2011
17893,"De Witt, IA","Muscatine, IA",4,8,4,3,9,4,8,7,1,16,2011
17932,"De Witt, IA","Springbrook, IA",2,7,2,7,3,1,1,2,8,11,2011
17793,"De Witt, IA","Burlington, IA",2,6,2,4,4,2,3,5,2,10,2011
