,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
21428,"Edgewood, IA","Manchester, IA",19,36,16,17,30,24,19,39,13,71,2011
21443,"Edgewood, IA","Strawberry Point, IA",20,13,10,7,27,9,19,22,2,43,2011
21409,"Edgewood, IA","Delaware, IA",10,13,12,4,21,10,14,12,9,35,2011
21412,"Edgewood, IA","Edgewood, IA",2,10,10,3,14,5,8,9,5,22,2011
21419,"Edgewood, IA","Greeley, IA",1,10,3,5,6,3,4,8,2,14,2011
21445,"Edgewood, IA","Wadena, IA",6,4,0,0,7,3,4,3,3,10,2011
21424,"Edgewood, IA","Hopkinton, IA",0,4,5,3,2,4,4,2,3,9,2011
21410,"Edgewood, IA","Dyersville, IA",1,6,2,1,7,1,2,3,4,9,2011
21421,"Edgewood, IA","Guttenberg, IA",1,5,1,0,6,1,0,4,3,7,2011
21415,"Edgewood, IA","Elkport, IA",0,4,3,1,2,4,1,4,2,7,2011
21396,"Edgewood, IA","Aurora, IA",0,4,2,2,1,3,1,3,2,6,2011
21432,"Edgewood, IA","Monticello, IA",1,1,3,4,1,0,0,5,0,5,2011
21434,"Edgewood, IA","Oelwein, IA",3,0,1,0,4,0,0,4,0,4,2011
21402,"Edgewood, IA","Cedar Rapids, IA",2,2,0,0,2,2,0,2,2,4,2011
21431,"Edgewood, IA","Millville, IA",0,2,2,1,2,1,0,4,0,4,2011
21437,"Edgewood, IA","Ryan, IA",1,2,0,0,2,1,1,1,1,3,2011
21403,"Edgewood, IA","Center Junction, IA",3,0,0,1,2,0,0,2,1,3,2011
21398,"Edgewood, IA","Balltown, IA",3,0,0,2,0,1,1,2,0,3,2011
21433,"Edgewood, IA","Morley, IA",0,0,3,3,0,0,0,3,0,3,2011
21442,"Edgewood, IA","St. Olaf, IA",0,1,1,1,1,0,0,1,1,2,2011
21440,"Edgewood, IA","Sioux City, IA",2,0,0,0,0,2,1,1,0,2,2011
21417,"Edgewood, IA","Farley, IA",0,1,1,1,1,0,1,0,1,2,2011
21425,"Edgewood, IA","Independence, IA",0,2,0,0,2,0,0,2,0,2,2011
21413,"Edgewood, IA","Elberon, IA",0,2,0,2,0,0,0,0,2,2,2011
21448,"Edgewood, IA","Waukon, IA",2,0,0,0,1,1,1,1,0,2,2011
21408,"Edgewood, IA","Davenport, IA",1,1,0,0,0,2,2,0,0,2,2011
21406,"Edgewood, IA","Council Bluffs, IA",0,0,2,0,0,2,0,0,2,2,2011
21435,"Edgewood, IA","Riverdale, IA",0,1,0,0,0,1,1,0,0,1,2011
21452,"Edgewood, IA","Williams, IA",0,0,1,0,0,1,0,1,0,1,2011
21453,"Edgewood, IA","Worthington, IA",0,0,1,1,0,0,1,0,0,1,2011
21436,"Edgewood, IA","Robins, IA",0,1,0,0,0,1,0,1,0,1,2011
21447,"Edgewood, IA","Washington, IA",0,0,1,0,1,0,0,1,0,1,2011
21441,"Edgewood, IA","Springbrook, IA",0,1,0,1,0,0,0,1,0,1,2011
21438,"Edgewood, IA","Sabula, IA",0,0,1,1,0,0,0,1,0,1,2011
21439,"Edgewood, IA","Shell Rock, IA",0,1,0,0,0,1,0,1,0,1,2011
21451,"Edgewood, IA","Wellsburg, IA",1,0,0,0,1,0,0,1,0,1,2011
21446,"Edgewood, IA","Walford, IA",0,1,0,1,0,0,0,1,0,1,2011
21450,"Edgewood, IA","Webster, IA",0,0,1,0,0,1,0,0,1,1,2011
21449,"Edgewood, IA","Waverly, IA",0,1,0,0,1,0,0,0,1,1,2011
21444,"Edgewood, IA","Urbana, IA",0,0,1,0,0,1,0,1,0,1,2011
21392,"Edgewood, IA","Anamosa, IA",1,0,0,0,0,1,0,1,0,1,2011
21423,"Edgewood, IA","Hiawatha, IA",0,1,0,0,1,0,1,0,0,1,2011
21430,"Edgewood, IA","Mason City, IA",0,0,1,0,0,1,0,0,1,1,2011
21407,"Edgewood, IA","Cresco, IA",0,1,0,0,1,0,1,0,0,1,2011
21394,"Edgewood, IA","Asbury, IA",1,0,0,0,0,1,0,1,0,1,2011
21395,"Edgewood, IA","Aurelia, IA",1,0,0,0,0,1,0,1,0,1,2011
21397,"Edgewood, IA","Baldwin, IA",0,1,0,0,0,1,0,0,1,1,2011
21399,"Edgewood, IA","Bellevue, IA",0,1,0,0,1,0,0,0,1,1,2011
21400,"Edgewood, IA","Boxholm, IA",1,0,0,0,0,1,1,0,0,1,2011
21401,"Edgewood, IA","Brandon, IA",0,1,0,0,0,1,0,1,0,1,2011
21404,"Edgewood, IA","Center Point, IA",0,1,0,0,1,0,0,1,0,1,2011
