,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24043,"Everly, IA","Spencer, IA",7,25,6,19,16,3,8,17,13,38,2011
24015,"Everly, IA","Hartley, IA",3,9,6,7,7,4,7,7,4,18,2011
24013,"Everly, IA","Greenville, IA",2,9,2,6,6,1,3,8,2,13,2011
24007,"Everly, IA","Everly, IA",2,6,5,2,11,0,4,8,1,13,2011
24011,"Everly, IA","Fostoria, IA",5,6,1,3,6,3,5,5,2,12,2011
24035,"Everly, IA","Royal, IA",4,4,3,2,7,2,3,7,1,11,2011
24041,"Everly, IA","Sioux Center, IA",1,4,0,5,0,0,0,2,3,5,2011
24031,"Everly, IA","Primghar, IA",0,2,1,1,1,1,1,2,0,3,2011
24021,"Everly, IA","Mason City, IA",1,1,1,2,0,1,0,1,2,3,2011
24014,"Everly, IA","Harris, IA",1,1,1,2,1,0,0,3,0,3,2011
24042,"Everly, IA","Sioux Rapids, IA",0,3,0,0,1,2,0,3,0,3,2011
24024,"Everly, IA","Milford, IA",0,2,1,2,1,0,0,1,2,3,2011
24044,"Everly, IA","Spirit Lake, IA",0,2,1,3,0,0,0,2,1,3,2011
24003,"Everly, IA","Des Moines, IA",1,1,1,0,1,2,1,2,0,3,2011
24047,"Everly, IA","Terril, IA",0,3,0,1,2,0,0,0,3,3,2011
24046,"Everly, IA","Sutherland, IA",1,0,1,2,0,0,0,2,0,2,2011
24004,"Everly, IA","Dolliver, IA",0,1,1,2,0,0,0,1,1,2,2011
24040,"Everly, IA","Sheldon, IA",0,2,0,1,1,0,0,2,0,2,2011
24037,"Everly, IA","Sac City, IA",1,1,0,0,2,0,0,1,1,2,2011
24036,"Everly, IA","Ruthven, IA",0,2,0,0,1,1,0,1,1,2,2011
24048,"Everly, IA","Truesdale, IA",0,2,0,1,0,1,0,2,0,2,2011
24034,"Everly, IA","Rodney, IA",0,1,0,1,0,0,0,0,1,1,2011
24050,"Everly, IA","West Bend, IA",0,1,0,0,0,1,1,0,0,1,2011
24032,"Everly, IA","Rock Rapids, IA",0,1,0,0,0,1,1,0,0,1,2011
24033,"Everly, IA","Rockwell, IA",0,1,0,1,0,0,0,0,1,1,2011
24038,"Everly, IA","Schaller, IA",0,1,0,0,0,1,0,0,1,1,2011
24049,"Everly, IA","Urbandale, IA",0,1,0,1,0,0,0,0,1,1,2011
24045,"Everly, IA","St. Marys, IA",1,0,0,1,0,0,1,0,0,1,2011
24039,"Everly, IA","Schleswig, IA",0,1,0,0,0,1,0,1,0,1,2011
24029,"Everly, IA","Pleasant Hill, IA",1,0,0,1,0,0,1,0,0,1,2011
24030,"Everly, IA","Pomeroy, IA",0,1,0,1,0,0,0,0,1,1,2011
23997,"Everly, IA","Arnolds Park, IA",0,0,1,0,1,0,0,1,0,1,2011
24028,"Everly, IA","Osage, IA",0,1,0,0,0,1,0,1,0,1,2011
24012,"Everly, IA","Greenfield, IA",0,1,0,1,0,0,1,0,0,1,2011
23999,"Everly, IA","Ashton, IA",0,0,1,1,0,0,1,0,0,1,2011
24000,"Everly, IA","Carter Lake, IA",0,1,0,1,0,0,0,0,1,1,2011
24001,"Everly, IA","Charles City, IA",0,1,0,1,0,0,0,1,0,1,2011
24002,"Everly, IA","Chester, IA",0,1,0,1,0,0,0,0,1,1,2011
24005,"Everly, IA","Emmetsburg, IA",0,1,0,0,1,0,0,0,1,1,2011
24006,"Everly, IA","Estherville, IA",1,0,0,1,0,0,0,0,1,1,2011
24008,"Everly, IA","Floyd, IA",0,0,1,1,0,0,0,0,1,1,2011
24009,"Everly, IA","Forest City, IA",0,1,0,0,1,0,1,0,0,1,2011
24010,"Everly, IA","Fort Dodge, IA",0,1,0,1,0,0,0,0,1,1,2011
24016,"Everly, IA","Johnston, IA",0,1,0,1,0,0,1,0,0,1,2011
24027,"Everly, IA","Orange City, IA",0,1,0,0,0,1,1,0,0,1,2011
24017,"Everly, IA","Lake Park, IA",1,0,0,0,0,1,1,0,0,1,2011
24018,"Everly, IA","Laurens, IA",0,1,0,1,0,0,0,0,1,1,2011
24019,"Everly, IA","Le Mars, IA",0,1,0,0,1,0,0,1,0,1,2011
24020,"Everly, IA","Marcus, IA",0,0,1,1,0,0,0,1,0,1,2011
24022,"Everly, IA","McIntire, IA",0,1,0,1,0,0,0,0,1,1,2011
24023,"Everly, IA","Merrill, IA",0,1,0,0,1,0,0,0,1,1,2011
23998,"Everly, IA","Arthur, IA",0,1,0,0,1,0,0,1,0,1,2011
24025,"Everly, IA","Nashua, IA",1,0,0,1,0,0,0,1,0,1,2011
24026,"Everly, IA","New Albin, IA",0,1,0,1,0,0,0,0,1,1,2011
24051,"Everly, IA","Windsor Heights, IA",0,1,0,0,1,0,0,0,1,1,2011
