,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
26938,"Garnavillo, IA","Elkader, IA",10,30,11,10,33,8,23,19,9,51,2011
26944,"Garnavillo, IA","Garnavillo, IA",5,14,5,6,17,1,6,13,5,24,2011
26939,"Garnavillo, IA","Elkport, IA",8,9,5,9,10,3,6,14,2,22,2011
26968,"Garnavillo, IA","St. Olaf, IA",4,10,6,3,13,4,10,9,1,20,2011
26946,"Garnavillo, IA","Guttenberg, IA",3,10,6,1,14,4,7,10,2,19,2011
26970,"Garnavillo, IA","Strawberry Point, IA",7,8,4,4,12,3,7,8,4,19,2011
26934,"Garnavillo, IA","Dubuque, IA",1,4,5,3,6,1,2,7,1,10,2011
26952,"Garnavillo, IA","Luana, IA",1,7,1,1,5,3,4,3,2,9,2011
26924,"Garnavillo, IA","Asbury, IA",1,3,3,1,5,1,2,4,1,7,2011
26956,"Garnavillo, IA","Millville, IA",1,4,1,2,4,0,0,5,1,6,2011
26942,"Garnavillo, IA","Fayette, IA",3,1,0,1,3,0,0,3,1,4,2011
26953,"Garnavillo, IA","Manchester, IA",0,1,3,2,2,0,2,1,1,4,2011
26933,"Garnavillo, IA","Delaware, IA",0,3,1,0,3,1,0,4,0,4,2011
26932,"Garnavillo, IA","Decorah, IA",0,3,1,1,2,1,0,2,2,4,2011
26973,"Garnavillo, IA","Wadena, IA",0,3,1,0,3,1,0,3,1,4,2011
26945,"Garnavillo, IA","Greeley, IA",0,4,0,2,2,0,1,1,2,4,2011
26955,"Garnavillo, IA","Marquette, IA",0,1,2,0,3,0,1,2,0,3,2011
26957,"Garnavillo, IA","Monona, IA",1,0,2,0,2,1,0,3,0,3,2011
26951,"Garnavillo, IA","Lost Nation, IA",1,0,1,0,2,0,1,1,0,2,2011
26935,"Garnavillo, IA","Dyersville, IA",0,1,1,1,1,0,0,2,0,2,2011
26963,"Garnavillo, IA","Randalia, IA",0,2,0,1,1,0,0,1,1,2,2011
26928,"Garnavillo, IA","Castalia, IA",1,1,0,0,2,0,1,1,0,2,2011
26927,"Garnavillo, IA","Cascade, IA",0,1,1,0,2,0,1,1,0,2,2011
26941,"Garnavillo, IA","Farmersburg, IA",0,1,1,0,1,1,1,1,0,2,2011
26975,"Garnavillo, IA","Waukon, IA",0,2,0,0,1,1,1,0,1,2,2011
26962,"Garnavillo, IA","Protivin, IA",1,1,0,0,2,0,1,1,0,2,2011
26920,"Garnavillo, IA","Ackley, IA",0,1,0,0,0,1,1,0,0,1,2011
26965,"Garnavillo, IA","Sageville, IA",0,1,0,0,1,0,0,1,0,1,2011
26964,"Garnavillo, IA","Robins, IA",0,0,1,0,1,0,1,0,0,1,2011
26969,"Garnavillo, IA","Stanley, IA",0,1,0,0,1,0,0,1,0,1,2011
26966,"Garnavillo, IA","Springbrook, IA",0,0,1,0,0,1,1,0,0,1,2011
26967,"Garnavillo, IA","St. Lucas, IA",1,0,0,1,0,0,0,1,0,1,2011
26960,"Garnavillo, IA","Peosta, IA",1,0,0,0,0,1,0,0,1,1,2011
26971,"Garnavillo, IA","Sumner, IA",0,0,1,0,0,1,1,0,0,1,2011
26972,"Garnavillo, IA","University Park, IA",1,0,0,0,0,1,1,0,0,1,2011
26974,"Garnavillo, IA","Waterloo, IA",0,1,0,0,1,0,0,0,1,1,2011
26976,"Garnavillo, IA","Waverly, IA",1,0,0,0,1,0,0,1,0,1,2011
26977,"Garnavillo, IA","West Union, IA",0,1,0,1,0,0,0,0,1,1,2011
26978,"Garnavillo, IA","Wilton, IA",0,1,0,0,1,0,1,0,0,1,2011
26961,"Garnavillo, IA","Pomeroy, IA",0,0,1,0,1,0,1,0,0,1,2011
26950,"Garnavillo, IA","Lansing, IA",0,0,1,0,1,0,0,0,1,1,2011
26959,"Garnavillo, IA","Oxford, IA",1,0,0,1,0,0,0,0,1,1,2011
26936,"Garnavillo, IA","Edgewood, IA",0,1,0,0,1,0,0,0,1,1,2011
26922,"Garnavillo, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2011
26923,"Garnavillo, IA","Andrew, IA",1,0,0,0,0,1,0,1,0,1,2011
26925,"Garnavillo, IA","Baldwin, IA",0,0,1,0,1,0,0,0,1,1,2011
26926,"Garnavillo, IA","Bellevue, IA",0,0,1,0,1,0,0,0,1,1,2011
26929,"Garnavillo, IA","Central City, IA",0,1,0,0,0,1,1,0,0,1,2011
26930,"Garnavillo, IA","Chariton, IA",0,0,1,0,0,1,1,0,0,1,2011
26931,"Garnavillo, IA","Chester, IA",0,1,0,0,1,0,1,0,0,1,2011
26937,"Garnavillo, IA","Elgin, IA",0,1,0,1,0,0,1,0,0,1,2011
26958,"Garnavillo, IA","Oelwein, IA",0,0,1,0,1,0,0,1,0,1,2011
26940,"Garnavillo, IA","Fairbank, IA",1,0,0,0,0,1,0,1,0,1,2011
26943,"Garnavillo, IA","Fredericksburg, IA",0,1,0,0,1,0,0,1,0,1,2011
26947,"Garnavillo, IA","Harpers Ferry, IA",1,0,0,1,0,0,1,0,0,1,2011
26948,"Garnavillo, IA","Hiawatha, IA",0,0,1,0,0,1,0,0,1,1,2011
26949,"Garnavillo, IA","Jesup, IA",0,1,0,1,0,0,0,1,0,1,2011
26921,"Garnavillo, IA","Altoona, IA",0,1,0,1,0,0,0,1,0,1,2011
26954,"Garnavillo, IA","Marengo, IA",0,1,0,0,1,0,1,0,0,1,2011
26979,"Garnavillo, IA","Zwingle, IA",0,1,0,0,0,1,1,0,0,1,2011
