,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
29623,"Grundy Center, IA","Grundy Center, IA",41,118,52,19,161,31,66,69,76,211,2011
29719,"Grundy Center, IA","Wellsburg, IA",22,84,24,15,100,15,49,44,37,130,2011
29665,"Grundy Center, IA","Morrison, IA",11,25,7,7,33,3,13,12,18,43,2011
29561,"Grundy Center, IA","Ackley, IA",5,19,10,4,25,5,10,10,14,34,2011
29713,"Grundy Center, IA","Waterloo, IA",12,13,5,3,23,4,6,11,13,30,2011
29582,"Grundy Center, IA","Cedar Falls, IA",7,17,3,0,21,6,7,9,11,27,2011
29601,"Grundy Center, IA","Dike, IA",3,5,9,1,12,4,5,7,5,17,2011
29678,"Grundy Center, IA","Parkersburg, IA",4,11,2,2,12,3,5,7,5,17,2011
29591,"Grundy Center, IA","Conrad, IA",1,9,5,1,8,6,7,7,1,15,2011
29574,"Grundy Center, IA","Beaman, IA",6,7,1,0,8,6,6,5,3,14,2011
29603,"Grundy Center, IA","Eldora, IA",6,6,2,3,11,0,6,6,2,14,2011
29649,"Grundy Center, IA","Lincoln, IA",3,7,4,1,12,1,4,7,3,14,2011
29669,"Grundy Center, IA","New Hartford, IA",2,7,2,0,10,1,4,2,5,11,2011
29685,"Grundy Center, IA","Reinbeck, IA",3,5,3,0,8,3,2,5,4,11,2011
29657,"Grundy Center, IA","Marshalltown, IA",2,6,2,2,4,4,2,3,5,10,2011
29676,"Grundy Center, IA","Owasa, IA",5,2,1,0,7,1,4,1,3,8,2011
29702,"Grundy Center, IA","Traer, IA",2,4,1,1,6,0,2,5,0,7,2011
29717,"Grundy Center, IA","Waverly, IA",1,4,2,1,5,1,1,3,3,7,2011
29564,"Grundy Center, IA","Allison, IA",2,4,0,3,3,0,1,2,3,6,2011
29703,"Grundy Center, IA","Tripoli, IA",0,4,2,0,4,2,1,2,3,6,2011
29585,"Grundy Center, IA","Charles City, IA",4,1,0,0,5,0,3,1,1,5,2011
29698,"Grundy Center, IA","Steamboat Rock, IA",2,2,1,1,4,0,1,3,1,5,2011
29617,"Grundy Center, IA","Garwin, IA",0,4,1,2,2,1,0,3,2,5,2011
29679,"Grundy Center, IA","Plainfield, IA",0,2,2,0,2,2,0,1,3,4,2011
29599,"Grundy Center, IA","Denver, IA",2,1,1,0,3,1,1,1,2,4,2011
29675,"Grundy Center, IA","Osage, IA",1,1,2,0,4,0,4,0,0,4,2011
29639,"Grundy Center, IA","Jesup, IA",1,3,0,0,4,0,1,2,1,4,2011
29666,"Grundy Center, IA","Mount Auburn, IA",2,2,0,0,4,0,0,2,2,4,2011
29700,"Grundy Center, IA","Sumner, IA",2,2,0,0,3,1,1,1,2,4,2011
29684,"Grundy Center, IA","Readlyn, IA",1,2,1,0,3,1,0,3,1,4,2011
29692,"Grundy Center, IA","Sheffield, IA",0,3,1,0,3,1,0,3,1,4,2011
29632,"Grundy Center, IA","Hubbard, IA",1,2,1,0,2,2,2,2,0,4,2011
29710,"Grundy Center, IA","Vinton, IA",1,2,0,0,2,1,0,2,1,3,2011
29619,"Grundy Center, IA","Gilbertville, IA",1,2,0,0,3,0,0,3,0,3,2011
29627,"Grundy Center, IA","Hampton, IA",0,2,1,0,0,3,1,0,2,3,2011
29577,"Grundy Center, IA","Bristow, IA",0,1,2,0,3,0,3,0,0,3,2011
29656,"Grundy Center, IA","Marengo, IA",0,2,1,0,2,1,0,2,1,3,2011
29598,"Grundy Center, IA","Decorah, IA",1,2,0,0,2,1,3,0,0,3,2011
29633,"Grundy Center, IA","Independence, IA",2,1,0,0,3,0,1,1,1,3,2011
29592,"Grundy Center, IA","Cresco, IA",1,2,0,0,0,3,1,1,1,3,2011
29567,"Grundy Center, IA","Ames, IA",2,0,1,0,1,2,3,0,0,3,2011
29704,"Grundy Center, IA","Union, IA",0,3,0,1,0,2,0,2,1,3,2011
29638,"Grundy Center, IA","Janesville, IA",0,2,0,0,2,0,1,0,1,2,2011
29654,"Grundy Center, IA","Manchester, IA",0,1,1,0,1,1,1,1,0,2,2011
29637,"Grundy Center, IA","Iowa Falls, IA",0,0,2,0,1,1,1,0,1,2,2011
29658,"Grundy Center, IA","Mason City, IA",0,1,1,0,2,0,1,0,1,2,2011
