,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
32416,"Hospers, IA","Sheldon, IA",37,85,20,120,10,12,13,61,68,142,2011
32378,"Hospers, IA","Hospers, IA",29,63,22,74,29,11,16,55,43,114,2011
32355,"Hospers, IA","Boyden, IA",30,59,22,79,21,11,24,46,41,111,2011
32398,"Hospers, IA","Orange City, IA",23,37,6,49,13,4,11,24,31,66,2011
32346,"Hospers, IA","Alton, IA",7,18,4,21,8,0,6,9,14,29,2011
32350,"Hospers, IA","Ashton, IA",6,20,2,23,4,1,2,12,14,28,2011
32409,"Hospers, IA","Rock Rapids, IA",8,12,4,21,2,1,2,8,14,24,2011
32414,"Hospers, IA","Sanborn, IA",10,8,5,20,2,1,2,12,9,23,2011
32405,"Hospers, IA","Primghar, IA",6,12,4,19,0,3,1,9,12,22,2011
32419,"Hospers, IA","Sioux Center, IA",5,12,3,14,5,1,2,11,7,20,2011
32371,"Hospers, IA","George, IA",5,8,5,15,3,0,2,9,7,18,2011
32374,"Hospers, IA","Harris, IA",7,8,2,16,1,0,2,8,7,17,2011
32379,"Hospers, IA","Hull, IA",4,12,0,14,0,2,4,4,8,16,2011
32418,"Hospers, IA","Sibley, IA",7,8,1,15,0,1,0,11,5,16,2011
32420,"Hospers, IA","Sioux City, IA",4,10,0,12,1,1,0,11,3,14,2011
32387,"Hospers, IA","Le Mars, IA",2,9,2,13,0,0,0,4,9,13,2011
32401,"Hospers, IA","Paullina, IA",2,7,2,8,0,3,1,3,7,11,2011
32365,"Hospers, IA","Doon, IA",1,8,1,6,0,4,1,2,7,10,2011
32375,"Hospers, IA","Hartley, IA",2,7,1,7,1,2,0,4,6,10,2011
32376,"Hospers, IA","Hawarden, IA",5,4,0,9,0,0,0,8,1,9,2011
32423,"Hospers, IA","Spencer, IA",1,7,1,7,1,1,1,3,5,9,2011
32424,"Hospers, IA","Spirit Lake, IA",2,4,2,8,0,0,0,1,7,8,2011
32396,"Hospers, IA","Ocheyedan, IA",2,4,2,4,1,3,0,1,7,8,2011
32366,"Hospers, IA","Estherville, IA",4,2,1,7,0,0,1,6,0,7,2011
32402,"Hospers, IA","Peterson, IA",4,2,1,7,0,0,1,5,1,7,2011
32410,"Hospers, IA","Rock Valley, IA",2,5,0,4,1,2,1,2,4,7,2011
32385,"Hospers, IA","Larchwood, IA",1,3,0,2,2,0,1,3,0,4,2011
32361,"Hospers, IA","Council Bluffs, IA",2,2,0,3,1,0,2,2,0,4,2011
32428,"Hospers, IA","Sutherland, IA",0,3,1,4,0,0,0,1,3,4,2011
32413,"Hospers, IA","Sac City, IA",0,3,0,3,0,0,0,3,0,3,2011
32391,"Hospers, IA","Marcus, IA",2,1,0,3,0,0,0,0,3,3,2011
32408,"Hospers, IA","Remsen, IA",0,3,0,2,0,1,0,0,3,3,2011
32427,"Hospers, IA","Superior, IA",1,1,1,3,0,0,0,1,2,3,2011
32367,"Hospers, IA","Everly, IA",0,3,0,3,0,0,0,2,1,3,2011
32353,"Hospers, IA","Battle Creek, IA",1,0,2,2,1,0,1,1,1,3,2011
32426,"Hospers, IA","Storm Lake, IA",2,1,0,1,1,1,1,1,1,3,2011
32360,"Hospers, IA","Coon Rapids, IA",2,1,0,2,1,0,0,3,0,3,2011
32380,"Hospers, IA","Inwood, IA",2,0,0,2,0,0,1,1,0,2,2011
32347,"Hospers, IA","Ames, IA",0,2,0,1,1,0,2,0,0,2,2011
32352,"Hospers, IA","Aurelia, IA",1,1,0,0,1,1,0,2,0,2,2011
32394,"Hospers, IA","Moville, IA",1,0,1,2,0,0,0,0,2,2,2011
32393,"Hospers, IA","Merrill, IA",2,0,0,2,0,0,0,0,2,2,2011
32392,"Hospers, IA","Maurice, IA",1,1,0,1,0,1,0,0,2,2,2011
32351,"Hospers, IA","Audubon, IA",0,2,0,2,0,0,0,2,0,2,2011
32390,"Hospers, IA","Manning, IA",1,0,1,0,1,1,1,1,0,2,2011
32345,"Hospers, IA","Akron, IA",1,1,0,1,1,0,0,1,1,2,2011
32388,"Hospers, IA","Lester, IA",1,1,0,2,0,0,1,1,0,2,2011
32370,"Hospers, IA","Fort Dodge, IA",1,1,0,1,0,1,0,0,2,2,2011
32386,"Hospers, IA","Larrabee, IA",2,0,0,2,0,0,0,2,0,2,2011
32422,"Hospers, IA","Soldier, IA",1,1,0,2,0,0,0,1,1,2,2011
32433,"Hospers, IA","West Okoboji, IA",1,1,0,2,0,0,0,2,0,2,2011
32412,"Hospers, IA","Ruthven, IA",0,1,1,2,0,0,1,1,0,2,2011
32432,"Hospers, IA","West Des Moines, IA",0,1,0,0,1,0,0,1,0,1,2011
32411,"Hospers, IA","Royal, IA",0,1,0,1,0,0,0,0,1,1,2011
32407,"Hospers, IA","Readlyn, IA",0,0,1,1,0,0,0,0,1,1,2011
32431,"Hospers, IA","Waterloo, IA",0,1,0,1,0,0,0,1,0,1,2011
32430,"Hospers, IA","Wallingford, IA",0,1,0,1,0,0,0,1,0,1,2011
32429,"Hospers, IA","Tiffin, IA",0,1,0,0,1,0,0,1,0,1,2011
32421,"Hospers, IA","Sioux Rapids, IA",1,0,0,1,0,0,0,1,0,1,2011
32415,"Hospers, IA","Sergeant Bluff, IA",0,1,0,1,0,0,0,0,1,1,2011
32425,"Hospers, IA","St. Marys, IA",0,1,0,1,0,0,1,0,0,1,2011
32417,"Hospers, IA","Shenandoah, IA",1,0,0,1,0,0,1,0,0,1,2011
32344,"Hospers, IA","Ackworth, IA",0,1,0,1,0,0,1,0,0,1,2011
32389,"Hospers, IA","Little Rock, IA",0,1,0,1,0,0,0,1,0,1,2011
32406,"Hospers, IA","Quimby, IA",1,0,0,1,0,0,0,1,0,1,2011
32369,"Hospers, IA","Fayette, IA",1,0,0,1,0,0,1,0,0,1,2011
32348,"Hospers, IA","Armstrong, IA",1,0,0,0,1,0,1,0,0,1,2011
32349,"Hospers, IA","Arnolds Park, IA",0,1,0,1,0,0,0,1,0,1,2011
32354,"Hospers, IA","Bertram, IA",0,1,0,1,0,0,0,1,0,1,2011
32356,"Hospers, IA","Casey, IA",1,0,0,0,0,1,0,1,0,1,2011
32357,"Hospers, IA","Cedar Falls, IA",1,0,0,1,0,0,0,1,0,1,2011
32358,"Hospers, IA","Cedar Rapids, IA",1,0,0,1,0,0,1,0,0,1,2011
32359,"Hospers, IA","Clinton, IA",0,1,0,1,0,0,0,1,0,1,2011
32362,"Hospers, IA","Cushing, IA",0,1,0,1,0,0,0,1,0,1,2011
32363,"Hospers, IA","Decorah, IA",0,1,0,1,0,0,0,1,0,1,2011
32364,"Hospers, IA","Dickens, IA",0,1,0,1,0,0,0,0,1,1,2011
32368,"Hospers, IA","Exira, IA",1,0,0,1,0,0,0,1,0,1,2011
32372,"Hospers, IA","Graettinger, IA",1,0,0,1,0,0,0,1,0,1,2011
32404,"Hospers, IA","Pocahontas, IA",0,1,0,0,0,1,0,0,1,1,2011
32373,"Hospers, IA","Greenville, IA",0,0,1,1,0,0,0,0,1,1,2011
32377,"Hospers, IA","Hinton, IA",1,0,0,1,0,0,0,0,1,1,2011
32381,"Hospers, IA","Ireton, IA",1,0,0,1,0,0,0,1,0,1,2011
32382,"Hospers, IA","Johnston, IA",1,0,0,0,0,1,0,0,1,1,2011
32383,"Hospers, IA","Keokuk, IA",0,0,1,1,0,0,0,0,1,1,2011
32384,"Hospers, IA","Kingsley, IA",0,0,1,1,0,0,0,0,1,1,2011
