,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
36073,"Kamrar, IA","Jewell Junction, IA",5,23,3,17,8,6,6,12,13,31,2011
36058,"Kamrar, IA","Ellsworth, IA",0,14,8,8,7,7,4,10,8,22,2011
36074,"Kamrar, IA","Kamrar, IA",3,10,3,4,6,6,7,3,6,16,2011
36043,"Kamrar, IA","Ames, IA",4,6,4,3,6,5,4,3,7,14,2011
36111,"Kamrar, IA","Story City, IA",2,4,3,1,5,3,6,1,2,9,2011
36119,"Kamrar, IA","Williams, IA",1,7,0,3,1,4,2,5,1,8,2011
36117,"Kamrar, IA","Webster City, IA",2,5,1,6,2,0,0,2,6,8,2011
36099,"Kamrar, IA","Randall, IA",0,2,2,2,2,0,2,0,2,4,2011
36103,"Kamrar, IA","Rock Valley, IA",0,3,1,4,0,0,1,0,3,4,2011
36063,"Kamrar, IA","Fort Dodge, IA",0,3,1,2,1,1,1,1,2,4,2011
36039,"Kamrar, IA","Alden, IA",0,4,0,3,0,1,0,1,3,4,2011
36112,"Kamrar, IA","Stratford, IA",1,3,0,2,0,2,1,1,2,4,2011
36110,"Kamrar, IA","Steamboat Rock, IA",0,3,0,2,0,1,0,0,3,3,2011
36057,"Kamrar, IA","Duncombe, IA",0,1,2,1,0,2,0,1,2,3,2011
36105,"Kamrar, IA","Roland, IA",2,1,0,3,0,0,0,3,0,3,2011
36089,"Kamrar, IA","Mount Ayr, IA",2,1,0,2,1,0,1,2,0,3,2011
36047,"Kamrar, IA","Boone, IA",0,1,2,1,2,0,1,1,1,3,2011
36064,"Kamrar, IA","Gilbert, IA",0,1,1,0,2,0,1,0,1,2,2011
36093,"Kamrar, IA","Ottumwa, IA",1,1,0,0,0,2,0,2,0,2,2011
36068,"Kamrar, IA","Hampton, IA",0,1,1,1,1,0,0,1,1,2,2011
36098,"Kamrar, IA","Pomeroy, IA",0,1,1,2,0,0,0,1,1,2,2011
36085,"Kamrar, IA","Montezuma, IA",0,1,1,2,0,0,0,2,0,2,2011
36071,"Kamrar, IA","Iowa Falls, IA",1,0,1,1,0,1,1,1,0,2,2011
