,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39420,"Leon, IA","Leon, IA",46,148,88,15,224,43,90,135,57,282,2011
39416,"Leon, IA","Lamoni, IA",11,63,26,6,87,7,23,38,39,100,2011
39457,"Leon, IA","Pleasanton, IA",7,31,26,6,48,10,13,34,17,64,2011
39402,"Leon, IA","Garden Grove, IA",9,28,17,5,45,4,13,25,16,54,2011
39422,"Leon, IA","Lineville, IA",13,27,13,1,42,10,13,29,11,53,2011
39450,"Leon, IA","Osceola, IA",12,8,8,0,26,2,8,12,8,28,2011
39381,"Leon, IA","Clio, IA",4,11,5,0,17,3,12,7,1,20,2011
39384,"Leon, IA","Corydon, IA",5,6,5,0,15,1,7,9,0,16,2011
39377,"Leon, IA","Chariton, IA",1,6,3,1,7,2,2,4,4,10,2011
39464,"Leon, IA","Russell, IA",1,6,2,0,7,2,1,5,3,9,2011
39419,"Leon, IA","Le Roy, IA",4,1,3,0,8,0,1,6,1,8,2011
39440,"Leon, IA","Mount Ayr, IA",1,6,0,0,7,0,5,1,1,7,2011
39452,"Leon, IA","Ottumwa, IA",0,4,2,0,5,1,1,2,3,6,2011
39364,"Leon, IA","Ames, IA",1,2,3,1,1,4,3,2,1,6,2011
39376,"Leon, IA","Centerville, IA",2,1,3,0,5,1,4,2,0,6,2011
39415,"Leon, IA","Lacona, IA",3,2,0,0,4,1,3,2,0,5,2011
39412,"Leon, IA","Kellerton, IA",1,3,1,0,4,1,3,2,0,5,2011
39393,"Leon, IA","East Peru, IA",0,3,1,0,3,1,2,1,1,4,2011
39391,"Leon, IA","Des Moines, IA",1,3,0,0,2,2,1,2,1,4,2011
39388,"Leon, IA","Cromwell, IA",0,2,2,0,2,2,3,1,0,4,2011
39387,"Leon, IA","Creston, IA",2,1,1,0,4,0,1,3,0,4,2011
39454,"Leon, IA","Pella, IA",1,1,2,0,0,4,2,1,1,4,2011
39367,"Leon, IA","Bedford, IA",1,1,2,0,3,1,3,1,0,4,2011
39461,"Leon, IA","Redding, IA",0,3,1,0,4,0,0,4,0,4,2011
39411,"Leon, IA","Johnston, IA",1,2,0,0,3,0,0,1,2,3,2011
39361,"Leon, IA","Albia, IA",0,2,1,0,1,2,1,1,1,3,2011
39458,"Leon, IA","Promise City, IA",0,2,1,0,3,0,0,2,1,3,2011
39378,"Leon, IA","Cincinnati, IA",1,0,2,0,3,0,1,1,1,3,2011
39432,"Leon, IA","Millerton, IA",0,1,2,0,2,1,1,2,0,3,2011
