,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39544,"Lewis, IA","Lewis, IA",9,24,12,21,20,4,18,16,11,45,2011
39515,"Lewis, IA","Atlantic, IA",5,21,1,23,2,2,4,14,9,27,2011
39535,"Lewis, IA","Grant, IA",2,14,8,14,6,4,5,14,5,24,2011
39520,"Lewis, IA","Carson, IA",8,11,3,10,4,8,11,8,3,22,2011
39528,"Lewis, IA","Cumberland, IA",5,8,4,10,5,2,4,9,4,17,2011
39547,"Lewis, IA","Massena, IA",4,6,4,8,5,1,3,7,4,14,2011
39525,"Lewis, IA","Council Bluffs, IA",3,3,0,2,3,1,0,5,1,6,2011
39514,"Lewis, IA","Anita, IA",3,3,0,6,0,0,1,4,1,6,2011
39539,"Lewis, IA","Hancock, IA",0,2,2,1,3,0,1,1,2,4,2011
39532,"Lewis, IA","Elliott, IA",0,3,0,2,0,1,1,2,0,3,2011
39556,"Lewis, IA","Red Oak, IA",2,1,0,0,2,1,0,2,1,3,2011
39560,"Lewis, IA","Silver City, IA",0,2,1,1,1,1,0,1,2,3,2011
39570,"Lewis, IA","Wiota, IA",1,1,1,1,1,1,1,2,0,3,2011
39563,"Lewis, IA","Stanton, IA",0,2,1,2,1,0,0,2,1,3,2011
39545,"Lewis, IA","Logan, IA",1,1,0,1,1,0,0,1,1,2,2011
39559,"Lewis, IA","Shenandoah, IA",0,1,1,0,2,0,1,0,1,2,2011
39548,"Lewis, IA","Missouri Valley, IA",1,1,0,1,1,0,0,1,1,2,2011
39566,"Lewis, IA","Urbandale, IA",0,1,1,1,1,0,0,1,1,2,2011
39551,"Lewis, IA","Norwalk, IA",0,0,2,0,0,2,0,2,0,2,2011
39538,"Lewis, IA","Hamburg, IA",0,1,1,0,0,2,1,0,1,2,2011
39553,"Lewis, IA","Orient, IA",0,2,0,2,0,0,0,2,0,2,2011
39552,"Lewis, IA","Oakland, IA",0,1,0,0,1,0,0,1,0,1,2011
39569,"Lewis, IA","Windsor Heights, IA",1,0,0,0,1,0,0,1,0,1,2011
39549,"Lewis, IA","Moorhead, IA",1,0,0,0,0,1,1,0,0,1,2011
39550,"Lewis, IA","Muscatine, IA",1,0,0,1,0,0,0,1,0,1,2011
39568,"Lewis, IA","Wheatland, IA",0,1,0,1,0,0,0,0,1,1,2011
39561,"Lewis, IA","Sioux City, IA",0,0,1,0,1,0,0,1,0,1,2011
39562,"Lewis, IA","Soldier, IA",1,0,0,1,0,0,0,1,0,1,2011
39554,"Lewis, IA","Ottumwa, IA",1,0,0,0,1,0,0,1,0,1,2011
39555,"Lewis, IA","Panama, IA",1,0,0,0,1,0,0,1,0,1,2011
39565,"Lewis, IA","Underwood, IA",0,0,1,0,1,0,1,0,0,1,2011
39557,"Lewis, IA","Rodney, IA",0,0,1,0,1,0,0,0,1,1,2011
39558,"Lewis, IA","Shannon City, IA",0,1,0,1,0,0,0,1,0,1,2011
39564,"Lewis, IA","Tennant, IA",1,0,0,1,0,0,0,0,1,1,2011
39567,"Lewis, IA","Waterloo, IA",0,0,1,0,0,1,0,0,1,1,2011
39511,"Lewis, IA","Adair, IA",0,1,0,0,0,1,1,0,0,1,2011
39546,"Lewis, IA","Macedonia, IA",0,1,0,1,0,0,0,1,0,1,2011
39543,"Lewis, IA","Le Mars, IA",0,0,1,1,0,0,0,1,0,1,2011
39513,"Lewis, IA","Ames, IA",0,1,0,0,1,0,1,0,0,1,2011
39516,"Lewis, IA","Avoca, IA",0,0,1,0,0,1,0,1,0,1,2011
39517,"Lewis, IA","Bayard, IA",0,0,1,0,0,1,0,0,1,1,2011
39518,"Lewis, IA","Buck Grove, IA",0,0,1,0,1,0,0,1,0,1,2011
39519,"Lewis, IA","Camanche, IA",0,1,0,0,1,0,0,0,1,1,2011
39521,"Lewis, IA","Casey, IA",0,0,1,0,0,1,1,0,0,1,2011
39522,"Lewis, IA","Center Point, IA",1,0,0,0,1,0,0,1,0,1,2011
39523,"Lewis, IA","Chariton, IA",1,0,0,0,1,0,0,1,0,1,2011
39524,"Lewis, IA","Charter Oak, IA",1,0,0,1,0,0,0,1,0,1,2011
39526,"Lewis, IA","Crescent, IA",0,1,0,0,1,0,0,0,1,1,2011
39527,"Lewis, IA","Creston, IA",1,0,0,1,0,0,1,0,0,1,2011
39529,"Lewis, IA","Danbury, IA",0,1,0,1,0,0,0,1,0,1,2011
39530,"Lewis, IA","Des Moines, IA",0,0,1,0,1,0,0,1,0,1,2011
39531,"Lewis, IA","Elk Horn, IA",0,0,1,1,0,0,0,1,0,1,2011
39533,"Lewis, IA","Exira, IA",0,1,0,0,0,1,1,0,0,1,2011
39534,"Lewis, IA","Fort Dodge, IA",0,1,0,0,0,1,1,0,0,1,2011
39536,"Lewis, IA","Greenfield, IA",1,0,0,1,0,0,0,1,0,1,2011
39537,"Lewis, IA","Guthrie Center, IA",1,0,0,0,1,0,0,0,1,1,2011
39540,"Lewis, IA","Henderson, IA",1,0,0,1,0,0,1,0,0,1,2011
39512,"Lewis, IA","Albia, IA",0,1,0,0,0,1,0,0,1,1,2011
39542,"Lewis, IA","Kimballton, IA",0,0,1,1,0,0,0,1,0,1,2011
39541,"Lewis, IA","Imogene, IA",0,0,1,0,0,1,0,0,1,1,2011
