,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
2951,"Andover, IA","Clinton, IA",30,96,55,48,114,19,39,61,81,181,2012
2992,"Andover, IA","Low Moor, IA",16,40,21,40,22,15,15,29,33,77,2012
3012,"Andover, IA","Preston, IA",18,25,16,14,39,6,25,19,15,59,2012
2956,"Andover, IA","De Witt, IA",7,31,18,21,22,13,11,20,25,56,2012
2947,"Andover, IA","Camanche, IA",6,24,24,29,13,12,10,10,34,54,2012
2955,"Andover, IA","Davenport, IA",7,14,5,9,14,3,7,5,14,26,2012
2995,"Andover, IA","Maquoketa, IA",4,10,5,3,11,5,3,10,6,19,2012
2934,"Andover, IA","Andover, IA",5,9,4,7,7,4,7,5,6,18,2012
2965,"Andover, IA","Eldridge, IA",3,6,8,10,5,2,0,5,12,17,2012
2941,"Andover, IA","Bettendorf, IA",5,7,5,2,7,8,3,9,5,17,2012
2949,"Andover, IA","Cedar Falls, IA",8,7,2,6,8,3,9,2,6,17,2012
3031,"Andover, IA","Waterloo, IA",6,4,3,3,6,4,4,4,5,13,2012
2957,"Andover, IA","Des Moines, IA",2,6,4,0,6,6,2,3,7,12,2012
2961,"Andover, IA","Dubuque, IA",1,8,2,1,4,6,3,7,1,11,2012
2950,"Andover, IA","Cedar Rapids, IA",4,6,1,4,3,4,1,5,5,11,2012
2976,"Andover, IA","Hiawatha, IA",3,6,0,5,2,2,3,5,1,9,2012
2946,"Andover, IA","Burlington, IA",2,6,0,0,5,3,3,3,2,8,2012
2933,"Andover, IA","Ames, IA",3,3,1,1,5,1,3,2,2,7,2012
2970,"Andover, IA","Fort Atkinson, IA",1,3,3,0,7,0,4,2,1,7,2012
2936,"Andover, IA","Ankeny, IA",2,4,0,0,5,1,0,3,3,6,2012
2952,"Andover, IA","Clive, IA",2,1,2,0,5,0,1,2,2,5,2012
2997,"Andover, IA","Marshalltown, IA",0,3,2,0,2,3,1,2,2,5,2012
3009,"Andover, IA","Panorama Park, IA",0,2,3,4,1,0,0,1,4,5,2012
3019,"Andover, IA","Sabula, IA",0,2,3,0,4,1,2,0,3,5,2012
2972,"Andover, IA","Grand Mound, IA",0,2,2,1,1,2,0,0,4,4,2012
3020,"Andover, IA","Sageville, IA",1,0,3,3,1,0,1,0,3,4,2012
2981,"Andover, IA","Iowa City, IA",3,1,0,1,3,0,1,2,1,4,2012
3002,"Andover, IA","Muscatine, IA",1,2,1,1,1,2,1,3,0,4,2012
2974,"Andover, IA","Grinnell, IA",0,2,1,2,0,1,1,2,0,3,2012
3022,"Andover, IA","Springbrook, IA",2,1,0,2,0,1,0,0,3,3,2012
2967,"Andover, IA","Evansdale, IA",0,3,0,0,1,2,1,2,0,3,2012
3017,"Andover, IA","Riverdale, IA",0,1,2,1,2,0,1,1,1,3,2012
2962,"Andover, IA","Dyersville, IA",1,2,0,1,1,1,2,1,0,3,2012
2998,"Andover, IA","Mason City, IA",1,2,0,1,1,1,1,0,2,3,2012
2937,"Andover, IA","Asbury, IA",3,0,0,0,2,1,2,1,0,3,2012
3000,"Andover, IA","Monticello, IA",0,3,0,0,1,2,0,0,3,3,2012
2939,"Andover, IA","Bellevue, IA",0,3,0,1,0,2,2,1,0,3,2012
2989,"Andover, IA","Lisbon, IA",0,1,1,0,1,1,1,0,1,2,2012
2978,"Andover, IA","Independence, IA",0,1,1,1,1,0,0,0,2,2,2012
3008,"Andover, IA","Ottumwa, IA",0,2,0,1,1,0,0,1,1,2,2012
3013,"Andover, IA","Princeton, IA",0,0,2,1,1,0,0,2,0,2,2012
2932,"Andover, IA","Altoona, IA",0,1,1,2,0,0,0,1,1,2,2012
3026,"Andover, IA","Tipton, IA",2,0,0,0,0,2,1,0,1,2,2012
3032,"Andover, IA","Waukon, IA",0,1,1,0,0,2,1,0,1,2,2012
3027,"Andover, IA","Toledo, IA",1,1,0,0,2,0,0,2,0,2,2012
2938,"Andover, IA","Baldwin, IA",0,1,1,0,2,0,2,0,0,2,2012
2945,"Andover, IA","Buffalo, IA",0,2,0,1,1,0,0,0,2,2,2012
3033,"Andover, IA","Waverly, IA",0,1,1,0,1,1,0,1,1,2,2012
3006,"Andover, IA","Oelwein, IA",0,0,2,0,0,2,2,0,0,2,2012
2971,"Andover, IA","Fort Madison, IA",1,1,0,0,1,1,2,0,0,2,2012
3005,"Andover, IA","Norwalk, IA",0,1,0,0,0,1,1,0,0,1,2012
3011,"Andover, IA","Pleasant Hill, IA",1,0,0,0,0,1,1,0,0,1,2012
3040,"Andover, IA","Windsor Heights, IA",0,0,1,0,0,1,0,0,1,1,2012
3007,"Andover, IA","Oskaloosa, IA",1,0,0,0,0,1,1,0,0,1,2012
3039,"Andover, IA","Wilton, IA",0,0,1,0,1,0,0,1,0,1,2012
3038,"Andover, IA","Williamsburg, IA",0,1,0,0,1,0,0,0,1,1,2012
3037,"Andover, IA","Wheatland, IA",1,0,0,0,1,0,0,1,0,1,2012
3036,"Andover, IA","West Union, IA",0,0,1,1,0,0,0,0,1,1,2012
3025,"Andover, IA","Tiffin, IA",0,1,0,1,0,0,0,0,1,1,2012
3010,"Andover, IA","Pella, IA",0,1,0,0,1,0,1,0,0,1,2012
3035,"Andover, IA","West Des Moines, IA",1,0,0,0,0,1,0,1,0,1,2012
3028,"Andover, IA","University Park, IA",0,1,0,0,1,0,0,0,1,1,2012
3034,"Andover, IA","West Branch, IA",0,1,0,0,1,0,0,1,0,1,2012
3021,"Andover, IA","Sigourney, IA",0,0,1,0,0,1,1,0,0,1,2012
3024,"Andover, IA","Strawberry Point, IA",1,0,0,1,0,0,0,0,1,1,2012
3014,"Andover, IA","Protivin, IA",1,0,0,0,1,0,0,1,0,1,2012
3030,"Andover, IA","Wapello, IA",0,1,0,0,0,1,1,0,0,1,2012
3015,"Andover, IA","Rathbun, IA",0,1,0,0,1,0,1,0,0,1,2012
3016,"Andover, IA","Reinbeck, IA",0,1,0,0,0,1,0,0,1,1,2012
3029,"Andover, IA","Urbandale, IA",0,1,0,0,0,1,0,1,0,1,2012
3018,"Andover, IA","Robins, IA",0,1,0,0,1,0,0,1,0,1,2012
3023,"Andover, IA","Story City, IA",1,0,0,0,1,0,1,0,0,1,2012
