,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
28502,"Gibson, IA","Sigourney, IA",7,18,8,1,25,7,13,17,3,33,2012
28513,"Gibson, IA","Webster, IA",3,11,7,4,16,1,6,10,5,21,2012
28511,"Gibson, IA","Walford, IA",0,8,9,16,0,1,1,8,8,17,2012
28517,"Gibson, IA","Williamsburg, IA",6,6,4,4,7,5,8,7,1,16,2012
28485,"Gibson, IA","Marengo, IA",0,8,6,11,1,2,1,2,11,14,2012
28493,"Gibson, IA","Oskaloosa, IA",1,4,7,6,4,2,1,8,3,12,2012
28491,"Gibson, IA","North English, IA",3,8,1,0,11,1,5,6,1,12,2012
28510,"Gibson, IA","Victor, IA",1,6,1,4,3,1,2,3,3,8,2012
28474,"Gibson, IA","Des Moines, IA",2,4,1,3,4,0,0,2,5,7,2012
28477,"Gibson, IA","Fairfield, IA",3,2,2,0,6,1,3,3,1,7,2012
28516,"Gibson, IA","What Cheer, IA",2,2,1,1,3,1,4,1,0,5,2012
28497,"Gibson, IA","Pella, IA",1,3,1,1,3,1,0,3,2,5,2012
28467,"Gibson, IA","Bussey, IA",0,2,2,1,1,2,1,1,2,4,2012
28466,"Gibson, IA","Brooklyn, IA",1,3,0,2,0,2,0,3,1,4,2012
28494,"Gibson, IA","Ottumwa, IA",1,2,1,0,3,1,2,2,0,4,2012
28470,"Gibson, IA","Clive, IA",0,3,0,0,2,1,0,0,3,3,2012
28488,"Gibson, IA","Montezuma, IA",1,2,0,2,0,1,0,0,3,3,2012
28508,"Gibson, IA","University Park, IA",0,2,1,2,1,0,0,2,1,3,2012
28515,"Gibson, IA","West Des Moines, IA",0,1,1,0,2,0,0,2,0,2,2012
28463,"Gibson, IA","Ankeny, IA",2,0,0,0,1,1,1,1,0,2,2012
28487,"Gibson, IA","Melcher-Dallas, IA",0,2,0,2,0,0,0,0,2,2,2012
28486,"Gibson, IA","Marshalltown, IA",0,2,0,1,1,0,0,0,2,2,2012
28484,"Gibson, IA","Lynnville, IA",0,1,1,0,1,1,0,1,1,2,2012
28499,"Gibson, IA","Richland, IA",0,2,0,0,1,1,0,0,2,2,2012
28506,"Gibson, IA","Toledo, IA",0,1,1,0,2,0,1,1,0,2,2012
28480,"Gibson, IA","Grinnell, IA",1,1,0,0,1,1,1,1,0,2,2012
28495,"Gibson, IA","Oxford, IA",1,1,0,2,0,0,0,1,1,2,2012
28512,"Gibson, IA","Washington, IA",0,2,0,1,1,0,0,0,2,2,2012
28498,"Gibson, IA","Pleasant Hill, IA",0,1,1,1,0,1,0,2,0,2,2012
28500,"Gibson, IA","Rome, IA",0,1,0,0,1,0,0,0,1,1,2012
28501,"Gibson, IA","Seymour, IA",0,0,1,0,1,0,0,1,0,1,2012
28460,"Gibson, IA","Ainsworth, IA",0,1,0,1,0,0,0,1,0,1,2012
28503,"Gibson, IA","South English, IA",1,0,0,0,1,0,1,0,0,1,2012
28504,"Gibson, IA","Stanhope, IA",0,1,0,0,0,1,0,0,1,1,2012
28505,"Gibson, IA","Tama, IA",0,1,0,1,0,0,0,1,0,1,2012
28509,"Gibson, IA","Urbandale, IA",0,1,0,0,0,1,0,1,0,1,2012
28514,"Gibson, IA","West Chester, IA",1,0,0,0,1,0,1,0,0,1,2012
28518,"Gibson, IA","Windsor Heights, IA",0,1,0,0,1,0,1,0,0,1,2012
28507,"Gibson, IA","Unionville, IA",0,0,1,0,0,1,1,0,0,1,2012
28490,"Gibson, IA","Nodaway, IA",0,0,1,0,1,0,1,0,0,1,2012
28496,"Gibson, IA","Parnell, IA",0,1,0,0,0,1,0,1,0,1,2012
28492,"Gibson, IA","Osceola, IA",0,1,0,1,0,0,0,0,1,1,2012
28462,"Gibson, IA","Ames, IA",0,1,0,1,0,0,0,0,1,1,2012
28464,"Gibson, IA","Batavia, IA",0,0,1,0,1,0,0,1,0,1,2012
28465,"Gibson, IA","Boone, IA",0,1,0,0,0,1,0,1,0,1,2012
28468,"Gibson, IA","Chariton, IA",0,0,1,1,0,0,0,1,0,1,2012
28469,"Gibson, IA","Clio, IA",0,1,0,0,0,1,1,0,0,1,2012
28471,"Gibson, IA","Coburg, IA",0,0,1,1,0,0,0,1,0,1,2012
28472,"Gibson, IA","Creston, IA",0,0,1,0,0,1,1,0,0,1,2012
28473,"Gibson, IA","Delta, IA",1,0,0,0,1,0,1,0,0,1,2012
28475,"Gibson, IA","Eddyville, IA",0,1,0,1,0,0,0,0,1,1,2012
28476,"Gibson, IA","Elberon, IA",0,0,1,0,1,0,0,0,1,1,2012
28478,"Gibson, IA","Fremont, IA",0,0,1,1,0,0,0,0,1,1,2012
28479,"Gibson, IA","Gibson, IA",1,0,0,0,0,1,0,0,1,1,2012
28481,"Gibson, IA","Iowa City, IA",0,1,0,1,0,0,0,0,1,1,2012
28482,"Gibson, IA","Kalona, IA",1,0,0,1,0,0,0,1,0,1,2012
28483,"Gibson, IA","Keota, IA",0,1,0,0,1,0,0,1,0,1,2012
28489,"Gibson, IA","Mount Pleasant, IA",0,1,0,0,0,1,0,1,0,1,2012
28461,"Gibson, IA","Albia, IA",1,0,0,0,1,0,1,0,0,1,2012
28519,"Gibson, IA","Winterset, IA",0,0,1,0,1,0,0,1,0,1,2012
