,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39090,"Lawler, IA","New Hampton, IA",27,58,22,37,54,16,38,41,28,107,2012
39062,"Lawler, IA","Charles City, IA",13,11,6,6,20,4,15,12,3,30,2012
39080,"Lawler, IA","Lawler, IA",5,7,2,13,1,0,6,5,3,14,2012
39084,"Lawler, IA","Marble Rock, IA",0,8,5,3,10,0,0,6,7,13,2012
39105,"Lawler, IA","Waterloo, IA",3,5,5,4,7,2,2,6,5,13,2012
39077,"Lawler, IA","Ionia, IA",0,8,5,1,7,5,3,5,5,13,2012
39085,"Lawler, IA","Mason City, IA",6,4,2,1,8,3,5,2,5,12,2012
39060,"Lawler, IA","Cedar Falls, IA",4,5,3,3,4,5,3,7,2,12,2012
39073,"Lawler, IA","Fredericksburg, IA",3,7,0,6,1,3,2,5,3,10,2012
39107,"Lawler, IA","Waverly, IA",2,6,2,4,4,2,3,1,6,10,2012
39067,"Lawler, IA","Decorah, IA",2,7,1,2,8,0,3,5,2,10,2012
39061,"Lawler, IA","Cedar Rapids, IA",3,2,3,2,5,1,2,1,5,8,2012
39066,"Lawler, IA","Cresco, IA",2,5,1,5,3,0,1,5,2,8,2012
39068,"Lawler, IA","Dubuque, IA",1,4,3,0,2,6,1,6,1,8,2012
39075,"Lawler, IA","Hiawatha, IA",3,3,1,1,4,2,0,5,2,7,2012
39056,"Lawler, IA","Alta Vista, IA",2,4,1,1,3,3,4,2,1,7,2012
39071,"Lawler, IA","Floyd, IA",0,4,3,7,0,0,0,0,7,7,2012
39072,"Lawler, IA","Fort Atkinson, IA",0,3,3,0,6,0,4,2,0,6,2012
39096,"Lawler, IA","Protivin, IA",2,3,1,0,0,6,0,1,5,6,2012
39065,"Lawler, IA","Colwell, IA",2,1,3,2,3,1,4,2,0,6,2012
39089,"Lawler, IA","Nashua, IA",1,4,1,2,3,1,0,3,3,6,2012
39092,"Lawler, IA","Oelwein, IA",2,2,0,0,3,1,2,2,0,4,2012
39076,"Lawler, IA","Independence, IA",3,1,0,1,2,1,1,3,0,4,2012
39059,"Lawler, IA","Asbury, IA",2,2,0,0,2,2,2,2,0,4,2012
39086,"Lawler, IA","McIntire, IA",0,3,1,2,1,1,0,3,1,4,2012
39070,"Lawler, IA","Evansdale, IA",1,1,0,0,0,2,1,0,1,2,2012
39069,"Lawler, IA","Elma, IA",1,1,0,1,0,1,0,2,0,2,2012
39103,"Lawler, IA","Tripoli, IA",0,0,2,2,0,0,0,2,0,2,2012
39064,"Lawler, IA","Clear Lake, IA",0,2,0,0,0,2,0,2,0,2,2012
39063,"Lawler, IA","Chester, IA",2,0,0,2,0,0,0,2,0,2,2012
39100,"Lawler, IA","Roland, IA",1,0,0,0,0,1,0,1,0,1,2012
39099,"Lawler, IA","Robins, IA",1,0,0,0,1,0,0,1,0,1,2012
39098,"Lawler, IA","Ridgeway, IA",1,0,0,0,0,1,1,0,0,1,2012
39055,"Lawler, IA","Allison, IA",0,0,1,0,1,0,0,0,1,1,2012
39101,"Lawler, IA","Shueyville, IA",1,0,0,0,0,1,1,0,0,1,2012
39102,"Lawler, IA","St. Lucas, IA",1,0,0,0,0,1,0,1,0,1,2012
39104,"Lawler, IA","Vinton, IA",0,1,0,0,0,1,0,1,0,1,2012
39106,"Lawler, IA","Waucoma, IA",1,0,0,0,0,1,0,1,0,1,2012
39108,"Lawler, IA","West Union, IA",0,0,1,1,0,0,0,0,1,1,2012
39097,"Lawler, IA","Readlyn, IA",0,0,1,0,1,0,1,0,0,1,2012
39082,"Lawler, IA","Lime Springs, IA",0,0,1,0,1,0,0,1,0,1,2012
39095,"Lawler, IA","Postville, IA",0,0,1,0,1,0,1,0,0,1,2012
39094,"Lawler, IA","Parkersburg, IA",0,0,1,0,1,0,0,1,0,1,2012
39093,"Lawler, IA","Palo, IA",1,0,0,0,1,0,1,0,0,1,2012
39091,"Lawler, IA","Nora Springs, IA",0,1,0,0,1,0,1,0,0,1,2012
39088,"Lawler, IA","Morley, IA",1,0,0,0,0,1,1,0,0,1,2012
39087,"Lawler, IA","Monticello, IA",0,1,0,0,1,0,0,0,1,1,2012
39083,"Lawler, IA","Luana, IA",1,0,0,1,0,0,0,1,0,1,2012
39081,"Lawler, IA","Le Grand, IA",0,1,0,0,1,0,0,1,0,1,2012
39079,"Lawler, IA","Lakeside, IA",0,1,0,1,0,0,0,1,0,1,2012
39078,"Lawler, IA","Janesville, IA",0,0,1,1,0,0,0,0,1,1,2012
39074,"Lawler, IA","Hawkeye, IA",0,0,1,0,0,1,0,0,1,1,2012
39058,"Lawler, IA","Anamosa, IA",0,0,1,0,1,0,1,0,0,1,2012
39057,"Lawler, IA","Ames, IA",0,1,0,0,0,1,0,0,1,1,2012
39109,"Lawler, IA","Worthington, IA",0,0,1,1,0,0,0,1,0,1,2012
