,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
46642,"Missouri Valley, IA","Missouri Valley, IA",157,280,131,67,412,89,251,201,116,568,2012
46588,"Missouri Valley, IA","Council Bluffs, IA",59,95,19,18,119,36,43,67,63,173,2012
46631,"Missouri Valley, IA","Logan, IA",20,54,29,3,83,17,31,49,23,103,2012
46690,"Missouri Valley, IA","Woodbine, IA",9,14,8,6,15,10,14,8,9,31,2012
46671,"Missouri Valley, IA","Shelby, IA",15,8,4,0,7,20,11,13,3,27,2012
46643,"Missouri Valley, IA","Mondamin, IA",3,14,4,4,9,8,3,9,9,21,2012
46571,"Missouri Valley, IA","Atlantic, IA",2,9,9,4,16,0,7,8,5,20,2012
46674,"Missouri Valley, IA","Sioux City, IA",3,13,4,2,11,7,9,7,4,20,2012
46594,"Missouri Valley, IA","Des Moines, IA",2,11,7,2,12,6,3,5,12,20,2012
46613,"Missouri Valley, IA","Harlan, IA",4,12,2,4,8,6,6,8,4,18,2012
46585,"Missouri Valley, IA","Clive, IA",8,6,4,0,8,10,8,5,5,18,2012
46681,"Missouri Valley, IA","Tennant, IA",7,9,2,6,10,2,6,7,5,18,2012
46579,"Missouri Valley, IA","Carter Lake, IA",3,9,4,4,6,6,5,4,7,16,2012
46567,"Missouri Valley, IA","Ames, IA",6,7,2,1,11,3,6,3,6,15,2012
46682,"Missouri Valley, IA","Underwood, IA",2,6,6,1,10,3,5,4,5,14,2012
46641,"Missouri Valley, IA","Minden, IA",4,6,4,0,13,1,3,4,7,14,2012
46593,"Missouri Valley, IA","Denison, IA",3,11,0,2,7,5,5,3,6,14,2012
46604,"Missouri Valley, IA","Glenwood, IA",0,8,4,0,10,2,2,6,4,12,2012
46578,"Missouri Valley, IA","Carroll, IA",3,5,2,1,7,2,5,2,3,10,2012
46662,"Missouri Valley, IA","Red Oak, IA",3,3,3,6,1,2,1,6,2,9,2012
