,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51048,"New Vienna, IA","Dyersville, IA",17,45,25,27,24,36,28,35,24,87,2012
51047,"New Vienna, IA","Dubuque, IA",15,49,18,7,65,10,17,37,28,82,2012
51053,"New Vienna, IA","Farley, IA",10,24,9,23,11,9,10,17,16,43,2012
51072,"New Vienna, IA","Peosta, IA",9,13,8,20,3,7,9,13,8,30,2012
51035,"New Vienna, IA","Asbury, IA",11,16,3,9,13,8,7,14,9,30,2012
51041,"New Vienna, IA","Cascade, IA",7,11,9,7,16,4,6,12,9,27,2012
51081,"New Vienna, IA","Worthington, IA",9,10,2,5,9,7,7,6,8,21,2012
51042,"New Vienna, IA","Cedar Rapids, IA",7,10,3,7,7,6,3,5,12,20,2012
51059,"New Vienna, IA","Hiawatha, IA",5,6,3,3,7,4,7,1,6,14,2012
51067,"New Vienna, IA","Monticello, IA",6,5,1,7,4,1,2,4,6,12,2012
51060,"New Vienna, IA","Iowa City, IA",4,3,5,0,11,1,4,2,6,12,2012
51075,"New Vienna, IA","Sageville, IA",2,8,2,8,2,2,0,4,8,12,2012
51045,"New Vienna, IA","Davenport, IA",3,4,2,5,3,1,2,2,5,9,2012
51052,"New Vienna, IA","Epworth, IA",4,3,2,0,8,1,2,6,1,9,2012
51061,"New Vienna, IA","Manchester, IA",6,1,0,1,5,1,3,4,0,7,2012
51069,"New Vienna, IA","Muscatine, IA",3,2,2,3,1,3,3,0,4,7,2012
51050,"New Vienna, IA","Elkader, IA",1,4,2,1,6,0,2,2,3,7,2012
51046,"New Vienna, IA","Delaware, IA",1,4,1,5,0,1,4,1,1,6,2012
51062,"New Vienna, IA","Maquoketa, IA",4,1,1,1,4,1,5,1,0,6,2012
51036,"New Vienna, IA","Balltown, IA",2,3,1,3,1,2,3,2,1,6,2012
51058,"New Vienna, IA","Guttenberg, IA",0,1,4,0,5,0,2,3,0,5,2012
51039,"New Vienna, IA","Bettendorf, IA",2,3,0,0,3,2,1,3,1,5,2012
51057,"New Vienna, IA","Greeley, IA",1,2,2,3,1,1,1,3,1,5,2012
51077,"New Vienna, IA","Strawberry Point, IA",0,2,2,2,1,1,2,1,1,4,2012
51071,"New Vienna, IA","North Liberty, IA",1,1,1,0,1,2,1,0,2,3,2012
51033,"New Vienna, IA","Anamosa, IA",0,3,0,0,3,0,0,1,2,3,2012
51044,"New Vienna, IA","Clinton, IA",0,3,0,0,2,1,1,2,0,3,2012
51056,"New Vienna, IA","Graf, IA",1,1,1,1,1,1,1,1,1,3,2012
51082,"New Vienna, IA","Zwingle, IA",2,0,1,0,0,3,3,0,0,3,2012
51054,"New Vienna, IA","Fayette, IA",0,0,2,2,0,0,0,2,0,2,2012
51064,"New Vienna, IA","Marquette, IA",0,2,0,1,1,0,1,0,1,2,2012
51051,"New Vienna, IA","Ely, IA",0,0,2,0,2,0,2,0,0,2,2012
51068,"New Vienna, IA","Morley, IA",1,1,0,0,2,0,1,0,1,2,2012
51049,"New Vienna, IA","Eldridge, IA",0,2,0,0,2,0,0,0,2,2,2012
51070,"New Vienna, IA","New Vienna, IA",0,2,0,0,0,2,0,1,1,2,2012
51055,"New Vienna, IA","Garnavillo, IA",1,0,1,1,1,0,0,2,0,2,2012
51073,"New Vienna, IA","Preston, IA",0,2,0,2,0,0,0,1,1,2,2012
51076,"New Vienna, IA","Springbrook, IA",0,0,1,0,1,0,1,0,0,1,2012
51037,"New Vienna, IA","Bellevue, IA",0,0,1,0,0,1,0,0,1,1,2012
51080,"New Vienna, IA","Wilton, IA",0,0,1,0,0,1,0,0,1,1,2012
51079,"New Vienna, IA","Wheatland, IA",0,0,1,0,0,1,1,0,0,1,2012
51078,"New Vienna, IA","West Liberty, IA",0,1,0,0,1,0,1,0,0,1,2012
51038,"New Vienna, IA","Bertram, IA",1,0,0,0,1,0,0,0,1,1,2012
51043,"New Vienna, IA","Center Junction, IA",0,1,0,1,0,0,0,0,1,1,2012
51040,"New Vienna, IA","Camanche, IA",0,1,0,1,0,0,0,0,1,1,2012
51074,"New Vienna, IA","Robins, IA",0,0,1,0,0,1,0,1,0,1,2012
51063,"New Vienna, IA","Marion, IA",1,0,0,0,1,0,0,0,1,1,2012
51066,"New Vienna, IA","McCausland, IA",1,0,0,1,0,0,0,1,0,1,2012
51065,"New Vienna, IA","Martelle, IA",1,0,0,1,0,0,0,0,1,1,2012
51034,"New Vienna, IA","Andrew, IA",0,1,0,0,0,1,0,1,0,1,2012
