,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
56205,"Peosta, IA","Dubuque, IA",175,630,208,88,780,145,227,335,451,1013,2012
56188,"Peosta, IA","Asbury, IA",70,189,88,63,178,106,77,127,143,347,2012
56236,"Peosta, IA","Peosta, IA",60,117,34,121,56,34,63,88,60,211,2012
56212,"Peosta, IA","Farley, IA",23,58,33,54,41,19,37,42,35,114,2012
56243,"Peosta, IA","Sageville, IA",12,75,20,79,21,7,12,12,83,107,2012
56206,"Peosta, IA","Dyersville, IA",14,48,17,27,26,26,22,38,19,79,2012
56197,"Peosta, IA","Cedar Rapids, IA",17,38,15,13,42,15,25,16,29,70,2012
56201,"Peosta, IA","Davenport, IA",16,27,13,8,27,21,20,13,23,56,2012
56217,"Peosta, IA","Hiawatha, IA",23,23,4,11,17,22,15,19,16,50,2012
56219,"Peosta, IA","Iowa City, IA",23,11,12,5,34,7,21,8,17,46,2012
56210,"Peosta, IA","Epworth, IA",4,20,9,2,29,2,9,10,14,33,2012
56196,"Peosta, IA","Cascade, IA",6,11,16,5,24,4,17,9,7,33,2012
56229,"Peosta, IA","Monticello, IA",6,13,7,13,8,5,6,9,11,26,2012
56193,"Peosta, IA","Bettendorf, IA",8,12,4,1,13,10,7,13,4,24,2012
56224,"Peosta, IA","Maquoketa, IA",5,16,2,5,13,5,1,7,15,23,2012
56207,"Peosta, IA","Eldridge, IA",6,9,5,5,14,1,2,2,16,20,2012
56200,"Peosta, IA","Coralville, IA",14,2,1,0,5,12,11,5,1,17,2012
56199,"Peosta, IA","Clinton, IA",5,7,4,0,14,2,10,4,2,16,2012
56254,"Peosta, IA","Worthington, IA",2,8,5,5,7,3,6,4,5,15,2012
56223,"Peosta, IA","Manchester, IA",3,9,3,4,8,3,4,6,5,15,2012
56242,"Peosta, IA","Robins, IA",6,4,0,2,3,5,5,1,4,10,2012
56255,"Peosta, IA","Zwingle, IA",3,4,2,2,1,6,2,4,3,9,2012
56234,"Peosta, IA","North Liberty, IA",5,2,1,0,6,2,5,3,0,8,2012
56189,"Peosta, IA","Balltown, IA",0,3,5,1,4,3,2,5,1,8,2012
56232,"Peosta, IA","Muscatine, IA",0,5,3,1,4,3,3,3,2,8,2012
56214,"Peosta, IA","Graf, IA",5,2,1,3,3,2,3,3,2,8,2012
56202,"Peosta, IA","De Witt, IA",0,6,1,1,6,0,3,0,4,7,2012
56230,"Peosta, IA","Morley, IA",4,2,1,4,3,0,3,3,1,7,2012
56222,"Peosta, IA","Low Moor, IA",4,3,0,0,3,4,5,2,0,7,2012
