,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
57430,"Pocahontas, IA","Pocahontas, IA",19,42,32,0,80,13,39,29,25,93,2012
57404,"Pocahontas, IA","Havelock, IA",11,30,22,26,21,16,25,27,11,63,2012
57415,"Pocahontas, IA","Laurens, IA",8,14,4,3,6,17,3,19,4,26,2012
57398,"Pocahontas, IA","Fort Dodge, IA",2,17,5,7,8,9,4,8,12,24,2012
57425,"Pocahontas, IA","Ottosen, IA",2,16,6,8,3,13,4,10,10,24,2012
57405,"Pocahontas, IA","Humboldt, IA",6,10,4,11,7,2,5,11,4,20,2012
57389,"Pocahontas, IA","Des Moines, IA",8,5,4,1,13,3,7,6,4,17,2012
57392,"Pocahontas, IA","Emmetsburg, IA",5,7,4,0,12,4,4,8,4,16,2012
57419,"Pocahontas, IA","Mason City, IA",5,4,1,0,4,6,3,5,2,10,2012
57367,"Pocahontas, IA","Ankeny, IA",4,3,2,1,6,2,5,2,2,9,2012
57381,"Pocahontas, IA","Clive, IA",5,3,1,0,7,2,3,4,2,9,2012
57446,"Pocahontas, IA","Urbandale, IA",1,4,3,0,4,4,1,2,5,8,2012
57441,"Pocahontas, IA","Storm Lake, IA",2,2,3,0,6,1,3,3,1,7,2012
57378,"Pocahontas, IA","Carroll, IA",2,3,1,1,2,3,4,2,0,6,2012
57380,"Pocahontas, IA","Clear Lake, IA",3,2,1,1,5,0,2,4,0,6,2012
57422,"Pocahontas, IA","Nevada, IA",3,1,1,0,3,2,4,0,1,5,2012
57407,"Pocahontas, IA","Johnston, IA",2,2,1,0,2,3,2,0,3,5,2012
57366,"Pocahontas, IA","Ames, IA",3,1,1,1,4,0,2,0,3,5,2012
57453,"Pocahontas, IA","Windsor Heights, IA",0,3,1,0,2,2,0,1,3,4,2012
57417,"Pocahontas, IA","Manson, IA",2,2,0,0,0,4,0,3,1,4,2012
57399,"Pocahontas, IA","Graettinger, IA",1,3,0,1,2,1,0,1,3,4,2012
57376,"Pocahontas, IA","Boone, IA",0,3,1,0,0,4,1,3,0,4,2012
57438,"Pocahontas, IA","Sioux City, IA",1,3,0,0,0,4,2,2,0,4,2012
57411,"Pocahontas, IA","Lakeside, IA",0,3,0,3,0,0,0,2,1,3,2012
57382,"Pocahontas, IA","Council Bluffs, IA",0,2,1,0,1,2,0,3,0,3,2012
57386,"Pocahontas, IA","Dakota City, IA",0,3,0,0,2,1,2,0,1,3,2012
57431,"Pocahontas, IA","Pomeroy, IA",1,0,2,1,2,0,2,1,0,3,2012
57447,"Pocahontas, IA","Waukee, IA",1,1,1,0,2,1,0,2,1,3,2012
57448,"Pocahontas, IA","Webster City, IA",0,2,1,0,1,2,0,3,0,3,2012
57449,"Pocahontas, IA","West Bend, IA",0,3,0,0,2,1,2,0,1,3,2012
57451,"Pocahontas, IA","Whittemore, IA",0,2,1,3,0,0,2,1,0,3,2012
57418,"Pocahontas, IA","Marshalltown, IA",0,2,0,0,1,1,1,0,1,2,2012
57423,"Pocahontas, IA","Norwalk, IA",1,1,0,0,1,1,1,1,0,2,2012
57403,"Pocahontas, IA","Hartley, IA",0,2,0,1,0,1,0,0,2,2,2012
57414,"Pocahontas, IA","Larrabee, IA",1,1,0,0,0,2,1,1,0,2,2012
57364,"Pocahontas, IA","Algona, IA",0,2,0,0,1,1,0,2,0,2,2012
57409,"Pocahontas, IA","Lake City, IA",0,1,1,0,0,2,0,2,0,2,2012
57450,"Pocahontas, IA","West Des Moines, IA",0,1,1,0,1,1,1,1,0,2,2012
57363,"Pocahontas, IA","Albert City, IA",0,1,1,0,1,1,1,0,1,2,2012
57456,"Pocahontas, IA","Yetter, IA",0,1,1,2,0,0,0,1,1,2,2012
57402,"Pocahontas, IA","Hampton, IA",0,1,1,0,1,1,2,0,0,2,2012
57396,"Pocahontas, IA","Fonda, IA",0,0,2,0,2,0,0,2,0,2,2012
57401,"Pocahontas, IA","Grinnell, IA",1,0,1,0,1,1,0,2,0,2,2012
57384,"Pocahontas, IA","Curlew, IA",1,1,0,0,1,1,2,0,0,2,2012
57393,"Pocahontas, IA","Estherville, IA",0,1,1,0,1,1,1,1,0,2,2012
57388,"Pocahontas, IA","Denison, IA",1,1,0,1,1,0,2,0,0,2,2012
57400,"Pocahontas, IA","Grimes, IA",0,2,0,2,0,0,0,1,1,2,2012
57365,"Pocahontas, IA","Allison, IA",0,0,1,1,0,0,1,0,0,1,2012
57452,"Pocahontas, IA","Williams, IA",0,1,0,1,0,0,0,0,1,1,2012
57435,"Pocahontas, IA","Ruthven, IA",0,0,1,0,0,1,0,1,0,1,2012
57436,"Pocahontas, IA","Rutland, IA",1,0,0,0,1,0,1,0,0,1,2012
57437,"Pocahontas, IA","Sergeant Bluff, IA",0,1,0,0,0,1,0,1,0,1,2012
57375,"Pocahontas, IA","Beaman, IA",0,1,0,0,0,1,0,1,0,1,2012
57439,"Pocahontas, IA","Sioux Rapids, IA",1,0,0,1,0,0,1,0,0,1,2012
57440,"Pocahontas, IA","Spencer, IA",0,1,0,0,0,1,0,1,0,1,2012
57374,"Pocahontas, IA","Bayard, IA",1,0,0,1,0,0,0,0,1,1,2012
57455,"Pocahontas, IA","Woolstock, IA",0,0,1,0,1,0,1,0,0,1,2012
57442,"Pocahontas, IA","Stuart, IA",0,1,0,0,1,0,1,0,0,1,2012
57443,"Pocahontas, IA","Tama, IA",1,0,0,0,0,1,1,0,0,1,2012
57444,"Pocahontas, IA","Tennant, IA",0,1,0,0,1,0,0,1,0,1,2012
57445,"Pocahontas, IA","Truesdale, IA",0,1,0,1,0,0,0,1,0,1,2012
57433,"Pocahontas, IA","Red Oak, IA",0,1,0,0,0,1,0,1,0,1,2012
57373,"Pocahontas, IA","Bancroft, IA",0,1,0,1,0,0,0,0,1,1,2012
57372,"Pocahontas, IA","Bagley, IA",0,1,0,0,0,1,0,0,1,1,2012
57371,"Pocahontas, IA","Avoca, IA",0,0,1,0,0,1,1,0,0,1,2012
57454,"Pocahontas, IA","Woden, IA",0,1,0,0,0,1,0,1,0,1,2012
57370,"Pocahontas, IA","Aurelia, IA",0,0,1,0,0,1,0,0,1,1,2012
57369,"Pocahontas, IA","Arthur, IA",1,0,0,1,0,0,0,0,1,1,2012
57368,"Pocahontas, IA","Arnolds Park, IA",0,0,1,0,0,1,0,1,0,1,2012
57434,"Pocahontas, IA","Rockwell City, IA",0,0,1,0,1,0,1,0,0,1,2012
57379,"Pocahontas, IA","Churdan, IA",0,1,0,0,0,1,0,0,1,1,2012
57432,"Pocahontas, IA","Rake, IA",1,0,0,1,0,0,0,1,0,1,2012
57390,"Pocahontas, IA","Eldora, IA",1,0,0,0,1,0,1,0,0,1,2012
57406,"Pocahontas, IA","Iowa Falls, IA",0,1,0,0,0,1,0,0,1,1,2012
57397,"Pocahontas, IA","Forest City, IA",0,0,1,0,1,0,1,0,0,1,2012
57408,"Pocahontas, IA","Knoxville, IA",0,1,0,1,0,0,0,0,1,1,2012
57395,"Pocahontas, IA","Farragut, IA",0,1,0,1,0,0,0,1,0,1,2012
57394,"Pocahontas, IA","Farnhamville, IA",0,1,0,0,0,1,0,0,1,1,2012
57412,"Pocahontas, IA","Lakota, IA",1,0,0,1,0,0,1,0,0,1,2012
57413,"Pocahontas, IA","Lamoni, IA",1,0,0,1,0,0,1,0,0,1,2012
57391,"Pocahontas, IA","Ellsworth, IA",1,0,0,0,1,0,1,0,0,1,2012
57416,"Pocahontas, IA","Le Mars, IA",0,0,1,0,1,0,0,1,0,1,2012
57387,"Pocahontas, IA","Danbury, IA",1,0,0,0,0,1,0,0,1,1,2012
57377,"Pocahontas, IA","Buffalo Center, IA",1,0,0,0,0,1,0,0,1,1,2012
57420,"Pocahontas, IA","Montezuma, IA",0,1,0,0,0,1,0,0,1,1,2012
57421,"Pocahontas, IA","Morrison, IA",0,1,0,1,0,0,0,0,1,1,2012
57385,"Pocahontas, IA","Cushing, IA",1,0,0,0,1,0,1,0,0,1,2012
57424,"Pocahontas, IA","Osceola, IA",0,0,1,0,0,1,0,1,0,1,2012
57383,"Pocahontas, IA","Creston, IA",1,0,0,0,0,1,1,0,0,1,2012
57426,"Pocahontas, IA","Owasa, IA",0,0,1,0,0,1,0,1,0,1,2012
57427,"Pocahontas, IA","Pella, IA",1,0,0,1,0,0,0,0,1,1,2012
57428,"Pocahontas, IA","Pierson, IA",1,0,0,0,0,1,1,0,0,1,2012
57429,"Pocahontas, IA","Pleasant Hill, IA",0,1,0,0,0,1,1,0,0,1,2012
57410,"Pocahontas, IA","Lake Mills, IA",1,0,0,0,1,0,1,0,0,1,2012
