,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
67865,"Stratford, IA","Fort Dodge, IA",36,58,26,32,67,21,30,39,51,120,2012
67829,"Stratford, IA","Ames, IA",13,36,25,17,48,9,9,27,38,74,2012
67936,"Stratford, IA","Webster City, IA",14,29,11,15,31,8,14,25,15,54,2012
67932,"Stratford, IA","Stratford, IA",2,19,9,0,28,2,9,8,13,30,2012
67854,"Stratford, IA","Des Moines, IA",7,13,4,0,17,7,9,8,7,24,2012
67836,"Stratford, IA","Boone, IA",5,12,5,3,15,4,9,6,7,22,2012
67897,"Stratford, IA","Mason City, IA",7,10,3,2,12,6,9,5,6,20,2012
67931,"Stratford, IA","Story City, IA",3,9,3,4,11,0,2,7,6,15,2012
67844,"Stratford, IA","Clive, IA",6,5,2,0,9,4,5,6,2,13,2012
67840,"Stratford, IA","Carroll, IA",1,7,3,1,10,0,4,2,5,11,2012
67940,"Stratford, IA","Windsor Heights, IA",1,3,5,0,5,4,5,3,1,9,2012
67831,"Stratford, IA","Ankeny, IA",2,7,0,0,6,3,2,2,5,9,2012
67933,"Stratford, IA","Urbandale, IA",1,6,2,2,5,2,1,4,4,9,2012
67939,"Stratford, IA","Williams, IA",2,4,2,3,4,1,3,2,3,8,2012
67930,"Stratford, IA","Storm Lake, IA",1,3,4,0,5,3,3,3,2,8,2012
67929,"Stratford, IA","Stanhope, IA",1,3,3,5,1,1,3,1,3,7,2012
67907,"Stratford, IA","Ogden, IA",0,5,2,1,6,0,2,1,4,7,2012
67851,"Stratford, IA","Dayton, IA",3,0,4,0,5,2,3,2,2,7,2012
67911,"Stratford, IA","Otho, IA",5,2,0,1,1,5,4,0,3,7,2012
67880,"Stratford, IA","Jewell Junction, IA",3,2,2,4,3,0,2,4,1,7,2012
67855,"Stratford, IA","Duncombe, IA",0,4,3,1,0,6,0,2,5,7,2012
67924,"Stratford, IA","Sioux City, IA",2,3,1,1,3,2,5,0,1,6,2012
67890,"Stratford, IA","Lehigh, IA",1,2,3,2,0,4,2,2,2,6,2012
67846,"Stratford, IA","Council Bluffs, IA",1,2,2,0,2,3,1,2,2,5,2012
67882,"Stratford, IA","Kamrar, IA",2,3,0,4,0,1,1,3,1,5,2012
67917,"Stratford, IA","Randall, IA",2,2,1,0,3,2,2,3,0,5,2012
67877,"Stratford, IA","Humboldt, IA",0,3,2,1,4,0,0,1,4,5,2012
67934,"Stratford, IA","Waukee, IA",0,4,1,1,2,2,1,0,4,5,2012
67878,"Stratford, IA","Iowa Falls, IA",2,3,0,1,1,3,1,2,2,5,2012
67869,"Stratford, IA","Goldfield, IA",0,2,2,0,1,3,1,0,3,4,2012
67853,"Stratford, IA","Denison, IA",1,2,1,0,2,2,1,0,3,4,2012
67935,"Stratford, IA","Webb, IA",2,1,0,2,0,1,1,1,1,3,2012
67903,"Stratford, IA","Nevada, IA",1,2,0,0,2,1,1,2,0,3,2012
67915,"Stratford, IA","Pleasant Hill, IA",1,1,1,0,0,3,0,3,0,3,2012
67861,"Stratford, IA","Farnhamville, IA",0,3,0,0,2,1,1,2,0,3,2012
67837,"Stratford, IA","Boxholm, IA",2,1,0,3,0,0,0,1,2,3,2012
67923,"Stratford, IA","Sioux Center, IA",2,1,0,2,0,1,1,0,2,3,2012
67927,"Stratford, IA","Spirit Lake, IA",2,1,0,0,3,0,2,0,1,3,2012
67896,"Stratford, IA","Marshalltown, IA",1,2,0,0,0,3,1,2,0,3,2012
67873,"Stratford, IA","Hampton, IA",3,0,0,0,3,0,2,1,0,3,2012
67920,"Stratford, IA","Sergeant Bluff, IA",2,0,1,0,1,2,1,2,0,3,2012
67858,"Stratford, IA","Ellsworth, IA",0,2,1,1,1,1,0,2,1,3,2012
67894,"Stratford, IA","Madrid, IA",0,0,2,0,2,0,0,1,1,2,2012
67914,"Stratford, IA","Parkersburg, IA",1,1,0,0,2,0,0,2,0,2,2012
67870,"Stratford, IA","Grand Junction, IA",0,1,1,0,1,1,0,2,0,2,2012
67908,"Stratford, IA","Orange City, IA",0,2,0,0,2,0,0,1,1,2,2012
67883,"Stratford, IA","Knierim, IA",0,1,1,0,2,0,0,2,0,2,2012
67868,"Stratford, IA","Gilman, IA",1,0,1,2,0,0,1,0,1,2,2012
67859,"Stratford, IA","Emmetsburg, IA",2,0,0,0,1,1,2,0,0,2,2012
67826,"Stratford, IA","Algona, IA",0,1,1,0,1,1,0,1,1,2,2012
67937,"Stratford, IA","West Des Moines, IA",0,1,1,0,2,0,1,1,0,2,2012
67835,"Stratford, IA","Belmond, IA",0,2,0,0,2,0,1,0,1,2,2012
67842,"Stratford, IA","Clear Lake, IA",1,1,0,0,1,1,1,0,1,2,2012
67847,"Stratford, IA","Creston, IA",0,1,1,0,2,0,1,0,1,2,2012
67856,"Stratford, IA","Eagle Grove, IA",1,1,0,0,1,1,1,1,0,2,2012
67857,"Stratford, IA","Eldora, IA",1,1,0,0,1,1,1,0,1,2,2012
67926,"Stratford, IA","Spencer, IA",0,1,1,1,1,0,0,1,1,2,2012
67866,"Stratford, IA","Fraser, IA",0,2,0,0,2,0,1,0,1,2,2012
67925,"Stratford, IA","Sioux Rapids, IA",1,0,0,0,1,0,0,0,1,1,2012
67906,"Stratford, IA","Odebolt, IA",0,1,0,0,1,0,0,0,1,1,2012
67902,"Stratford, IA","Murray, IA",1,0,0,0,0,1,1,0,0,1,2012
67921,"Stratford, IA","Sibley, IA",0,0,1,0,1,0,1,0,0,1,2012
