,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
70430,"University Heights, IA","Iowa City, IA",1027,2194,867,135,3794,159,678,936,2474,4088,2012
70494,"University Heights, IA","University Heights, IA",146,166,63,18,306,51,163,132,80,375,2012
70395,"University Heights, IA","Coralville, IA",200,130,41,8,278,85,160,137,74,371,2012
70386,"University Heights, IA","Cedar Rapids, IA",151,171,38,32,280,48,118,97,145,360,2012
70464,"University Heights, IA","North Liberty, IA",94,93,24,19,153,39,65,71,75,211,2012
70427,"University Heights, IA","Hiawatha, IA",68,96,17,40,115,26,50,47,84,181,2012
70492,"University Heights, IA","Tiffin, IA",52,67,16,46,47,42,38,51,46,135,2012
70413,"University Heights, IA","Ely, IA",17,40,5,0,62,0,30,14,18,62,2012
70399,"University Heights, IA","Davenport, IA",19,29,11,5,42,12,31,13,15,59,2012
70480,"University Heights, IA","Riverside, IA",21,27,10,7,37,14,15,29,14,58,2012
70405,"University Heights, IA","Des Moines, IA",22,25,11,6,38,14,10,21,27,58,2012
70458,"University Heights, IA","Muscatine, IA",15,20,4,13,19,7,9,6,24,39,2012
70393,"University Heights, IA","Clive, IA",15,18,6,3,27,9,9,15,15,39,2012
70471,"University Heights, IA","Oxford, IA",15,15,7,3,21,13,17,17,3,37,2012
70481,"University Heights, IA","Robins, IA",14,14,2,0,25,5,7,12,11,30,2012
70377,"University Heights, IA","Bettendorf, IA",14,15,0,0,15,14,13,8,8,29,2012
70503,"University Heights, IA","Waterloo, IA",12,7,6,1,14,10,12,10,3,25,2012
70433,"University Heights, IA","Kalona, IA",8,11,4,6,16,1,5,13,5,23,2012
70385,"University Heights, IA","Cedar Falls, IA",10,8,5,1,13,9,13,6,4,23,2012
70408,"University Heights, IA","Dubuque, IA",12,10,1,1,12,10,10,5,8,23,2012
70509,"University Heights, IA","West Branch, IA",10,9,1,2,7,11,2,9,9,20,2012
70456,"University Heights, IA","Mount Pleasant, IA",4,9,6,2,10,7,4,7,8,19,2012
70497,"University Heights, IA","Urbandale, IA",6,11,2,1,12,6,5,4,10,19,2012
70500,"University Heights, IA","Walford, IA",5,6,7,17,1,0,1,10,7,18,2012
70368,"University Heights, IA","Ames, IA",9,7,2,1,16,1,5,7,6,18,2012
70370,"University Heights, IA","Ankeny, IA",6,7,4,1,12,4,7,4,6,17,2012
70415,"University Heights, IA","Fairfax, IA",11,6,0,2,6,9,3,7,7,17,2012
70483,"University Heights, IA","Shueyville, IA",13,2,2,0,8,9,2,7,8,17,2012
70439,"University Heights, IA","Lisbon, IA",4,8,4,0,11,5,7,6,3,16,2012
70447,"University Heights, IA","Marengo, IA",8,5,2,6,8,1,4,2,9,15,2012
70450,"University Heights, IA","Mason City, IA",7,5,2,0,3,11,5,7,2,14,2012
70448,"University Heights, IA","Marion, IA",2,10,2,5,3,6,1,1,12,14,2012
70514,"University Heights, IA","Williamsburg, IA",7,7,0,0,10,4,6,2,6,14,2012
70412,"University Heights, IA","Eldridge, IA",4,8,1,0,7,6,5,3,5,13,2012
70510,"University Heights, IA","West Burlington, IA",3,9,0,1,5,6,5,1,6,12,2012
70470,"University Heights, IA","Ottumwa, IA",4,4,3,1,2,8,6,3,2,11,2012
70502,"University Heights, IA","Washington, IA",5,4,2,2,5,4,3,6,2,11,2012
70371,"University Heights, IA","Asbury, IA",6,3,1,0,5,5,5,4,1,10,2012
70513,"University Heights, IA","West Liberty, IA",5,3,2,4,5,1,1,7,2,10,2012
70516,"University Heights, IA","Windsor Heights, IA",1,5,2,0,5,3,2,3,3,8,2012
70493,"University Heights, IA","Tipton, IA",2,3,2,0,4,3,3,2,2,7,2012
70416,"University Heights, IA","Fairfield, IA",2,4,1,0,3,4,2,3,2,7,2012
70487,"University Heights, IA","Solon, IA",5,0,2,0,5,2,7,0,0,7,2012
70396,"University Heights, IA","Council Bluffs, IA",2,4,0,0,3,3,2,4,0,6,2012
70434,"University Heights, IA","Keokuk, IA",2,2,2,1,1,4,4,2,0,6,2012
70381,"University Heights, IA","Burlington, IA",4,2,0,0,4,2,4,2,0,6,2012
70457,"University Heights, IA","Mount Vernon, IA",2,3,1,0,5,1,2,2,2,6,2012
70449,"University Heights, IA","Marshalltown, IA",1,4,1,0,4,2,3,2,1,6,2012
70410,"University Heights, IA","Dyersville, IA",1,3,2,1,2,3,4,1,1,6,2012
70512,"University Heights, IA","West Des Moines, IA",2,2,1,1,2,2,1,1,3,5,2012
70508,"University Heights, IA","Wellman, IA",1,4,0,2,3,0,1,3,1,5,2012
70515,"University Heights, IA","Wilton, IA",2,1,2,3,1,1,0,1,4,5,2012
70375,"University Heights, IA","Bennett, IA",3,2,0,3,1,1,2,2,1,5,2012
70440,"University Heights, IA","Lone Tree, IA",0,4,1,0,4,1,2,2,1,5,2012
70432,"University Heights, IA","Johnston, IA",2,3,0,0,3,2,2,1,2,5,2012
70476,"University Heights, IA","Pleasant Hill, IA",1,3,1,0,3,2,3,2,0,5,2012
70392,"University Heights, IA","Clinton, IA",4,1,0,1,3,1,1,2,2,5,2012
70394,"University Heights, IA","Columbus Junction, IA",1,4,0,0,4,1,0,2,3,5,2012
70461,"University Heights, IA","Newton, IA",1,3,0,0,0,4,0,4,0,4,2012
70445,"University Heights, IA","Manchester, IA",1,2,1,2,2,0,0,0,4,4,2012
70507,"University Heights, IA","Waverly, IA",0,4,0,1,1,2,1,1,2,4,2012
70454,"University Heights, IA","Monticello, IA",2,2,0,0,3,1,3,1,0,4,2012
70485,"University Heights, IA","Sioux City, IA",4,0,0,0,2,2,2,2,0,4,2012
70488,"University Heights, IA","Springville, IA",1,1,2,0,2,2,0,1,3,4,2012
70442,"University Heights, IA","Low Moor, IA",1,2,1,1,0,3,2,1,1,4,2012
70468,"University Heights, IA","Oskaloosa, IA",0,4,0,1,1,2,1,2,1,4,2012
70441,"University Heights, IA","Long Grove, IA",1,1,1,0,2,1,2,1,0,3,2012
70429,"University Heights, IA","Independence, IA",1,2,0,0,1,2,1,2,0,3,2012
70426,"University Heights, IA","Grinnell, IA",0,2,1,1,2,0,2,0,1,3,2012
70414,"University Heights, IA","Evansdale, IA",1,1,1,0,0,3,1,1,1,3,2012
70498,"University Heights, IA","Victor, IA",0,2,1,2,1,0,0,2,1,3,2012
70499,"University Heights, IA","Vinton, IA",1,2,0,0,2,1,0,2,1,3,2012
70505,"University Heights, IA","Waukee, IA",1,1,1,0,2,1,2,0,1,3,2012
70369,"University Heights, IA","Anamosa, IA",1,1,1,0,1,2,3,0,0,3,2012
70484,"University Heights, IA","Sigourney, IA",1,0,1,0,2,0,0,2,0,2,2012
70465,"University Heights, IA","Norwalk, IA",1,1,0,0,1,1,1,0,1,2,2012
70467,"University Heights, IA","Osage, IA",0,0,2,2,0,0,0,1,1,2,2012
70479,"University Heights, IA","Riverdale, IA",0,2,0,1,0,1,2,0,0,2,2012
70473,"University Heights, IA","Panorama Park, IA",1,1,0,0,0,2,1,0,1,2,2012
70446,"University Heights, IA","Maquoketa, IA",0,1,1,0,1,1,0,1,1,2,2012
70420,"University Heights, IA","Fruitland, IA",0,2,0,0,2,0,1,0,1,2,2012
70417,"University Heights, IA","Fort Dodge, IA",1,1,0,0,1,1,2,0,0,2,2012
70374,"University Heights, IA","Belmond, IA",0,1,1,0,1,1,2,0,0,2,2012
70402,"University Heights, IA","Decorah, IA",1,1,0,0,1,1,1,1,0,2,2012
70390,"University Heights, IA","Charles City, IA",1,1,0,0,2,0,1,1,0,2,2012
70379,"University Heights, IA","Boone, IA",1,1,0,0,0,2,1,1,0,2,2012
70418,"University Heights, IA","Fort Madison, IA",1,1,0,0,1,1,1,1,0,2,2012
70376,"University Heights, IA","Bertram, IA",0,0,2,0,2,0,0,0,2,2,2012
70421,"University Heights, IA","Garden Grove, IA",1,0,1,0,0,2,2,0,0,2,2012
70423,"University Heights, IA","Grandview, IA",0,2,0,0,1,1,0,0,2,2,2012
70424,"University Heights, IA","Granger, IA",0,2,0,0,2,0,0,2,0,2,2012
70431,"University Heights, IA","Janesville, IA",1,1,0,0,2,0,0,2,0,2,2012
70435,"University Heights, IA","Kinross, IA",0,1,1,0,2,0,0,0,2,2,2012
70436,"University Heights, IA","Knoxville, IA",1,1,0,0,1,1,2,0,0,2,2012
70373,"University Heights, IA","Belle Plaine, IA",1,1,0,0,1,1,0,1,1,2,2012
70366,"University Heights, IA","Albia, IA",0,0,2,0,0,2,0,1,1,2,2012
70401,"University Heights, IA","De Witt, IA",0,0,2,1,1,0,0,0,2,2,2012
70506,"University Heights, IA","Waukon, IA",1,0,0,0,0,1,1,0,0,1,2012
70478,"University Heights, IA","Reasnor, IA",0,1,0,0,0,1,0,1,0,1,2012
70511,"University Heights, IA","West Chester, IA",1,0,0,0,1,0,0,0,1,1,2012
70489,"University Heights, IA","Stanhope, IA",1,0,0,0,1,0,1,0,0,1,2012
70504,"University Heights, IA","Waucoma, IA",1,0,0,1,0,0,0,0,1,1,2012
70482,"University Heights, IA","Salem, IA",0,0,1,0,0,1,0,0,1,1,2012
70501,"University Heights, IA","Wapello, IA",0,0,1,0,1,0,0,0,1,1,2012
70490,"University Heights, IA","Stanley, IA",1,0,0,0,1,0,0,0,1,1,2012
70496,"University Heights, IA","Urbana, IA",0,1,0,0,0,1,0,0,1,1,2012
70495,"University Heights, IA","University Park, IA",0,0,1,1,0,0,0,1,0,1,2012
70486,"University Heights, IA","Slater, IA",0,1,0,0,1,0,0,0,1,1,2012
70491,"University Heights, IA","Swisher, IA",0,0,1,0,0,1,1,0,0,1,2012
70477,"University Heights, IA","Randalia, IA",0,1,0,0,1,0,0,0,1,1,2012
70365,"University Heights, IA","Ainsworth, IA",0,1,0,0,1,0,1,0,0,1,2012
70475,"University Heights, IA","Pella, IA",0,1,0,0,1,0,0,0,1,1,2012
70389,"University Heights, IA","Central City, IA",0,1,0,0,1,0,0,0,1,1,2012
70407,"University Heights, IA","Dixon, IA",0,1,0,0,0,1,0,0,1,1,2012
70406,"University Heights, IA","Dexter, IA",1,0,0,0,1,0,0,1,0,1,2012
70404,"University Heights, IA","Denison, IA",0,1,0,0,1,0,0,1,0,1,2012
70403,"University Heights, IA","Delaware, IA",1,0,0,0,1,0,1,0,0,1,2012
70400,"University Heights, IA","De Soto, IA",0,1,0,0,1,0,0,1,0,1,2012
70398,"University Heights, IA","Cresco, IA",0,1,0,0,0,1,0,1,0,1,2012
70397,"University Heights, IA","Crawfordsville, IA",1,0,0,1,0,0,0,1,0,1,2012
70391,"University Heights, IA","Clarence, IA",0,1,0,1,0,0,1,0,0,1,2012
70388,"University Heights, IA","Centerville, IA",1,0,0,0,0,1,0,1,0,1,2012
70474,"University Heights, IA","Parkersburg, IA",0,1,0,0,1,0,0,0,1,1,2012
70387,"University Heights, IA","Center Point, IA",0,1,0,0,1,0,0,0,1,1,2012
70384,"University Heights, IA","Cascade, IA",1,0,0,0,1,0,1,0,0,1,2012
70383,"University Heights, IA","Carroll, IA",1,0,0,1,0,0,0,1,0,1,2012
70382,"University Heights, IA","Bussey, IA",1,0,0,1,0,0,0,0,1,1,2012
70380,"University Heights, IA","Brighton, IA",0,1,0,1,0,0,0,1,0,1,2012
70378,"University Heights, IA","Blue Grass, IA",1,0,0,1,0,0,0,0,1,1,2012
70372,"University Heights, IA","Atalissa, IA",0,1,0,0,0,1,0,0,1,1,2012
70367,"University Heights, IA","Algona, IA",0,1,0,1,0,0,0,0,1,1,2012
70409,"University Heights, IA","Dunkerton, IA",0,1,0,0,1,0,0,1,0,1,2012
70411,"University Heights, IA","Eldora, IA",0,1,0,0,1,0,0,1,0,1,2012
70419,"University Heights, IA","Fremont, IA",0,1,0,1,0,0,0,0,1,1,2012
70422,"University Heights, IA","Gilman, IA",0,1,0,1,0,0,0,1,0,1,2012
70472,"University Heights, IA","Palo, IA",1,0,0,1,0,0,1,0,0,1,2012
70469,"University Heights, IA","Ottosen, IA",0,0,1,1,0,0,0,1,0,1,2012
70466,"University Heights, IA","Norway, IA",0,1,0,0,1,0,0,0,1,1,2012
70463,"University Heights, IA","Nora Springs, IA",0,0,1,0,1,0,1,0,0,1,2012
70462,"University Heights, IA","Nichols, IA",0,0,1,0,1,0,0,0,1,1,2012
70460,"University Heights, IA","New Hampton, IA",0,1,0,0,1,0,1,0,0,1,2012
70459,"University Heights, IA","Nevada, IA",0,0,1,1,0,0,0,1,0,1,2012
70455,"University Heights, IA","Morrison, IA",0,1,0,1,0,0,0,0,1,1,2012
70453,"University Heights, IA","Mitchellville, IA",1,0,0,0,1,0,0,1,0,1,2012
70452,"University Heights, IA","Mediapolis, IA",0,1,0,1,0,0,0,0,1,1,2012
70451,"University Heights, IA","Mechanicsville, IA",0,1,0,0,1,0,0,1,0,1,2012
70444,"University Heights, IA","Madrid, IA",0,1,0,0,0,1,0,0,1,1,2012
70443,"University Heights, IA","Lynnville, IA",0,1,0,0,1,0,0,0,1,1,2012
70438,"University Heights, IA","Lincoln, IA",0,1,0,0,1,0,0,0,1,1,2012
70437,"University Heights, IA","La Porte City, IA",0,0,1,0,0,1,1,0,0,1,2012
70428,"University Heights, IA","Hills, IA",0,1,0,0,0,1,0,0,1,1,2012
70425,"University Heights, IA","Grimes, IA",0,1,0,0,0,1,0,0,1,1,2012
70517,"University Heights, IA","Worthington, IA",0,1,0,0,1,0,1,0,0,1,2012
