,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
71364,"Van Meter, IA","Des Moines, IA",36,132,66,14,191,29,35,68,131,234,2012
71361,"Van Meter, IA","Clive, IA",41,102,29,4,142,26,38,61,73,172,2012
71398,"Van Meter, IA","Waukee, IA",26,48,13,14,63,10,26,21,40,87,2012
71396,"Van Meter, IA","Urbandale, IA",12,52,22,5,51,30,24,21,41,86,2012
71400,"Van Meter, IA","West Des Moines, IA",10,27,19,16,22,18,8,13,35,56,2012
71397,"Van Meter, IA","Van Meter, IA",6,25,10,7,29,5,14,14,13,41,2012
71363,"Van Meter, IA","De Soto, IA",5,22,13,6,22,12,12,7,21,40,2012
71353,"Van Meter, IA","Adel, IA",5,15,7,2,20,5,4,13,10,27,2012
71356,"Van Meter, IA","Ankeny, IA",5,17,4,3,11,12,4,11,11,26,2012
71374,"Van Meter, IA","Johnston, IA",3,9,11,0,10,13,1,7,15,23,2012
71401,"Van Meter, IA","Windsor Heights, IA",6,10,6,6,8,8,6,8,8,22,2012
71355,"Van Meter, IA","Ames, IA",4,13,1,3,7,8,7,6,5,18,2012
71384,"Van Meter, IA","Norwalk, IA",3,5,1,0,9,0,3,4,2,9,2012
71368,"Van Meter, IA","Grimes, IA",2,7,0,2,3,4,3,1,5,9,2012
71389,"Van Meter, IA","Pleasant Hill, IA",1,5,2,0,4,4,1,3,4,8,2012
71365,"Van Meter, IA","Dexter, IA",3,4,0,0,5,2,3,2,2,7,2012
71387,"Van Meter, IA","Patterson, IA",2,2,3,5,0,2,2,4,1,7,2012
71358,"Van Meter, IA","Boone, IA",1,4,1,0,3,3,2,2,2,6,2012
71369,"Van Meter, IA","Guthrie Center, IA",2,2,2,0,5,1,2,0,4,6,2012
71359,"Van Meter, IA","Carlisle, IA",1,1,2,1,2,1,1,2,1,4,2012
71402,"Van Meter, IA","Winterset, IA",0,2,2,0,4,0,2,1,1,4,2012
71388,"Van Meter, IA","Perry, IA",2,0,1,0,2,1,0,3,0,3,2012
71385,"Van Meter, IA","Ogden, IA",0,3,0,0,1,2,2,0,1,3,2012
71381,"Van Meter, IA","Mitchellville, IA",0,2,1,0,2,1,2,0,1,3,2012
71372,"Van Meter, IA","Indianola, IA",0,0,3,3,0,0,0,0,3,3,2012
71392,"Van Meter, IA","Redfield, IA",2,0,0,0,2,0,1,0,1,2,2012
71393,"Van Meter, IA","Spring Hill, IA",0,0,2,2,0,0,0,0,2,2,2012
71382,"Van Meter, IA","Nevada, IA",0,2,0,1,1,0,0,1,1,2,2012
71383,"Van Meter, IA","Newton, IA",1,1,0,0,1,1,1,1,0,2,2012
71395,"Van Meter, IA","Stuart, IA",0,2,0,2,0,0,0,1,1,2,2012
71352,"Van Meter, IA","Adair, IA",0,2,0,0,1,1,0,2,0,2,2012
71370,"Van Meter, IA","Harvey, IA",0,1,1,0,1,1,0,1,1,2,2012
71360,"Van Meter, IA","Casey, IA",1,1,0,0,0,2,1,1,0,2,2012
71354,"Van Meter, IA","Altoona, IA",1,1,0,0,1,1,2,0,0,2,2012
71357,"Van Meter, IA","Audubon, IA",0,2,0,0,0,2,0,0,2,2,2012
71377,"Van Meter, IA","Linden, IA",0,1,1,1,1,0,0,2,0,2,2012
71375,"Van Meter, IA","Knoxville, IA",0,0,1,0,1,0,0,0,1,1,2012
71373,"Van Meter, IA","Jefferson, IA",0,1,0,0,1,0,0,1,0,1,2012
71390,"Van Meter, IA","Prairie City, IA",0,0,1,0,0,1,0,0,1,1,2012
71391,"Van Meter, IA","Reasnor, IA",0,1,0,0,1,0,1,0,0,1,2012
71371,"Van Meter, IA","Huxley, IA",1,0,0,0,1,0,1,0,0,1,2012
71379,"Van Meter, IA","Maxwell, IA",0,0,1,1,0,0,0,0,1,1,2012
71394,"Van Meter, IA","Stanhope, IA",0,0,1,1,0,0,0,0,1,1,2012
71367,"Van Meter, IA","Gilman, IA",0,1,0,1,0,0,0,1,0,1,2012
71366,"Van Meter, IA","Fraser, IA",0,1,0,0,1,0,0,0,1,1,2012
71362,"Van Meter, IA","Dallas Center, IA",0,0,1,1,0,0,0,0,1,1,2012
71376,"Van Meter, IA","Lacona, IA",1,0,0,0,1,0,0,1,0,1,2012
71399,"Van Meter, IA","Webster City, IA",0,0,1,0,1,0,1,0,0,1,2012
71386,"Van Meter, IA","Panora, IA",0,0,1,0,1,0,0,1,0,1,2012
71378,"Van Meter, IA","Luther, IA",0,1,0,0,0,1,0,0,1,1,2012
71380,"Van Meter, IA","Minburn, IA",0,0,1,0,0,1,0,0,1,1,2012
