,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51,"Ackley, IA","Owasa, IA",23,49,21,1,71,21,46,30,17,93,2012
0,"Ackley, IA","Ackley, IA",17,42,21,0,71,9,46,20,14,80,2012
52,"Ackley, IA","Parkersburg, IA",7,11,10,2,18,8,11,17,0,28,2012
39,"Ackley, IA","Iowa Falls, IA",14,7,3,0,22,2,11,12,1,24,2012
46,"Ackley, IA","Morrison, IA",4,8,7,2,12,5,7,8,4,19,2012
73,"Ackley, IA","Wellsburg, IA",4,5,4,3,6,4,4,8,1,13,2012
59,"Ackley, IA","Sheffield, IA",3,4,2,0,9,0,2,6,1,9,2012
22,"Ackley, IA","Eldora, IA",3,2,2,1,6,0,3,3,1,7,2012
20,"Ackley, IA","Dougherty, IA",0,5,2,1,6,0,3,4,0,7,2012
5,"Ackley, IA","Aredale, IA",3,1,2,0,4,2,3,1,2,6,2012
30,"Ackley, IA","Geneva, IA",0,6,0,0,6,0,3,3,0,6,2012
8,"Ackley, IA","Bristow, IA",1,2,2,0,5,0,3,2,0,5,2012
9,"Ackley, IA","Cedar Falls, IA",3,2,0,0,5,0,0,2,3,5,2012
35,"Ackley, IA","Hampton, IA",1,1,2,0,3,1,1,3,0,4,2012
44,"Ackley, IA","Mason City, IA",0,4,0,0,2,2,1,1,2,4,2012
2,"Ackley, IA","Alden, IA",0,4,0,0,4,0,0,2,2,4,2012
14,"Ackley, IA","Conrad, IA",1,2,1,0,4,0,2,1,1,4,2012
29,"Ackley, IA","Fort Dodge, IA",2,0,1,0,2,1,1,1,1,3,2012
70,"Ackley, IA","Waterloo, IA",2,1,0,1,0,2,0,2,1,3,2012
4,"Ackley, IA","Ames, IA",0,1,1,0,2,0,0,1,1,2,2012
34,"Ackley, IA","Grundy Center, IA",1,1,0,1,0,1,0,2,0,2,2012
58,"Ackley, IA","Roland, IA",0,1,1,0,2,0,1,0,1,2,2012
48,"Ackley, IA","New Hartford, IA",0,1,1,0,2,0,0,0,2,2,2012
6,"Ackley, IA","Beaman, IA",1,0,1,0,2,0,0,1,1,2,2012
67,"Ackley, IA","Tripoli, IA",0,2,0,0,2,0,0,0,2,2,2012
66,"Ackley, IA","Traer, IA",0,1,1,0,0,2,1,1,0,2,2012
71,"Ackley, IA","Waukee, IA",0,1,1,1,1,0,1,1,0,2,2012
68,"Ackley, IA","Urbana, IA",1,0,0,0,1,0,1,0,0,1,2012
47,"Ackley, IA","New Albin, IA",0,0,1,1,0,0,0,1,0,1,2012
72,"Ackley, IA","Waverly, IA",0,1,0,0,1,0,1,0,0,1,2012
49,"Ackley, IA","North English, IA",0,0,1,0,1,0,0,1,0,1,2012
50,"Ackley, IA","Northwood, IA",0,1,0,0,0,1,0,0,1,1,2012
3,"Ackley, IA","Algona, IA",0,0,1,0,0,1,1,0,0,1,2012
69,"Ackley, IA","Van Horne, IA",1,0,0,0,1,0,1,0,0,1,2012
53,"Ackley, IA","Plainfield, IA",0,1,0,0,1,0,0,0,1,1,2012
61,"Ackley, IA","Stacyville, IA",1,0,0,0,0,1,1,0,0,1,2012
62,"Ackley, IA","Steamboat Rock, IA",0,1,0,0,1,0,1,0,0,1,2012
54,"Ackley, IA","Polk City, IA",1,0,0,0,1,0,1,0,0,1,2012
55,"Ackley, IA","Pomeroy, IA",1,0,0,0,1,0,0,0,1,1,2012
56,"Ackley, IA","Preston, IA",1,0,0,0,1,0,1,0,0,1,2012
65,"Ackley, IA","Titonka, IA",0,1,0,0,1,0,1,0,0,1,2012
57,"Ackley, IA","Readlyn, IA",0,1,0,0,1,0,1,0,0,1,2012
64,"Ackley, IA","Thompson, IA",0,0,1,0,1,0,1,0,0,1,2012
63,"Ackley, IA","Sumner, IA",1,0,0,0,0,1,0,1,0,1,2012
60,"Ackley, IA","Spring Hill, IA",0,1,0,0,1,0,0,0,1,1,2012
40,"Ackley, IA","Janesville, IA",0,1,0,0,0,1,0,0,1,1,2012
45,"Ackley, IA","Maxwell, IA",0,1,0,0,0,1,0,1,0,1,2012
43,"Ackley, IA","Manly, IA",0,1,0,0,0,1,1,0,0,1,2012
10,"Ackley, IA","Center Junction, IA",0,0,1,0,1,0,1,0,0,1,2012
11,"Ackley, IA","Clarksville, IA",0,0,1,0,0,1,0,0,1,1,2012
12,"Ackley, IA","Clear Lake, IA",0,1,0,0,0,1,0,0,1,1,2012
13,"Ackley, IA","Colwell, IA",0,0,1,0,0,1,0,1,0,1,2012
15,"Ackley, IA","Council Bluffs, IA",0,1,0,0,0,1,0,1,0,1,2012
16,"Ackley, IA","Craig, IA",0,1,0,0,0,1,0,1,0,1,2012
17,"Ackley, IA","Crystal Lake, IA",0,1,0,0,0,1,0,0,1,1,2012
18,"Ackley, IA","Decorah, IA",0,1,0,0,1,0,1,0,0,1,2012
19,"Ackley, IA","Denison, IA",1,0,0,0,1,0,1,0,0,1,2012
21,"Ackley, IA","Dunkerton, IA",0,1,0,0,0,1,0,0,1,1,2012
23,"Ackley, IA","Elk Run Heights, IA",0,1,0,0,1,0,0,0,1,1,2012
24,"Ackley, IA","Elkader, IA",0,1,0,0,0,1,0,1,0,1,2012
25,"Ackley, IA","Exline, IA",0,1,0,0,0,1,1,0,0,1,2012
26,"Ackley, IA","Fairbank, IA",0,1,0,0,1,0,0,0,1,1,2012
27,"Ackley, IA","Ferguson, IA",0,1,0,0,1,0,0,0,1,1,2012
28,"Ackley, IA","Forest City, IA",0,1,0,0,1,0,0,0,1,1,2012
31,"Ackley, IA","Gilman, IA",0,1,0,0,1,0,0,0,1,1,2012
32,"Ackley, IA","Glenwood, IA",0,1,0,0,0,1,0,1,0,1,2012
33,"Ackley, IA","Greene, IA",0,0,1,0,1,0,0,1,0,1,2012
36,"Ackley, IA","Harlan, IA",0,1,0,0,0,1,0,1,0,1,2012
1,"Ackley, IA","Afton, IA",1,0,0,0,0,1,1,0,0,1,2012
38,"Ackley, IA","Indianola, IA",0,1,0,0,0,1,0,0,1,1,2012
7,"Ackley, IA","Boone, IA",1,0,0,0,1,0,1,0,0,1,2012
41,"Ackley, IA","Lakota, IA",0,1,0,0,1,0,0,0,1,1,2012
42,"Ackley, IA","Luana, IA",0,0,1,0,1,0,1,0,0,1,2012
37,"Ackley, IA","Independence, IA",1,0,0,0,1,0,1,0,0,1,2012
