,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
654,"Akron, IA","Akron, IA",34,81,49,7,116,41,63,40,61,164,2012
699,"Akron, IA","Merrill, IA",15,37,21,7,52,14,31,13,29,73,2012
723,"Akron, IA","Sioux City, IA",7,24,22,4,15,34,6,7,40,53,2012
667,"Akron, IA","Craig, IA",9,25,16,4,40,6,23,18,9,50,2012
692,"Akron, IA","Le Mars, IA",3,20,16,3,12,24,6,14,19,39,2012
714,"Akron, IA","Remsen, IA",0,7,5,0,2,10,1,4,7,12,2012
680,"Akron, IA","Hawarden, IA",2,8,2,1,6,5,1,7,4,12,2012
716,"Akron, IA","Rock Valley, IA",4,7,0,1,4,6,2,4,5,11,2012
682,"Akron, IA","Hinton, IA",0,8,2,2,3,5,3,0,7,10,2012
702,"Akron, IA","Moville, IA",1,5,1,4,1,2,1,1,5,7,2012
655,"Akron, IA","Alton, IA",0,5,2,0,2,5,0,0,7,7,2012
666,"Akron, IA","Council Bluffs, IA",1,5,0,0,0,6,1,1,4,6,2012
731,"Akron, IA","Westfield, IA",4,0,2,1,3,2,2,1,3,6,2012
696,"Akron, IA","Marcus, IA",1,2,2,2,0,3,1,2,2,5,2012
698,"Akron, IA","Meriden, IA",0,3,2,2,1,2,3,2,0,5,2012
656,"Akron, IA","Anthon, IA",1,3,0,0,1,3,0,2,2,4,2012
719,"Akron, IA","Sergeant Bluff, IA",0,4,0,0,1,3,0,1,3,4,2012
691,"Akron, IA","Lawton, IA",0,4,0,1,0,3,0,2,2,4,2012
658,"Akron, IA","Aurelia, IA",1,1,2,0,0,4,1,2,1,4,2012
713,"Akron, IA","Quimby, IA",2,2,0,0,1,3,1,0,3,4,2012
686,"Akron, IA","Ireton, IA",0,3,1,0,1,3,0,1,3,4,2012
659,"Akron, IA","Battle Creek, IA",0,4,0,1,2,1,0,2,2,4,2012
688,"Akron, IA","Kingsley, IA",0,4,0,2,1,1,0,1,3,4,2012
710,"Akron, IA","Peterson, IA",0,3,0,0,1,2,0,0,3,3,2012
726,"Akron, IA","Soldier, IA",0,3,0,0,3,0,1,2,0,3,2012
711,"Akron, IA","Pierson, IA",0,1,2,1,1,1,0,3,0,3,2012
709,"Akron, IA","Paullina, IA",0,3,0,0,1,2,0,1,2,3,2012
663,"Akron, IA","Cherokee, IA",1,2,0,2,1,0,1,0,2,3,2012
669,"Akron, IA","Danbury, IA",0,3,0,0,2,1,1,1,1,3,2012
705,"Akron, IA","Orange City, IA",1,1,0,0,1,1,1,0,1,2,2012
668,"Akron, IA","Cushing, IA",1,0,1,0,2,0,1,1,0,2,2012
690,"Akron, IA","Larrabee, IA",1,1,0,1,0,1,1,0,1,2,2012
665,"Akron, IA","Coon Rapids, IA",0,1,1,0,1,1,0,0,2,2,2012
706,"Akron, IA","Oyens, IA",0,1,1,0,0,2,0,1,1,2,2012
679,"Akron, IA","Hartley, IA",0,2,0,0,0,2,0,0,2,2,2012
722,"Akron, IA","Sioux Center, IA",2,0,0,0,0,2,0,0,2,2,2012
725,"Akron, IA","Sloan, IA",0,0,1,0,0,1,0,1,0,1,2012
707,"Akron, IA","Pacific Junction, IA",0,1,0,0,0,1,0,0,1,1,2012
730,"Akron, IA","Truesdale, IA",0,0,1,0,0,1,1,0,0,1,2012
708,"Akron, IA","Panama, IA",0,1,0,0,0,1,0,0,1,1,2012
729,"Akron, IA","Sutherland, IA",0,0,1,0,0,1,0,1,0,1,2012
728,"Akron, IA","Storm Lake, IA",0,1,0,0,1,0,0,0,1,1,2012
727,"Akron, IA","Spirit Lake, IA",0,1,0,0,0,1,0,1,0,1,2012
657,"Akron, IA","Arthur, IA",0,0,1,0,1,0,1,0,0,1,2012
717,"Akron, IA","Sanborn, IA",0,1,0,0,0,1,0,0,1,1,2012
712,"Akron, IA","Pleasant Hill, IA",0,1,0,0,0,1,1,0,0,1,2012
721,"Akron, IA","Sibley, IA",0,1,0,0,1,0,0,0,1,1,2012
720,"Akron, IA","Shenandoah, IA",0,1,0,0,0,1,0,0,1,1,2012
718,"Akron, IA","Schaller, IA",0,0,1,0,0,1,0,0,1,1,2012
715,"Akron, IA","Rock Rapids, IA",0,1,0,0,0,1,0,0,1,1,2012
724,"Akron, IA","Sioux Rapids, IA",1,0,0,0,0,1,0,1,0,1,2012
660,"Akron, IA","Boyden, IA",0,1,0,0,1,0,0,1,0,1,2012
704,"Akron, IA","Onawa, IA",0,0,1,0,1,0,1,0,0,1,2012
703,"Akron, IA","Newell, IA",0,1,0,1,0,0,0,1,0,1,2012
670,"Akron, IA","Des Moines, IA",1,0,0,0,0,1,1,0,0,1,2012
671,"Akron, IA","Doon, IA",0,0,1,0,1,0,1,0,0,1,2012
672,"Akron, IA","Eagle Grove, IA",0,1,0,0,0,1,0,0,1,1,2012
673,"Akron, IA","Emmetsburg, IA",0,1,0,0,0,1,0,0,1,1,2012
674,"Akron, IA","George, IA",0,1,0,0,0,1,0,0,1,1,2012
675,"Akron, IA","Graettinger, IA",0,0,1,0,1,0,0,1,0,1,2012
676,"Akron, IA","Grant, IA",0,1,0,0,0,1,0,0,1,1,2012
677,"Akron, IA","Harlan, IA",0,1,0,0,0,1,1,0,0,1,2012
678,"Akron, IA","Harris, IA",1,0,0,0,0,1,1,0,0,1,2012
664,"Akron, IA","Clarion, IA",0,1,0,0,0,1,1,0,0,1,2012
681,"Akron, IA","Henderson, IA",1,0,0,0,0,1,0,1,0,1,2012
683,"Akron, IA","Humboldt, IA",0,0,1,0,0,1,0,0,1,1,2012
684,"Akron, IA","Ida Grove, IA",0,1,0,0,1,0,1,0,0,1,2012
685,"Akron, IA","Iowa City, IA",0,1,0,0,0,1,0,0,1,1,2012
