,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
10471,"Castalia, IA","Decorah, IA",39,107,63,90,77,42,47,60,102,209,2012
10460,"Castalia, IA","Castalia, IA",23,46,34,35,47,21,38,30,35,103,2012
10550,"Castalia, IA","Wadena, IA",13,19,10,7,24,11,15,18,9,42,2012
10489,"Castalia, IA","Fort Atkinson, IA",4,30,7,17,21,3,11,16,14,41,2012
10479,"Castalia, IA","Elgin, IA",9,7,11,9,12,6,12,8,7,27,2012
10538,"Castalia, IA","Ridgeway, IA",5,19,3,10,14,3,8,12,7,27,2012
10469,"Castalia, IA","Cresco, IA",3,20,3,16,3,7,6,6,14,26,2012
10534,"Castalia, IA","Protivin, IA",8,13,4,15,7,3,10,7,8,25,2012
10553,"Castalia, IA","Waukon, IA",8,9,6,12,6,5,6,12,5,23,2012
10509,"Castalia, IA","Luana, IA",5,7,6,8,5,5,2,9,7,18,2012
10535,"Castalia, IA","Randalia, IA",3,9,1,6,4,3,1,6,6,13,2012
10524,"Castalia, IA","New Hampton, IA",5,5,1,6,3,2,2,6,3,11,2012
10556,"Castalia, IA","West Union, IA",2,6,3,6,0,5,1,3,7,11,2012
10517,"Castalia, IA","Monona, IA",3,5,1,5,2,2,1,4,4,9,2012
10543,"Castalia, IA","St. Lucas, IA",1,1,5,5,0,2,0,0,7,7,2012
10501,"Castalia, IA","Indianola, IA",1,5,0,6,0,0,0,0,6,6,2012
10497,"Castalia, IA","Hawkeye, IA",0,5,1,1,2,3,3,1,2,6,2012
10462,"Castalia, IA","Cedar Rapids, IA",2,1,2,1,3,1,2,2,1,5,2012
10461,"Castalia, IA","Cedar Falls, IA",1,1,3,2,1,2,2,2,1,5,2012
10473,"Castalia, IA","Des Moines, IA",1,4,0,4,0,1,1,0,4,5,2012
10496,"Castalia, IA","Harpers Ferry, IA",0,2,3,1,1,3,0,3,2,5,2012
10523,"Castalia, IA","New Albin, IA",1,4,0,3,1,1,1,1,3,5,2012
10552,"Castalia, IA","Waucoma, IA",0,3,2,3,0,2,1,1,3,5,2012
10487,"Castalia, IA","Fayette, IA",1,4,0,0,1,4,1,3,1,5,2012
10531,"Castalia, IA","Pleasant Hill, IA",0,4,1,3,1,1,1,1,3,5,2012
10514,"Castalia, IA","Mason City, IA",2,1,1,0,2,2,1,2,1,4,2012
10480,"Castalia, IA","Elkader, IA",0,1,3,0,2,2,2,1,1,4,2012
10495,"Castalia, IA","Guttenberg, IA",1,3,0,0,3,1,1,3,0,4,2012
10485,"Castalia, IA","Fairbank, IA",0,2,2,0,0,4,1,0,3,4,2012
10513,"Castalia, IA","Marshalltown, IA",1,3,0,1,3,0,3,0,1,4,2012
10526,"Castalia, IA","Oelwein, IA",0,2,2,2,2,0,0,3,1,4,2012
10484,"Castalia, IA","Evansdale, IA",0,1,2,0,2,1,3,0,0,3,2012
10508,"Castalia, IA","Lime Springs, IA",2,1,0,2,0,1,1,1,1,3,2012
10544,"Castalia, IA","Stanley, IA",0,3,0,2,0,1,1,0,2,3,2012
10470,"Castalia, IA","Davenport, IA",1,1,1,0,1,2,1,2,0,3,2012
10465,"Castalia, IA","Clinton, IA",0,2,1,1,0,2,1,0,2,3,2012
10532,"Castalia, IA","Postville, IA",1,2,0,1,1,1,0,2,1,3,2012
10455,"Castalia, IA","Belle Plaine, IA",1,2,0,0,3,0,0,1,2,3,2012
10551,"Castalia, IA","Waterloo, IA",0,1,2,0,1,2,1,0,2,3,2012
10452,"Castalia, IA","Asbury, IA",0,1,2,1,0,2,1,0,2,3,2012
10554,"Castalia, IA","Waverly, IA",1,2,0,1,0,2,0,0,3,3,2012
10448,"Castalia, IA","Anamosa, IA",2,1,0,0,1,2,2,1,0,3,2012
10529,"Castalia, IA","Parkersburg, IA",2,1,0,0,1,2,1,1,1,3,2012
10490,"Castalia, IA","Fredericksburg, IA",1,2,0,2,1,0,1,1,1,3,2012
10512,"Castalia, IA","Marquette, IA",0,1,1,0,1,1,0,0,2,2,2012
10499,"Castalia, IA","Hiawatha, IA",0,2,0,0,1,1,1,1,0,2,2012
10443,"Castalia, IA","Ackworth, IA",0,0,2,1,1,0,0,0,2,2,2012
10537,"Castalia, IA","Readlyn, IA",0,2,0,2,0,0,0,0,2,2,2012
10493,"Castalia, IA","Greene, IA",0,1,1,2,0,0,1,0,1,2,2012
