,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
12694,"Clarence, IA","Clarence, IA",10,16,16,6,32,4,16,20,6,42,2012
12750,"Clarence, IA","Wheatland, IA",8,15,13,6,27,3,9,17,10,36,2012
12720,"Clarence, IA","Lowden, IA",5,12,17,8,23,3,10,10,14,34,2012
12744,"Clarence, IA","Tipton, IA",3,17,6,3,20,3,7,15,4,26,2012
12725,"Clarence, IA","Mechanicsville, IA",0,7,3,1,8,1,2,2,6,10,2012
12717,"Clarence, IA","Lisbon, IA",0,6,3,1,7,1,2,4,3,9,2012
12691,"Clarence, IA","Cedar Rapids, IA",1,3,4,2,6,0,3,4,1,8,2012
12710,"Clarence, IA","Grand Mound, IA",0,4,2,2,2,2,1,5,0,6,2012
12692,"Clarence, IA","Center Junction, IA",1,3,2,1,1,4,1,4,1,6,2012
12697,"Clarence, IA","Davenport, IA",0,2,3,2,3,0,1,2,2,5,2012
12686,"Clarence, IA","Bettendorf, IA",1,3,1,2,3,0,4,0,1,5,2012
12749,"Clarence, IA","West Branch, IA",1,2,2,2,2,1,1,2,2,5,2012
12726,"Clarence, IA","Morley, IA",1,3,0,2,1,1,0,1,3,4,2012
12702,"Clarence, IA","Dixon, IA",2,1,1,1,3,0,3,1,0,4,2012
12716,"Clarence, IA","Iowa City, IA",0,4,0,0,2,2,1,3,0,4,2012
12698,"Clarence, IA","De Witt, IA",1,2,1,0,1,3,0,2,2,4,2012
12685,"Clarence, IA","Bennett, IA",0,2,2,2,2,0,2,1,1,4,2012
12690,"Clarence, IA","Burlington, IA",1,1,2,0,0,4,2,1,1,4,2012
12689,"Clarence, IA","Brooklyn, IA",0,2,1,0,2,1,2,0,1,3,2012
12683,"Clarence, IA","Baldwin, IA",2,0,1,0,2,1,0,2,1,3,2012
12723,"Clarence, IA","Maquoketa, IA",0,1,2,0,0,3,0,2,1,3,2012
12746,"Clarence, IA","Urbana, IA",1,2,0,1,0,2,0,1,2,3,2012
12743,"Clarence, IA","Tama, IA",0,1,2,1,2,0,1,1,1,3,2012
12705,"Clarence, IA","Dysart, IA",0,2,1,2,0,1,0,1,2,3,2012
12728,"Clarence, IA","New Liberty, IA",1,2,0,1,2,0,1,1,1,3,2012
12733,"Clarence, IA","Panorama Park, IA",0,2,0,0,2,0,2,0,0,2,2012
12724,"Clarence, IA","Martelle, IA",1,0,1,0,0,2,0,1,1,2,2012
12734,"Clarence, IA","Peosta, IA",0,2,0,0,1,1,0,0,2,2,2012
12722,"Clarence, IA","Manchester, IA",1,1,0,0,2,0,1,0,1,2,2012
12740,"Clarence, IA","Robins, IA",1,1,0,1,1,0,1,1,0,2,2012
12682,"Clarence, IA","Atalissa, IA",1,1,0,0,1,1,1,1,0,2,2012
12719,"Clarence, IA","Lost Nation, IA",1,0,1,0,0,2,1,1,0,2,2012
