,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
19407,"Des Moines, IA","Des Moines, IA",5350,12707,4795,2726,17338,2788,5199,9546,8107,22852,2012
19301,"Des Moines, IA","Ankeny, IA",1845,5917,1580,763,7458,1121,1112,2357,5873,9342,2012
19648,"Des Moines, IA","Pleasant Hill, IA",1556,4460,1555,941,5482,1148,1240,2840,3491,7571,2012
19776,"Des Moines, IA","Windsor Heights, IA",1401,4284,1788,495,6218,760,1217,2218,4038,7473,2012
19371,"Des Moines, IA","Clive, IA",1423,3827,1457,302,5918,487,872,1496,4339,6707,2012
19742,"Des Moines, IA","Urbandale, IA",1037,3684,1441,434,5070,658,838,1525,3799,6162,2012
19766,"Des Moines, IA","West Des Moines, IA",1027,2891,1150,286,4289,493,812,1498,2758,5068,2012
19756,"Des Moines, IA","Waukee, IA",698,2648,506,186,3319,347,396,796,2660,3852,2012
19619,"Des Moines, IA","Norwalk, IA",730,2119,701,288,2815,447,676,1222,1652,3550,2012
19296,"Des Moines, IA","Altoona, IA",569,2183,684,325,2598,513,499,1033,1904,3436,2012
19513,"Des Moines, IA","Johnston, IA",581,1806,587,240,2376,358,438,854,1682,2974,2012
19348,"Des Moines, IA","Carlisle, IA",346,1309,447,211,1597,294,317,623,1162,2102,2012
19505,"Des Moines, IA","Indianola, IA",276,952,334,155,1207,200,267,434,861,1562,2012
19297,"Des Moines, IA","Ames, IA",443,701,263,75,1122,210,395,410,602,1407,2012
19476,"Des Moines, IA","Grimes, IA",215,717,170,86,908,108,112,249,741,1102,2012
19653,"Des Moines, IA","Polk City, IA",146,532,166,74,694,76,123,193,528,844,2012
19710,"Des Moines, IA","Spring Hill, IA",81,425,177,70,537,76,83,173,427,683,2012
19612,"Des Moines, IA","Newton, IA",135,394,147,102,470,104,128,271,277,676,2012
19584,"Des Moines, IA","Mitchellville, IA",107,421,140,86,483,99,104,167,397,668,2012
19335,"Des Moines, IA","Bondurant, IA",125,414,90,54,474,101,63,196,370,629,2012
19398,"Des Moines, IA","De Soto, IA",87,348,144,33,495,51,78,144,357,579,2012
19523,"Des Moines, IA","Knoxville, IA",97,343,101,63,403,75,72,187,282,541,2012
19355,"Des Moines, IA","Cedar Rapids, IA",140,275,101,49,342,125,131,146,239,516,2012
