,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
21456,"Eagle Grove, IA","Eagle Grove, IA",114,258,156,172,287,69,157,155,216,528,2012
21472,"Eagle Grove, IA","Goldfield, IA",14,38,20,27,39,6,25,25,22,72,2012
21466,"Eagle Grove, IA","Fort Dodge, IA",15,29,16,25,32,3,12,25,23,60,2012
21576,"Eagle Grove, IA","Woolstock, IA",9,20,12,12,26,3,12,14,15,41,2012
21571,"Eagle Grove, IA","Webster City, IA",7,15,2,12,8,4,3,11,10,24,2012
21478,"Eagle Grove, IA","Hardy, IA",3,12,3,6,10,2,5,11,2,18,2012
21439,"Eagle Grove, IA","Clarion, IA",3,9,4,3,12,1,7,1,8,16,2012
21510,"Eagle Grove, IA","Mason City, IA",4,7,4,9,4,2,2,9,4,15,2012
21505,"Eagle Grove, IA","Livermore, IA",1,10,4,6,9,0,4,6,5,15,2012
21484,"Eagle Grove, IA","Humboldt, IA",0,11,3,7,6,1,7,5,2,14,2012
21412,"Eagle Grove, IA","Algona, IA",0,11,3,11,3,0,0,3,11,14,2012
21427,"Eagle Grove, IA","Belmond, IA",4,8,1,3,7,3,2,5,6,13,2012
21526,"Eagle Grove, IA","Otho, IA",2,8,0,2,7,1,3,4,3,10,2012
21541,"Eagle Grove, IA","Rockwell City, IA",3,2,3,3,3,2,3,5,0,8,2012
21552,"Eagle Grove, IA","Sioux City, IA",3,4,0,6,0,1,2,0,5,7,2012
21575,"Eagle Grove, IA","Woden, IA",3,4,0,4,1,2,2,2,3,7,2012
21533,"Eagle Grove, IA","Popejoy, IA",0,5,2,5,1,1,1,2,4,7,2012
21538,"Eagle Grove, IA","Renwick, IA",0,5,2,2,4,1,1,0,6,7,2012
21555,"Eagle Grove, IA","Spencer, IA",1,4,1,1,3,2,3,1,2,6,2012
21445,"Eagle Grove, IA","Crystal Lake, IA",5,0,1,3,1,2,2,3,1,6,2012
21476,"Eagle Grove, IA","Hampton, IA",0,4,1,3,2,0,0,2,3,5,2012
21489,"Eagle Grove, IA","Jefferson, IA",2,2,1,2,1,2,4,1,0,5,2012
21443,"Eagle Grove, IA","Corwith, IA",2,1,2,3,0,2,0,1,4,5,2012
21469,"Eagle Grove, IA","Garner, IA",1,2,2,2,2,1,2,0,3,5,2012
21532,"Eagle Grove, IA","Pomeroy, IA",2,2,1,3,2,0,1,3,1,5,2012
