,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
25722,"Floris, IA","Bloomfield, IA",2,1,1,2,1,1,3,1,0,4,2012
25725,"Floris, IA","Floris, IA",1,1,0,1,1,0,0,2,0,2,2012
25726,"Floris, IA","Milton, IA",0,1,1,1,0,1,1,1,0,2,2012
25721,"Floris, IA","Blakesburg, IA",1,0,0,1,0,0,1,0,0,1,2012
25723,"Floris, IA","Burlington, IA",0,1,0,1,0,0,0,1,0,1,2012
25724,"Floris, IA","Fairfield, IA",0,1,0,0,1,0,0,1,0,1,2012
25727,"Floris, IA","Moulton, IA",0,1,0,0,1,0,0,0,1,1,2012
25728,"Floris, IA","Oskaloosa, IA",1,0,0,1,0,0,0,1,0,1,2012
25729,"Floris, IA","Ottumwa, IA",0,1,0,1,0,0,0,1,0,1,2012
25730,"Floris, IA","Reinbeck, IA",0,0,1,0,1,0,1,0,0,1,2012
