,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
37369,"Keystone, IA","Elberon, IA",2,4,2,8,0,0,0,7,1,8,2012
37381,"Keystone, IA","Norway, IA",0,5,1,3,1,2,1,5,0,6,2012
37375,"Keystone, IA","Keystone, IA",1,4,1,5,0,1,0,6,0,6,2012
37362,"Keystone, IA","Belle Plaine, IA",0,3,1,2,1,1,1,1,2,4,2012
37368,"Keystone, IA","Dysart, IA",2,2,0,4,0,0,2,1,1,4,2012
37387,"Keystone, IA","Urbana, IA",0,3,0,0,2,1,0,0,3,3,2012
37378,"Keystone, IA","Marengo, IA",0,1,1,1,0,1,1,1,0,2,2012
37365,"Keystone, IA","Cedar Rapids, IA",0,2,0,2,0,0,1,0,1,2,2012
37361,"Keystone, IA","Atkins, IA",0,2,0,1,0,1,0,1,1,2,2012
37376,"Keystone, IA","Ladora, IA",0,2,0,2,0,0,1,1,0,2,2012
37360,"Keystone, IA","Agency, IA",0,0,1,1,0,0,1,0,0,1,2012
37384,"Keystone, IA","Riverside, IA",1,0,0,1,0,0,0,1,0,1,2012
37383,"Keystone, IA","Palo, IA",0,1,0,1,0,0,0,1,0,1,2012
37388,"Keystone, IA","Victor, IA",0,1,0,0,1,0,0,0,1,1,2012
37385,"Keystone, IA","Robins, IA",0,1,0,0,1,0,1,0,0,1,2012
37386,"Keystone, IA","Tama, IA",0,1,0,0,1,0,0,0,1,1,2012
37389,"Keystone, IA","Vinton, IA",1,0,0,0,0,1,0,1,0,1,2012
37390,"Keystone, IA","Walford, IA",0,1,0,0,0,1,0,1,0,1,2012
37391,"Keystone, IA","Waverly, IA",0,1,0,1,0,0,0,0,1,1,2012
37392,"Keystone, IA","West Union, IA",0,1,0,1,0,0,0,1,0,1,2012
37382,"Keystone, IA","Ottumwa, IA",0,1,0,1,0,0,0,1,0,1,2012
37377,"Keystone, IA","Leon, IA",0,0,1,1,0,0,0,0,1,1,2012
37380,"Keystone, IA","Mount Auburn, IA",0,1,0,0,0,1,0,1,0,1,2012
37379,"Keystone, IA","Marshalltown, IA",1,0,0,1,0,0,1,0,0,1,2012
37374,"Keystone, IA","Jesup, IA",0,1,0,0,0,1,1,0,0,1,2012
37373,"Keystone, IA","Independence, IA",0,1,0,1,0,0,0,0,1,1,2012
37372,"Keystone, IA","Fort Madison, IA",0,1,0,1,0,0,0,1,0,1,2012
37371,"Keystone, IA","Fairfax, IA",1,0,0,1,0,0,0,1,0,1,2012
37370,"Keystone, IA","Ely, IA",0,1,0,1,0,0,1,0,0,1,2012
37367,"Keystone, IA","Decorah, IA",0,1,0,1,0,0,0,1,0,1,2012
37366,"Keystone, IA","Chariton, IA",0,0,1,1,0,0,0,0,1,1,2012
37364,"Keystone, IA","Cedar Falls, IA",1,0,0,1,0,0,0,1,0,1,2012
37363,"Keystone, IA","Brooklyn, IA",0,1,0,1,0,0,1,0,0,1,2012
37393,"Keystone, IA","Williamsburg, IA",0,1,0,0,0,1,0,1,0,1,2012
