,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
49197,"Nashua, IA","Nashua, IA",27,63,31,29,80,12,45,36,40,121,2012
49198,"Nashua, IA","New Hampton, IA",4,25,15,9,25,10,16,17,11,44,2012
49153,"Nashua, IA","Charles City, IA",10,18,1,13,10,6,8,10,11,29,2012
49200,"Nashua, IA","Nora Springs, IA",3,16,4,15,5,3,6,6,11,23,2012
49208,"Nashua, IA","Readlyn, IA",3,13,4,4,12,4,7,7,6,20,2012
49228,"Nashua, IA","Waverly, IA",1,13,4,1,16,1,2,3,13,18,2012
49204,"Nashua, IA","Parkersburg, IA",1,13,1,7,6,2,2,6,7,15,2012
49205,"Nashua, IA","Plainfield, IA",2,4,6,4,7,1,4,3,5,12,2012
49222,"Nashua, IA","Tripoli, IA",5,3,3,1,9,1,5,2,4,11,2012
49170,"Nashua, IA","Fredericksburg, IA",2,5,3,3,5,2,5,3,2,10,2012
49212,"Nashua, IA","Rockford, IA",2,3,4,5,3,1,2,4,3,9,2012
49138,"Nashua, IA","Allison, IA",2,5,2,6,3,0,1,0,8,9,2012
49152,"Nashua, IA","Cedar Falls, IA",1,5,0,2,4,0,0,3,3,6,2012
49154,"Nashua, IA","Clarksville, IA",0,4,2,3,1,2,2,1,3,6,2012
49226,"Nashua, IA","Waterloo, IA",0,3,3,2,4,0,1,2,3,6,2012
49184,"Nashua, IA","Lawler, IA",1,4,1,2,3,1,0,3,3,6,2012
49169,"Nashua, IA","Floyd, IA",4,0,2,1,2,3,2,3,1,6,2012
49192,"Nashua, IA","Marshalltown, IA",0,3,2,0,1,4,2,1,2,5,2012
49177,"Nashua, IA","Ionia, IA",1,3,1,0,2,3,1,3,1,5,2012
49193,"Nashua, IA","Mason City, IA",1,4,0,2,2,1,0,3,2,5,2012
49218,"Nashua, IA","Stacyville, IA",1,2,1,3,1,0,1,0,3,4,2012
49156,"Nashua, IA","Colwell, IA",0,3,1,0,2,2,1,1,2,4,2012
49158,"Nashua, IA","Council Bluffs, IA",3,1,0,1,2,1,2,1,1,4,2012
49141,"Nashua, IA","Ames, IA",3,1,0,0,4,0,4,0,0,4,2012
49172,"Nashua, IA","Greene, IA",0,0,4,3,1,0,0,0,4,4,2012
49227,"Nashua, IA","Waukon, IA",0,2,2,0,0,4,1,3,0,4,2012
49168,"Nashua, IA","Fairbank, IA",0,4,0,4,0,0,0,1,3,4,2012
49178,"Nashua, IA","Janesville, IA",1,1,1,1,2,0,1,1,1,3,2012
49206,"Nashua, IA","Pleasant Hill, IA",2,1,0,0,2,1,2,1,0,3,2012
49160,"Nashua, IA","Denver, IA",1,1,1,0,3,0,1,1,1,3,2012
49148,"Nashua, IA","Bristow, IA",1,0,2,1,2,0,1,1,1,3,2012
49201,"Nashua, IA","Northwood, IA",1,2,0,0,0,3,1,1,1,3,2012
49190,"Nashua, IA","Marble Rock, IA",0,2,0,0,0,2,0,2,0,2,2012
49179,"Nashua, IA","Jesup, IA",2,0,0,0,1,1,1,1,0,2,2012
49196,"Nashua, IA","Morrison, IA",0,1,1,0,1,1,0,2,0,2,2012
49142,"Nashua, IA","Ankeny, IA",1,1,0,0,0,2,1,0,1,2,2012
49187,"Nashua, IA","Liscomb, IA",1,0,1,1,1,0,0,1,1,2,2012
49210,"Nashua, IA","Ridgeway, IA",0,2,0,0,0,2,1,1,0,2,2012
49199,"Nashua, IA","New Hartford, IA",0,0,2,2,0,0,0,0,2,2,2012
49181,"Nashua, IA","Joice, IA",1,0,1,2,0,0,1,0,1,2,2012
49224,"Nashua, IA","Wadena, IA",0,1,1,0,1,1,1,0,1,2,2012
49176,"Nashua, IA","Indianola, IA",1,1,0,0,2,0,2,0,0,2,2012
49165,"Nashua, IA","Elkport, IA",0,1,1,0,1,1,0,2,0,2,2012
49217,"Nashua, IA","St. Ansgar, IA",0,1,1,1,0,1,0,1,1,2,2012
49155,"Nashua, IA","Clear Lake, IA",0,1,1,1,1,0,0,2,0,2,2012
49159,"Nashua, IA","Decorah, IA",0,1,1,0,2,0,2,0,0,2,2012
49161,"Nashua, IA","Des Moines, IA",2,0,0,0,2,0,2,0,0,2,2012
49220,"Nashua, IA","Thornton, IA",1,1,0,1,1,0,0,2,0,2,2012
49219,"Nashua, IA","Sumner, IA",0,2,0,2,0,0,0,1,1,2,2012
49202,"Nashua, IA","Oelwein, IA",1,0,1,1,0,1,0,2,0,2,2012
49215,"Nashua, IA","Sioux City, IA",0,2,0,0,0,2,0,1,1,2,2012
49214,"Nashua, IA","Shell Rock, IA",0,0,2,0,2,0,1,1,0,2,2012
49175,"Nashua, IA","Independence, IA",1,1,0,1,0,1,0,1,1,2,2012
49203,"Nashua, IA","Owasa, IA",1,0,0,0,1,0,0,0,1,1,2012
49207,"Nashua, IA","Plymouth, IA",1,0,0,1,0,0,1,0,0,1,2012
49216,"Nashua, IA","Spring Hill, IA",1,0,0,0,0,1,1,0,0,1,2012
49223,"Nashua, IA","Union, IA",0,0,1,0,1,0,0,1,0,1,2012
49209,"Nashua, IA","Reinbeck, IA",0,1,0,0,1,0,0,0,1,1,2012
49229,"Nashua, IA","Wellsburg, IA",0,1,0,1,0,0,0,0,1,1,2012
49230,"Nashua, IA","West Union, IA",1,0,0,0,1,0,1,0,0,1,2012
49221,"Nashua, IA","Toledo, IA",0,1,0,0,0,1,0,1,0,1,2012
49211,"Nashua, IA","Robins, IA",0,1,0,1,0,0,0,0,1,1,2012
49231,"Nashua, IA","Wheatland, IA",0,0,1,0,0,1,1,0,0,1,2012
49225,"Nashua, IA","Washington, IA",0,1,0,1,0,0,0,1,0,1,2012
49213,"Nashua, IA","Rockwell, IA",0,0,1,0,0,1,0,1,0,1,2012
