,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54238,"Owasa, IA","Iowa Falls, IA",16,43,19,50,14,14,21,33,24,78,2012
54276,"Owasa, IA","Owasa, IA",20,29,26,25,27,23,28,30,17,75,2012
54182,"Owasa, IA","Ackley, IA",15,32,19,21,33,12,22,28,16,66,2012
54186,"Owasa, IA","Alden, IA",9,8,4,12,3,6,3,12,6,21,2012
54287,"Owasa, IA","Roland, IA",3,3,8,7,3,4,2,5,7,14,2012
54277,"Owasa, IA","Parkersburg, IA",2,8,3,4,7,2,3,6,4,13,2012
54218,"Owasa, IA","Eldora, IA",4,4,4,6,6,0,2,7,3,12,2012
54309,"Owasa, IA","Wellsburg, IA",4,4,3,2,8,1,6,2,3,11,2012
54288,"Owasa, IA","Sheffield, IA",0,8,2,3,5,2,4,5,1,10,2012
54196,"Owasa, IA","Bristow, IA",1,4,3,5,3,0,3,5,0,8,2012
54294,"Owasa, IA","Steamboat Rock, IA",3,3,1,4,0,3,0,6,1,7,2012
54225,"Owasa, IA","Fort Dodge, IA",4,2,1,0,1,6,3,3,1,7,2012
54233,"Owasa, IA","Grundy Center, IA",0,6,0,2,3,1,0,3,3,6,2012
54234,"Owasa, IA","Hampton, IA",1,4,1,4,1,1,2,4,0,6,2012
54189,"Owasa, IA","Ames, IA",2,2,2,4,1,1,0,0,6,6,2012
54259,"Owasa, IA","Marshalltown, IA",1,2,3,2,0,4,1,0,5,6,2012
54313,"Owasa, IA","Williams, IA",1,5,0,3,0,3,0,2,4,6,2012
54266,"Owasa, IA","Morrison, IA",3,3,0,1,5,0,2,2,2,6,2012
54229,"Owasa, IA","Geneva, IA",1,4,0,1,3,1,2,2,1,5,2012
54305,"Owasa, IA","Waterloo, IA",2,3,0,2,1,2,1,3,1,5,2012
54188,"Owasa, IA","Allison, IA",0,1,3,0,1,3,2,2,0,4,2012
54220,"Owasa, IA","Ellsworth, IA",2,2,0,3,0,1,1,1,2,4,2012
54214,"Owasa, IA","Dougherty, IA",1,2,0,1,2,0,1,2,0,3,2012
54250,"Owasa, IA","Lamoni, IA",2,1,0,1,0,2,0,1,2,3,2012
54256,"Owasa, IA","Lynnville, IA",0,3,0,3,0,0,1,1,1,3,2012
54215,"Owasa, IA","Dubuque, IA",1,1,1,0,2,1,1,1,1,3,2012
54265,"Owasa, IA","Monticello, IA",2,1,0,0,0,3,0,2,1,3,2012
54190,"Owasa, IA","Aredale, IA",1,0,2,0,1,2,2,0,1,3,2012
54193,"Owasa, IA","Belmond, IA",2,1,0,2,0,1,0,3,0,3,2012
54209,"Owasa, IA","Decorah, IA",2,0,0,0,0,2,1,0,1,2,2012
54228,"Owasa, IA","Garwin, IA",0,2,0,0,0,2,0,2,0,2,2012
54312,"Owasa, IA","Whitten, IA",0,1,1,1,0,1,0,1,1,2,2012
54269,"Owasa, IA","New Hampton, IA",0,2,0,1,0,1,0,1,1,2,2012
54254,"Owasa, IA","Livermore, IA",0,2,0,1,0,1,0,1,1,2,2012
54274,"Owasa, IA","Ogden, IA",0,0,2,0,0,2,0,2,0,2,2012
54192,"Owasa, IA","Beaman, IA",2,0,0,1,1,0,1,1,0,2,2012
54244,"Owasa, IA","Kamrar, IA",0,2,0,1,0,1,0,1,1,2,2012
54281,"Owasa, IA","Popejoy, IA",0,2,0,0,1,1,0,1,1,2,2012
54241,"Owasa, IA","Jewell Junction, IA",0,1,1,0,0,2,0,1,1,2,2012
54283,"Owasa, IA","Reinbeck, IA",0,2,0,0,1,1,0,1,1,2,2012
54195,"Owasa, IA","Boone, IA",0,2,0,1,1,0,0,2,0,2,2012
54198,"Owasa, IA","Cedar Falls, IA",0,1,1,0,2,0,0,1,1,2,2012
54201,"Owasa, IA","Clear Lake, IA",0,2,0,1,0,1,2,0,0,2,2012
54293,"Owasa, IA","Stanley, IA",0,1,1,0,0,2,0,1,1,2,2012
54208,"Owasa, IA","De Soto, IA",1,1,0,1,0,1,1,0,1,2,2012
54306,"Owasa, IA","Waukee, IA",1,0,1,1,0,1,0,2,0,2,2012
54292,"Owasa, IA","Stanhope, IA",1,1,0,0,1,1,1,1,0,2,2012
54211,"Owasa, IA","Des Moines, IA",1,1,0,2,0,0,0,0,2,2,2012
54304,"Owasa, IA","Urbandale, IA",0,2,0,1,0,1,0,0,2,2,2012
54205,"Owasa, IA","Conrad, IA",2,0,0,1,1,0,1,1,0,2,2012
54291,"Owasa, IA","Slater, IA",0,1,0,1,0,0,0,1,0,1,2012
54275,"Owasa, IA","Osage, IA",1,0,0,0,0,1,1,0,0,1,2012
54311,"Owasa, IA","West Des Moines, IA",0,1,0,1,0,0,0,0,1,1,2012
54302,"Owasa, IA","University Park, IA",0,1,0,0,0,1,0,1,0,1,2012
54273,"Owasa, IA","Norway, IA",0,1,0,0,1,0,1,0,0,1,2012
54272,"Owasa, IA","North Liberty, IA",0,0,1,0,0,1,0,1,0,1,2012
54270,"Owasa, IA","New Sharon, IA",0,0,1,0,0,1,1,0,0,1,2012
54271,"Owasa, IA","Newton, IA",0,1,0,0,0,1,0,0,1,1,2012
54299,"Owasa, IA","Tama, IA",0,1,0,1,0,0,0,1,0,1,2012
54297,"Owasa, IA","Strawberry Point, IA",1,0,0,0,0,1,1,0,0,1,2012
54300,"Owasa, IA","Traer, IA",0,0,1,0,0,1,0,0,1,1,2012
54268,"Owasa, IA","Nevada, IA",0,1,0,1,0,0,1,0,0,1,2012
54267,"Owasa, IA","Murray, IA",0,0,1,1,0,0,0,1,0,1,2012
54314,"Owasa, IA","Windsor Heights, IA",0,0,1,1,0,0,1,0,0,1,2012
54298,"Owasa, IA","Sumner, IA",0,0,1,0,0,1,0,1,0,1,2012
54279,"Owasa, IA","Polk City, IA",0,1,0,1,0,0,0,1,0,1,2012
54278,"Owasa, IA","Pocahontas, IA",0,0,1,0,0,1,0,1,0,1,2012
54290,"Owasa, IA","Sioux City, IA",0,1,0,0,0,1,0,1,0,1,2012
54303,"Owasa, IA","Urbana, IA",0,1,0,0,1,0,0,1,0,1,2012
