,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
54745,"Palo, IA","Cedar Rapids, IA",44,99,30,28,116,29,61,53,59,173,2012
54856,"Palo, IA","Urbana, IA",27,79,36,19,103,20,43,58,41,142,2012
54830,"Palo, IA","Palo, IA",24,84,32,24,95,21,48,46,46,140,2012
54787,"Palo, IA","Hiawatha, IA",13,51,14,12,53,13,26,14,38,78,2012
54840,"Palo, IA","Robins, IA",10,45,12,4,54,9,21,8,38,67,2012
54747,"Palo, IA","Center Point, IA",8,38,16,7,43,12,25,20,17,62,2012
54809,"Palo, IA","Marion, IA",4,23,8,2,25,8,5,8,22,35,2012
54860,"Palo, IA","Vinton, IA",5,14,0,5,13,1,5,7,7,19,2012
54836,"Palo, IA","Prairieburg, IA",5,12,2,1,12,6,10,4,5,19,2012
54776,"Palo, IA","Fairfax, IA",7,8,3,1,11,6,8,2,8,18,2012
54847,"Palo, IA","Springville, IA",3,8,2,2,7,4,6,3,4,13,2012
54728,"Palo, IA","Ames, IA",0,8,4,0,3,9,1,0,11,12,2012
54741,"Palo, IA","Brandon, IA",0,10,2,0,11,1,5,7,0,12,2012
54767,"Palo, IA","Dubuque, IA",2,6,3,3,6,2,3,7,1,11,2012
54737,"Palo, IA","Bertram, IA",3,7,0,1,7,2,5,2,3,10,2012
54864,"Palo, IA","Waterloo, IA",1,4,2,0,6,1,1,0,6,7,2012
54824,"Palo, IA","North Liberty, IA",2,5,0,1,5,1,2,1,4,7,2012
54765,"Palo, IA","Des Moines, IA",1,5,1,0,3,4,2,0,5,7,2012
54760,"Palo, IA","Davenport, IA",3,3,1,2,1,4,0,3,4,7,2012
54862,"Palo, IA","Walker, IA",1,5,1,0,5,2,3,1,3,7,2012
54755,"Palo, IA","Coralville, IA",4,3,0,3,3,1,3,2,2,7,2012
54754,"Palo, IA","Coggon, IA",0,7,0,1,6,0,1,2,4,7,2012
54791,"Palo, IA","Iowa City, IA",0,5,1,0,4,2,1,1,4,6,2012
54771,"Palo, IA","Elberon, IA",1,4,1,0,5,1,3,0,3,6,2012
54811,"Palo, IA","Martelle, IA",2,4,0,0,4,2,0,3,3,6,2012
54845,"Palo, IA","Shueyville, IA",2,2,1,0,4,1,2,1,2,5,2012
54773,"Palo, IA","Ely, IA",0,4,1,1,2,2,2,1,2,5,2012
54789,"Palo, IA","Independence, IA",1,3,1,0,5,0,3,1,1,5,2012
54819,"Palo, IA","Mount Vernon, IA",0,5,0,3,1,1,0,3,2,5,2012
54812,"Palo, IA","Mason City, IA",1,2,2,0,1,4,2,1,2,5,2012
54744,"Palo, IA","Cedar Falls, IA",1,4,0,1,1,3,0,1,4,5,2012
54818,"Palo, IA","Mount Auburn, IA",3,1,0,0,4,0,3,1,0,4,2012
54846,"Palo, IA","Sioux City, IA",2,2,0,1,2,1,0,3,1,4,2012
54857,"Palo, IA","Urbandale, IA",1,3,0,0,1,3,1,1,2,4,2012
54769,"Palo, IA","Dysart, IA",1,0,3,0,4,0,2,2,0,4,2012
54739,"Palo, IA","Blairstown, IA",1,3,0,1,2,1,2,1,1,4,2012
54751,"Palo, IA","Clinton, IA",3,0,1,1,3,0,3,1,0,4,2012
54828,"Palo, IA","Oxford Junction, IA",0,4,0,0,1,3,0,4,0,4,2012
54790,"Palo, IA","Indianola, IA",1,3,0,0,1,3,1,0,3,4,2012
54746,"Palo, IA","Center Junction, IA",0,3,1,2,2,0,0,1,3,4,2012
54757,"Palo, IA","Council Bluffs, IA",1,3,0,1,2,1,0,1,3,4,2012
54833,"Palo, IA","Pleasant Hill, IA",0,2,2,0,1,3,0,0,4,4,2012
54753,"Palo, IA","Clutier, IA",1,2,1,1,3,0,2,1,1,4,2012
54807,"Palo, IA","Manchester, IA",0,2,2,0,1,3,0,3,1,4,2012
54871,"Palo, IA","Winthrop, IA",1,1,1,0,1,2,1,0,2,3,2012
54861,"Palo, IA","Walford, IA",0,2,1,0,1,2,0,1,2,3,2012
54743,"Palo, IA","Burlington, IA",2,0,1,0,3,0,0,2,1,3,2012
54866,"Palo, IA","Waverly, IA",3,0,0,0,1,2,1,0,2,3,2012
54749,"Palo, IA","Central City, IA",1,1,1,0,2,1,2,0,1,3,2012
54775,"Palo, IA","Fairbank, IA",2,1,0,0,1,2,2,1,0,3,2012
54794,"Palo, IA","Janesville, IA",2,0,0,0,2,0,2,0,0,2,2012
54792,"Palo, IA","Iowa Falls, IA",2,0,0,0,2,0,0,2,0,2,2012
54803,"Palo, IA","Lisbon, IA",0,2,0,2,0,0,1,0,1,2,2012
54795,"Palo, IA","Jewell Junction, IA",0,1,1,0,1,1,1,0,1,2,2012
54727,"Palo, IA","Altoona, IA",0,2,0,0,0,2,0,0,2,2,2012
54816,"Palo, IA","Montour, IA",0,1,1,0,2,0,0,2,0,2,2012
54837,"Palo, IA","Reinbeck, IA",0,1,1,0,1,1,1,0,1,2,2012
54817,"Palo, IA","Morley, IA",0,2,0,0,1,1,0,1,1,2,2012
54831,"Palo, IA","Parkersburg, IA",1,1,0,0,1,1,1,0,1,2,2012
54829,"Palo, IA","Oxford, IA",0,2,0,0,2,0,0,0,2,2,2012
54825,"Palo, IA","Oelwein, IA",0,2,0,0,2,0,0,2,0,2,2012
54736,"Palo, IA","Bellevue, IA",1,0,1,0,2,0,2,0,0,2,2012
54870,"Palo, IA","Windsor Heights, IA",0,1,1,0,0,2,0,1,1,2,2012
54762,"Palo, IA","Decorah, IA",0,1,1,0,1,1,1,0,1,2,2012
54752,"Palo, IA","Clio, IA",1,0,1,1,1,0,1,1,0,2,2012
54785,"Palo, IA","Guttenberg, IA",1,1,0,0,1,1,2,0,0,2,2012
54768,"Palo, IA","Dyersville, IA",0,2,0,1,0,1,0,1,1,2,2012
54774,"Palo, IA","Evansdale, IA",0,2,0,1,0,1,1,0,1,2,2012
54738,"Palo, IA","Bettendorf, IA",0,2,0,0,1,1,0,0,2,2,2012
54761,"Palo, IA","De Witt, IA",1,1,0,1,1,0,1,0,1,2,2012
54732,"Palo, IA","Aurora, IA",1,1,0,1,1,0,1,0,1,2,2012
54852,"Palo, IA","Toledo, IA",0,1,1,0,1,1,0,2,0,2,2012
54851,"Palo, IA","Tama, IA",0,2,0,0,2,0,0,2,0,2,2012
54731,"Palo, IA","Atkins, IA",0,1,1,0,1,1,0,0,2,2,2012
54783,"Palo, IA","Grand Mound, IA",0,2,0,0,1,1,1,0,1,2,2012
54729,"Palo, IA","Anamosa, IA",1,1,0,1,1,0,1,1,0,2,2012
54869,"Palo, IA","Williamsburg, IA",0,1,0,0,1,0,0,0,1,1,2012
54868,"Palo, IA","West Union, IA",0,0,1,0,1,0,1,0,0,1,2012
54863,"Palo, IA","Washington, IA",0,0,1,0,0,1,0,0,1,1,2012
54867,"Palo, IA","Wellsburg, IA",0,1,0,0,0,1,0,0,1,1,2012
54832,"Palo, IA","Parnell, IA",0,1,0,0,1,0,0,0,1,1,2012
54865,"Palo, IA","Waukon, IA",0,0,1,0,0,1,1,0,0,1,2012
54834,"Palo, IA","Pomeroy, IA",0,1,0,0,1,0,0,0,1,1,2012
54848,"Palo, IA","Stacyville, IA",0,1,0,0,1,0,1,0,0,1,2012
54858,"Palo, IA","Van Horne, IA",0,1,0,0,1,0,0,0,1,1,2012
54835,"Palo, IA","Postville, IA",1,0,0,0,1,0,0,0,1,1,2012
54859,"Palo, IA","Vining, IA",0,1,0,0,1,0,0,1,0,1,2012
54838,"Palo, IA","Rinard, IA",0,1,0,0,0,1,0,0,1,1,2012
54839,"Palo, IA","Riverside, IA",0,1,0,0,0,1,1,0,0,1,2012
54841,"Palo, IA","Roland, IA",0,0,1,0,1,0,0,0,1,1,2012
54842,"Palo, IA","Ryan, IA",0,0,1,0,1,0,0,0,1,1,2012
54827,"Palo, IA","Owasa, IA",0,1,0,0,0,1,0,0,1,1,2012
54843,"Palo, IA","Sageville, IA",0,0,1,0,0,1,1,0,0,1,2012
54844,"Palo, IA","Schaller, IA",1,0,0,0,0,1,0,0,1,1,2012
54855,"Palo, IA","University Heights, IA",1,0,0,1,0,0,1,0,0,1,2012
54854,"Palo, IA","Unionville, IA",0,0,1,1,0,0,0,1,0,1,2012
54853,"Palo, IA","Truesdale, IA",1,0,0,0,1,0,0,0,1,1,2012
54850,"Palo, IA","Swisher, IA",0,1,0,0,1,0,0,0,1,1,2012
54849,"Palo, IA","Steamboat Rock, IA",0,1,0,0,1,0,0,0,1,1,2012
54726,"Palo, IA","Ackworth, IA",0,0,1,0,1,0,0,1,0,1,2012
54799,"Palo, IA","Larrabee, IA",0,1,0,1,0,0,0,1,0,1,2012
54826,"Palo, IA","Ottumwa, IA",0,0,1,0,1,0,0,0,1,1,2012
54759,"Palo, IA","Creston, IA",1,0,0,0,1,0,1,0,0,1,2012
54780,"Palo, IA","Garner, IA",0,1,0,0,1,0,0,0,1,1,2012
54779,"Palo, IA","Fort Madison, IA",0,0,1,0,0,1,0,1,0,1,2012
54778,"Palo, IA","Floris, IA",0,0,1,0,1,0,0,0,1,1,2012
54777,"Palo, IA","Fayette, IA",0,1,0,0,1,0,0,0,1,1,2012
54772,"Palo, IA","Elk Run Heights, IA",0,1,0,0,1,0,0,0,1,1,2012
54770,"Palo, IA","East Peru, IA",0,0,1,0,1,0,0,0,1,1,2012
