,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55507,"Parnell, IA","Williamsburg, IA",3,12,8,3,7,13,5,13,5,23,2012
55487,"Parnell, IA","Oxford, IA",1,6,2,0,2,7,3,3,3,9,2012
55488,"Parnell, IA","Parnell, IA",2,2,4,2,2,4,3,4,1,8,2012
55474,"Parnell, IA","Marengo, IA",0,4,2,1,2,3,2,2,2,6,2012
55481,"Parnell, IA","North Liberty, IA",0,5,1,1,2,3,0,3,3,6,2012
55480,"Parnell, IA","North English, IA",1,2,2,2,1,2,1,3,1,5,2012
55468,"Parnell, IA","Iowa City, IA",0,2,2,0,2,2,2,0,2,4,2012
55502,"Parnell, IA","Walford, IA",1,2,0,1,1,1,0,1,2,3,2012
55501,"Parnell, IA","Victor, IA",0,3,0,0,2,1,1,1,1,3,2012
55450,"Parnell, IA","Blairstown, IA",2,1,0,2,1,0,2,1,0,3,2012
55452,"Parnell, IA","Cedar Rapids, IA",1,1,1,1,2,0,1,2,0,3,2012
55484,"Parnell, IA","Oskaloosa, IA",1,1,0,2,0,0,0,1,1,2,2012
55467,"Parnell, IA","Indianola, IA",0,1,1,1,0,1,0,1,1,2,2012
55470,"Parnell, IA","Keota, IA",0,2,0,0,0,2,0,1,1,2,2012
55446,"Parnell, IA","Ames, IA",0,2,0,0,0,2,0,2,0,2,2012
55471,"Parnell, IA","Ladora, IA",1,0,1,0,2,0,1,1,0,2,2012
55464,"Parnell, IA","Grinnell, IA",0,2,0,2,0,0,0,1,1,2,2012
55459,"Parnell, IA","Des Moines, IA",0,1,1,0,0,2,0,2,0,2,2012
55457,"Parnell, IA","Council Bluffs, IA",0,1,1,2,0,0,1,0,1,2,2012
55505,"Parnell, IA","Webster, IA",0,2,0,0,1,1,0,1,1,2,2012
55453,"Parnell, IA","Center Junction, IA",0,2,0,1,1,0,0,2,0,2,2012
55447,"Parnell, IA","Ankeny, IA",0,2,0,0,0,2,1,0,1,2,2012
55494,"Parnell, IA","Shueyville, IA",0,2,0,0,2,0,1,0,1,2,2012
55490,"Parnell, IA","Pomeroy, IA",0,0,1,0,0,1,0,0,1,1,2012
55489,"Parnell, IA","Pleasant Hill, IA",0,1,0,0,0,1,1,0,0,1,2012
55491,"Parnell, IA","Russell, IA",1,0,0,0,1,0,0,1,0,1,2012
55492,"Parnell, IA","Salem, IA",0,0,1,0,0,1,0,1,0,1,2012
55493,"Parnell, IA","Schleswig, IA",1,0,0,0,0,1,0,0,1,1,2012
55445,"Parnell, IA","Alden, IA",0,0,1,0,1,0,0,0,1,1,2012
55495,"Parnell, IA","Sigourney, IA",0,1,0,0,0,1,0,1,0,1,2012
55496,"Parnell, IA","St. Marys, IA",0,0,1,0,0,1,0,1,0,1,2012
55486,"Parnell, IA","Owasa, IA",0,1,0,0,0,1,1,0,0,1,2012
55498,"Parnell, IA","Tama, IA",0,1,0,0,0,1,0,1,0,1,2012
55499,"Parnell, IA","Tiffin, IA",0,1,0,0,0,1,0,0,1,1,2012
55500,"Parnell, IA","Toledo, IA",0,1,0,1,0,0,0,1,0,1,2012
55503,"Parnell, IA","Wapello, IA",0,0,1,0,0,1,0,0,1,1,2012
55504,"Parnell, IA","Wayland, IA",1,0,0,1,0,0,0,1,0,1,2012
55506,"Parnell, IA","Whittemore, IA",0,1,0,0,0,1,0,1,0,1,2012
55508,"Parnell, IA","Wilton, IA",0,0,1,0,0,1,0,0,1,1,2012
55497,"Parnell, IA","St. Paul, IA",0,0,1,0,0,1,0,1,0,1,2012
55477,"Parnell, IA","Montezuma, IA",1,0,0,0,0,1,0,0,1,1,2012
55485,"Parnell, IA","Ottumwa, IA",0,0,1,0,0,1,0,1,0,1,2012
55483,"Parnell, IA","Osceola, IA",0,1,0,0,0,1,1,0,0,1,2012
55448,"Parnell, IA","Belle Plaine, IA",0,1,0,0,1,0,1,0,0,1,2012
55449,"Parnell, IA","Bettendorf, IA",1,0,0,0,1,0,1,0,0,1,2012
55451,"Parnell, IA","Buffalo, IA",1,0,0,0,1,0,1,0,0,1,2012
55454,"Parnell, IA","Centerville, IA",0,0,1,0,0,1,0,1,0,1,2012
55455,"Parnell, IA","Columbus Junction, IA",0,1,0,0,0,1,0,1,0,1,2012
55456,"Parnell, IA","Coralville, IA",1,0,0,0,1,0,1,0,0,1,2012
55458,"Parnell, IA","Crawfordsville, IA",1,0,0,0,1,0,0,1,0,1,2012
55460,"Parnell, IA","Dysart, IA",0,0,1,1,0,0,0,1,0,1,2012
55461,"Parnell, IA","Elberon, IA",0,1,0,0,0,1,0,1,0,1,2012
55462,"Parnell, IA","Ely, IA",1,0,0,0,1,0,0,1,0,1,2012
55463,"Parnell, IA","Gibson, IA",0,1,0,0,0,1,0,1,0,1,2012
55465,"Parnell, IA","Hiawatha, IA",0,1,0,0,1,0,0,0,1,1,2012
55466,"Parnell, IA","Hills, IA",0,0,1,0,0,1,0,1,0,1,2012
55469,"Parnell, IA","Keokuk, IA",0,0,1,0,1,0,0,0,1,1,2012
55472,"Parnell, IA","Lisbon, IA",0,1,0,0,1,0,0,1,0,1,2012
55473,"Parnell, IA","Malcom, IA",0,1,0,0,1,0,0,1,0,1,2012
55475,"Parnell, IA","Marion, IA",1,0,0,0,1,0,0,1,0,1,2012
55476,"Parnell, IA","Middletown, IA",0,0,1,0,0,1,0,0,1,1,2012
55478,"Parnell, IA","Morrison, IA",0,1,0,1,0,0,0,0,1,1,2012
55479,"Parnell, IA","Muscatine, IA",1,0,0,0,0,1,0,0,1,1,2012
55482,"Parnell, IA","Osage, IA",0,1,0,0,0,1,1,0,0,1,2012
