,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
57252,"Pocahontas, IA","Havelock, IA",19,64,47,4,108,18,44,52,34,130,2012
57281,"Pocahontas, IA","Pocahontas, IA",19,42,32,0,80,13,39,29,25,93,2012
57276,"Pocahontas, IA","Ottosen, IA",18,48,26,0,77,15,32,37,23,92,2012
57282,"Pocahontas, IA","Pomeroy, IA",4,27,8,0,39,0,7,19,13,39,2012
57261,"Pocahontas, IA","Laurens, IA",10,14,13,0,33,4,10,21,6,37,2012
57277,"Pocahontas, IA","Palmer, IA",3,17,5,0,21,4,8,10,7,25,2012
57245,"Pocahontas, IA","Fonda, IA",6,11,6,0,21,2,6,13,4,23,2012
57266,"Pocahontas, IA","Manson, IA",1,7,4,0,9,3,0,9,3,12,2012
57254,"Pocahontas, IA","Humboldt, IA",5,3,4,0,9,3,4,4,4,12,2012
57246,"Pocahontas, IA","Fort Dodge, IA",2,4,3,1,7,1,2,4,3,9,2012
57288,"Pocahontas, IA","Rockwell City, IA",3,6,0,0,8,1,4,4,1,9,2012
57297,"Pocahontas, IA","Spencer, IA",0,4,4,0,6,2,1,2,5,8,2012
57241,"Pocahontas, IA","Emmetsburg, IA",3,4,1,0,5,3,1,4,3,8,2012
57249,"Pocahontas, IA","Graettinger, IA",1,4,3,0,5,3,2,4,2,8,2012
57306,"Pocahontas, IA","Webster City, IA",2,4,1,0,6,1,3,1,3,7,2012
57305,"Pocahontas, IA","Webb, IA",2,1,4,0,4,3,2,3,2,7,2012
57290,"Pocahontas, IA","Rutland, IA",2,5,0,0,4,3,2,2,3,7,2012
57269,"Pocahontas, IA","Milford, IA",0,2,4,0,3,3,0,1,5,6,2012
57289,"Pocahontas, IA","Ruthven, IA",1,4,0,0,1,4,1,2,2,5,2012
57272,"Pocahontas, IA","Newell, IA",0,2,3,0,5,0,0,2,3,5,2012
57268,"Pocahontas, IA","Mason City, IA",1,3,0,0,4,0,0,1,3,4,2012
57242,"Pocahontas, IA","Estherville, IA",0,3,1,0,3,1,0,0,4,4,2012
57302,"Pocahontas, IA","Truesdale, IA",0,3,0,0,3,0,0,3,0,3,2012
57212,"Pocahontas, IA","Albert City, IA",0,0,3,0,2,1,2,0,1,3,2012
57213,"Pocahontas, IA","Algona, IA",0,2,1,0,2,1,0,1,2,3,2012
57220,"Pocahontas, IA","Carroll, IA",1,2,0,0,2,1,1,0,2,3,2012
57309,"Pocahontas, IA","Whittemore, IA",0,3,0,0,3,0,2,0,1,3,2012
57287,"Pocahontas, IA","Rock Rapids, IA",1,2,0,0,1,2,1,1,1,3,2012
57286,"Pocahontas, IA","Rinard, IA",0,3,0,0,2,1,0,0,3,3,2012
57298,"Pocahontas, IA","Storm Lake, IA",0,2,1,0,3,0,0,0,3,3,2012
57295,"Pocahontas, IA","Sioux City, IA",3,0,0,0,2,1,3,0,0,3,2012
57236,"Pocahontas, IA","Dolliver, IA",0,1,2,0,2,1,1,1,1,3,2012
57216,"Pocahontas, IA","Aurelia, IA",0,3,0,0,3,0,1,0,2,3,2012
57256,"Pocahontas, IA","Indianola, IA",2,1,0,0,2,1,2,0,1,3,2012
57307,"Pocahontas, IA","West Bend, IA",1,0,1,0,1,1,0,2,0,2,2012
57304,"Pocahontas, IA","Wallingford, IA",0,0,2,0,2,0,0,2,0,2,2012
57291,"Pocahontas, IA","Sac City, IA",0,2,0,0,2,0,0,0,2,2,2012
57264,"Pocahontas, IA","Livermore, IA",0,1,1,0,2,0,0,2,0,2,2012
57292,"Pocahontas, IA","Schaller, IA",0,2,0,0,2,0,0,1,1,2,2012
57279,"Pocahontas, IA","Peterson, IA",0,1,1,0,2,0,1,1,0,2,2012
57259,"Pocahontas, IA","Knierim, IA",0,0,2,0,0,2,0,0,2,2,2012
57270,"Pocahontas, IA","Missouri Valley, IA",1,0,1,0,2,0,2,0,0,2,2012
57257,"Pocahontas, IA","Irwin, IA",1,1,0,0,2,0,1,0,1,2,2012
57274,"Pocahontas, IA","Orange City, IA",1,0,1,0,1,1,1,1,0,2,2012
57211,"Pocahontas, IA","Ackworth, IA",1,1,0,0,1,1,1,0,1,2,2012
57230,"Pocahontas, IA","Dakota City, IA",0,2,0,0,1,1,0,0,2,2,2012
57251,"Pocahontas, IA","Harcourt, IA",0,1,1,0,2,0,0,2,0,2,2012
57214,"Pocahontas, IA","Altoona, IA",0,1,1,0,1,1,1,0,1,2,2012
57228,"Pocahontas, IA","Council Bluffs, IA",1,0,1,0,2,0,1,1,0,2,2012
57240,"Pocahontas, IA","Ely, IA",1,1,0,0,1,1,2,0,0,2,2012
57243,"Pocahontas, IA","Everly, IA",0,0,2,0,2,0,1,1,0,2,2012
57244,"Pocahontas, IA","Farnhamville, IA",0,0,2,0,2,0,0,2,0,2,2012
57294,"Pocahontas, IA","Sheldon, IA",0,0,1,0,1,0,1,0,0,1,2012
57296,"Pocahontas, IA","Sioux Rapids, IA",0,1,0,0,1,0,0,1,0,1,2012
57224,"Pocahontas, IA","Clinton, IA",0,1,0,0,1,0,1,0,0,1,2012
57225,"Pocahontas, IA","Coon Rapids, IA",0,1,0,0,1,0,0,0,1,1,2012
57293,"Pocahontas, IA","Sergeant Bluff, IA",0,1,0,0,1,0,0,0,1,1,2012
57222,"Pocahontas, IA","Clarion, IA",0,1,0,0,1,0,0,1,0,1,2012
57226,"Pocahontas, IA","Corwith, IA",1,0,0,0,1,0,0,0,1,1,2012
57227,"Pocahontas, IA","Coulter, IA",0,1,0,0,1,0,1,0,0,1,2012
57229,"Pocahontas, IA","Curlew, IA",1,0,0,0,1,0,1,0,0,1,2012
57223,"Pocahontas, IA","Clear Lake, IA",1,0,0,0,1,0,1,0,0,1,2012
57255,"Pocahontas, IA","Ida Grove, IA",0,1,0,0,1,0,1,0,0,1,2012
