,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
64853,"South English, IA","Keota, IA",4,6,6,2,4,10,7,7,2,16,2012
64864,"South English, IA","Sigourney, IA",2,6,1,6,0,3,2,4,3,9,2012
64867,"South English, IA","Washington, IA",1,4,0,0,0,5,0,0,5,5,2012
64865,"South English, IA","South English, IA",3,0,2,1,0,4,3,0,2,5,2012
64869,"South English, IA","Webster, IA",1,1,2,0,1,3,2,2,0,4,2012
64871,"South English, IA","Williamsburg, IA",0,1,1,1,0,1,0,0,2,2,2012
64870,"South English, IA","Wellman, IA",1,0,1,0,0,2,1,1,0,2,2012
64860,"South English, IA","Packwood, IA",1,0,1,0,0,2,0,1,1,2,2012
64843,"South English, IA","Asbury, IA",0,1,0,1,0,0,0,0,1,1,2012
64859,"South English, IA","Orient, IA",0,1,0,1,0,0,1,0,0,1,2012
64868,"South English, IA","Waukee, IA",0,1,0,0,0,1,1,0,0,1,2012
64866,"South English, IA","Victor, IA",0,1,0,0,0,1,0,0,1,1,2012
64863,"South English, IA","Rome, IA",1,0,0,0,0,1,0,1,0,1,2012
64862,"South English, IA","Riverside, IA",1,0,0,0,0,1,0,1,0,1,2012
64861,"South English, IA","Richland, IA",0,0,1,0,0,1,0,0,1,1,2012
64858,"South English, IA","North Liberty, IA",0,0,1,0,0,1,1,0,0,1,2012
64844,"South English, IA","Delta, IA",1,0,0,1,0,0,0,1,0,1,2012
64857,"South English, IA","Mount Union, IA",0,1,0,0,0,1,0,0,1,1,2012
64856,"South English, IA","Madrid, IA",0,1,0,0,0,1,1,0,0,1,2012
64855,"South English, IA","Knoxville, IA",0,0,1,0,0,1,0,1,0,1,2012
64854,"South English, IA","Kinross, IA",0,0,1,0,0,1,1,0,0,1,2012
64852,"South English, IA","Kalona, IA",0,0,1,0,0,1,0,1,0,1,2012
64851,"South English, IA","Iowa City, IA",1,0,0,1,0,0,1,0,0,1,2012
64850,"South English, IA","Hedrick, IA",0,1,0,0,0,1,0,0,1,1,2012
64849,"South English, IA","Gibson, IA",1,0,0,0,1,0,1,0,0,1,2012
64848,"South English, IA","Fremont, IA",1,0,0,1,0,0,1,0,0,1,2012
64847,"South English, IA","Fairfield, IA",0,0,1,0,0,1,0,1,0,1,2012
64846,"South English, IA","Ely, IA",1,0,0,1,0,0,1,0,0,1,2012
64845,"South English, IA","Dysart, IA",1,0,0,0,0,1,1,0,0,1,2012
64872,"South English, IA","Winfield, IA",1,0,0,0,0,1,1,0,0,1,2012
