,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
66046,"Stacyville, IA","Stacyville, IA",20,36,26,40,27,15,32,26,24,82,2012
66038,"Stacyville, IA","Osage, IA",15,38,18,32,26,13,28,28,15,71,2012
66045,"Stacyville, IA","St. Ansgar, IA",5,17,10,16,11,5,13,11,8,32,2012
66030,"Stacyville, IA","Mitchell, IA",9,11,12,17,12,3,4,15,13,32,2012
66029,"Stacyville, IA","McIntire, IA",7,13,11,6,15,10,14,12,5,31,2012
66004,"Stacyville, IA","Colwell, IA",6,8,4,7,5,6,10,6,2,18,2012
66037,"Stacyville, IA","Northwood, IA",6,9,3,9,7,2,9,5,4,18,2012
66002,"Stacyville, IA","Chester, IA",3,5,0,0,2,6,3,3,2,8,2012
66028,"Stacyville, IA","Mason City, IA",0,3,5,5,3,0,3,3,2,8,2012
66013,"Stacyville, IA","Floyd, IA",2,4,1,7,0,0,0,7,0,7,2012
66010,"Stacyville, IA","Elma, IA",1,3,3,2,4,1,2,4,1,7,2012
66018,"Stacyville, IA","Joice, IA",1,5,0,2,4,0,4,0,2,6,2012
66006,"Stacyville, IA","Crystal Lake, IA",1,4,0,3,1,1,2,1,2,5,2012
65998,"Stacyville, IA","Buffalo Center, IA",2,2,0,0,4,0,3,1,0,4,2012
66019,"Stacyville, IA","Klemme, IA",0,2,1,2,0,1,0,1,2,3,2012
66016,"Stacyville, IA","Hampton, IA",1,1,1,1,2,0,1,1,1,3,2012
66023,"Stacyville, IA","Manly, IA",0,2,1,0,3,0,1,0,2,3,2012
66036,"Stacyville, IA","Nora Springs, IA",1,1,1,1,1,1,1,1,1,3,2012
66041,"Stacyville, IA","Rake, IA",0,2,0,2,0,0,0,2,0,2,2012
66025,"Stacyville, IA","Marble Rock, IA",2,0,0,2,0,0,1,1,0,2,2012
66034,"Stacyville, IA","New Hampton, IA",0,2,0,2,0,0,2,0,0,2,2012
66005,"Stacyville, IA","Cresco, IA",0,2,0,0,2,0,2,0,0,2,2012
65997,"Stacyville, IA","Britt, IA",0,0,2,0,2,0,0,0,2,2,2012
66044,"Stacyville, IA","Shell Rock, IA",1,1,0,0,0,2,1,1,0,2,2012
66033,"Stacyville, IA","New Albin, IA",0,1,0,0,1,0,0,1,0,1,2012
66032,"Stacyville, IA","Nashua, IA",0,0,1,0,1,0,1,0,0,1,2012
66031,"Stacyville, IA","Mitchellville, IA",1,0,0,0,1,0,0,0,1,1,2012
65994,"Stacyville, IA","Alden, IA",0,1,0,1,0,0,0,1,0,1,2012
66035,"Stacyville, IA","New Hartford, IA",0,1,0,0,0,1,1,0,0,1,2012
66039,"Stacyville, IA","Parkersburg, IA",0,0,1,0,0,1,0,1,0,1,2012
66042,"Stacyville, IA","Randalia, IA",1,0,0,0,1,0,0,1,0,1,2012
66043,"Stacyville, IA","Riverdale, IA",0,1,0,0,1,0,0,0,1,1,2012
66047,"Stacyville, IA","Thompson, IA",1,0,0,1,0,0,0,1,0,1,2012
66048,"Stacyville, IA","Urbana, IA",0,0,1,0,1,0,1,0,0,1,2012
66049,"Stacyville, IA","Waverly, IA",0,0,1,0,0,1,0,0,1,1,2012
66040,"Stacyville, IA","Protivin, IA",0,1,0,1,0,0,0,1,0,1,2012
66022,"Stacyville, IA","Luana, IA",1,0,0,0,1,0,1,0,0,1,2012
66027,"Stacyville, IA","Marshalltown, IA",0,1,0,0,1,0,0,1,0,1,2012
66026,"Stacyville, IA","Marquette, IA",0,1,0,1,0,0,0,0,1,1,2012
65996,"Stacyville, IA","Bettendorf, IA",1,0,0,1,0,0,0,1,0,1,2012
65999,"Stacyville, IA","Cedar Falls, IA",0,0,1,0,1,0,0,0,1,1,2012
66000,"Stacyville, IA","Cedar Rapids, IA",1,0,0,0,0,1,1,0,0,1,2012
66001,"Stacyville, IA","Charles City, IA",0,0,1,0,1,0,1,0,0,1,2012
66003,"Stacyville, IA","Clear Lake, IA",0,0,1,0,1,0,0,1,0,1,2012
66007,"Stacyville, IA","Denison, IA",0,1,0,0,0,1,0,1,0,1,2012
66008,"Stacyville, IA","Denver, IA",0,1,0,1,0,0,1,0,0,1,2012
66009,"Stacyville, IA","Dysart, IA",0,0,1,0,1,0,0,0,1,1,2012
66011,"Stacyville, IA","Estherville, IA",1,0,0,1,0,0,0,1,0,1,2012
66012,"Stacyville, IA","Fayette, IA",0,0,1,0,0,1,1,0,0,1,2012
66014,"Stacyville, IA","Forest City, IA",0,1,0,0,1,0,1,0,0,1,2012
66015,"Stacyville, IA","Grinnell, IA",0,0,1,0,1,0,1,0,0,1,2012
66017,"Stacyville, IA","Hawkeye, IA",0,1,0,0,1,0,0,1,0,1,2012
66020,"Stacyville, IA","Larrabee, IA",0,1,0,0,0,1,1,0,0,1,2012
66021,"Stacyville, IA","Lone Rock, IA",0,1,0,1,0,0,0,0,1,1,2012
65995,"Stacyville, IA","Algona, IA",0,1,0,0,1,0,0,0,1,1,2012
66024,"Stacyville, IA","Maquoketa, IA",0,0,1,1,0,0,0,0,1,1,2012
66050,"Stacyville, IA","West Union, IA",1,0,0,0,1,0,0,1,0,1,2012
