,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
71545,"Wallingford, IA","Estherville, IA",22,47,10,67,8,4,5,63,11,79,2012
71542,"Wallingford, IA","Dolliver, IA",5,10,8,16,3,4,6,8,9,23,2012
71535,"Wallingford, IA","Armstrong, IA",0,2,5,4,1,2,0,5,2,7,2012
71563,"Wallingford, IA","Wallingford, IA",3,3,1,5,1,1,3,3,1,7,2012
71547,"Wallingford, IA","Graettinger, IA",1,5,1,5,1,1,1,1,5,7,2012
71544,"Wallingford, IA","Emmetsburg, IA",0,4,1,1,0,4,5,0,0,5,2012
71559,"Wallingford, IA","Spirit Lake, IA",0,3,1,3,1,0,0,3,1,4,2012
71546,"Wallingford, IA","Fort Dodge, IA",3,0,1,4,0,0,2,2,0,4,2012
71564,"Wallingford, IA","West Bend, IA",0,3,0,2,1,0,0,3,0,3,2012
71532,"Wallingford, IA","Akron, IA",2,0,0,1,1,0,1,0,1,2,2012
71562,"Wallingford, IA","Terril, IA",0,2,0,0,0,2,0,0,2,2,2012
71550,"Wallingford, IA","Mason City, IA",1,1,0,1,1,0,1,1,0,2,2012
71549,"Wallingford, IA","Le Mars, IA",0,2,0,1,1,0,0,1,1,2,2012
71538,"Wallingford, IA","Charles City, IA",2,0,0,2,0,0,2,0,0,2,2012
71543,"Wallingford, IA","Eagle Grove, IA",1,0,0,1,0,0,0,1,0,1,2012
71556,"Wallingford, IA","Primghar, IA",0,1,0,1,0,0,0,1,0,1,2012
71534,"Wallingford, IA","Algona, IA",1,0,0,1,0,0,1,0,0,1,2012
71536,"Wallingford, IA","Belmond, IA",1,0,0,1,0,0,0,1,0,1,2012
71537,"Wallingford, IA","Carroll, IA",0,1,0,1,0,0,0,0,1,1,2012
71561,"Wallingford, IA","Swea City, IA",1,0,0,1,0,0,0,1,0,1,2012
71560,"Wallingford, IA","Superior, IA",1,0,0,1,0,0,0,1,0,1,2012
71558,"Wallingford, IA","Spencer, IA",0,1,0,0,0,1,0,1,0,1,2012
71557,"Wallingford, IA","Ruthven, IA",0,1,0,1,0,0,0,0,1,1,2012
71555,"Wallingford, IA","Pomeroy, IA",0,1,0,1,0,0,0,1,0,1,2012
71541,"Wallingford, IA","Dakota City, IA",1,0,0,1,0,0,0,0,1,1,2012
71554,"Wallingford, IA","Newell, IA",0,1,0,1,0,0,0,1,0,1,2012
71553,"Wallingford, IA","Missouri Valley, IA",0,1,0,0,0,1,0,0,1,1,2012
71552,"Wallingford, IA","Milford, IA",0,0,1,0,0,1,0,1,0,1,2012
71551,"Wallingford, IA","McIntire, IA",1,0,0,1,0,0,1,0,0,1,2012
71539,"Wallingford, IA","Cherokee, IA",0,1,0,1,0,0,0,0,1,1,2012
71533,"Wallingford, IA","Alden, IA",1,0,0,1,0,0,1,0,0,1,2012
71548,"Wallingford, IA","Lake Mills, IA",0,1,0,1,0,0,0,1,0,1,2012
71540,"Wallingford, IA","Council Bluffs, IA",0,1,0,1,0,0,1,0,0,1,2012
71565,"Wallingford, IA","Williamsburg, IA",0,0,1,0,1,0,1,0,0,1,2012
