,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
114,"Ackley, IA","Waterloo, IA",26,66,23,37,65,13,25,39,51,115,2013
57,"Ackley, IA","Iowa Falls, IA",19,56,33,22,68,18,24,50,34,108,2013
13,"Ackley, IA","Cedar Falls, IA",24,44,18,27,45,14,19,33,34,86,2013
0,"Ackley, IA","Ackley, IA",16,44,23,1,72,10,39,26,18,83,2013
117,"Ackley, IA","Wellsburg, IA",6,38,19,11,41,11,20,20,23,63,2013
83,"Ackley, IA","Owasa, IA",11,25,17,12,26,15,26,17,10,53,2013
35,"Ackley, IA","Eldora, IA",9,18,17,9,27,8,14,15,15,44,2013
84,"Ackley, IA","Parkersburg, IA",4,18,9,7,15,9,14,11,6,31,2013
46,"Ackley, IA","Grundy Center, IA",7,16,5,0,22,6,10,9,9,28,2013
71,"Ackley, IA","Marshalltown, IA",3,16,6,7,18,0,7,13,5,25,2013
73,"Ackley, IA","Morrison, IA",4,9,6,8,9,2,5,7,7,19,2013
14,"Ackley, IA","Cedar Rapids, IA",7,8,2,6,6,5,7,1,9,17,2013
39,"Ackley, IA","Evansdale, IA",2,8,3,4,7,2,3,6,4,13,2013
116,"Ackley, IA","Waverly, IA",3,7,2,3,7,2,3,7,2,12,2013
3,"Ackley, IA","Ames, IA",4,7,1,1,6,5,7,4,1,12,2013
48,"Ackley, IA","Hampton, IA",4,4,3,4,6,1,5,3,3,11,2013
26,"Ackley, IA","Des Moines, IA",4,6,1,6,4,1,2,4,5,11,2013
102,"Ackley, IA","Steamboat Rock, IA",1,7,2,1,3,6,0,6,4,10,2013
50,"Ackley, IA","Hiawatha, IA",4,4,0,0,2,6,4,3,1,8,2013
7,"Ackley, IA","Beaman, IA",2,4,1,4,3,0,2,2,3,7,2013
54,"Ackley, IA","Independence, IA",2,3,1,0,5,1,0,3,3,6,2013
1,"Ackley, IA","Alden, IA",1,4,1,3,2,1,0,2,4,6,2013
28,"Ackley, IA","Dike, IA",0,5,1,1,5,0,3,3,0,6,2013
18,"Ackley, IA","Clive, IA",3,1,1,0,5,0,3,2,0,5,2013
72,"Ackley, IA","Mason City, IA",0,4,1,0,1,4,2,2,1,5,2013
