,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
4122,"Asbury, IA","Dubuque, IA",854,2222,898,293,3138,543,1014,1288,1672,3974,2013
4083,"Asbury, IA","Asbury, IA",315,803,374,239,799,454,371,546,575,1492,2013
4225,"Asbury, IA","Sageville, IA",132,319,106,312,188,57,67,136,354,557,2013
4214,"Asbury, IA","Peosta, IA",74,142,54,185,49,36,57,113,100,270,2013
4103,"Asbury, IA","Cedar Rapids, IA",57,103,39,9,107,83,73,52,74,199,2013
4115,"Asbury, IA","Davenport, IA",51,80,34,27,90,48,64,42,59,165,2013
4156,"Asbury, IA","Hiawatha, IA",23,65,25,9,62,42,35,38,40,113,2013
4162,"Asbury, IA","Iowa City, IA",39,30,23,2,66,24,29,31,32,92,2013
4249,"Asbury, IA","Waterloo, IA",27,41,11,23,37,19,20,17,42,79,2013
4127,"Asbury, IA","Eldridge, IA",22,49,8,22,41,16,5,9,65,79,2013
4089,"Asbury, IA","Bettendorf, IA",28,35,12,0,35,40,32,20,23,75,2013
4124,"Asbury, IA","Dyersville, IA",11,40,20,11,36,24,18,23,30,71,2013
4136,"Asbury, IA","Farley, IA",12,39,14,33,22,10,6,19,40,65,2013
4120,"Asbury, IA","Des Moines, IA",16,36,12,5,32,27,9,13,42,64,2013
4110,"Asbury, IA","Clinton, IA",16,21,7,1,29,14,26,5,13,44,2013
4102,"Asbury, IA","Cedar Falls, IA",18,21,5,11,20,13,16,13,15,44,2013
4131,"Asbury, IA","Epworth, IA",10,25,8,2,36,5,9,12,22,43,2013
4194,"Asbury, IA","Muscatine, IA",13,17,7,5,17,15,16,9,12,37,2013
4177,"Asbury, IA","Manchester, IA",8,21,6,14,12,9,2,16,17,35,2013
4138,"Asbury, IA","Fort Atkinson, IA",3,17,10,0,30,0,16,8,6,30,2013
4114,"Asbury, IA","Coralville, IA",11,15,2,1,13,14,15,7,6,28,2013
4223,"Asbury, IA","Robins, IA",10,10,7,0,11,16,12,7,8,27,2013
4081,"Asbury, IA","Ankeny, IA",10,13,4,3,15,9,8,7,12,27,2013
4112,"Asbury, IA","Clive, IA",8,14,4,1,18,7,6,13,7,26,2013
4134,"Asbury, IA","Fairfax, IA",9,12,4,1,6,18,16,5,4,25,2013
4078,"Asbury, IA","Ames, IA",14,5,4,2,16,5,12,4,7,23,2013
4178,"Asbury, IA","Maquoketa, IA",6,8,5,0,10,9,5,8,6,19,2013
4238,"Asbury, IA","Tiffin, IA",5,7,7,0,7,12,8,4,7,19,2013
4245,"Asbury, IA","Urbandale, IA",6,8,3,2,10,5,3,8,6,17,2013
4159,"Asbury, IA","Independence, IA",1,9,7,4,8,5,2,5,10,17,2013
