,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
5713,"Bancroft, IA","Swea City, IA",9,12,9,2,17,11,12,12,6,30,2013
5686,"Bancroft, IA","Algona, IA",3,9,5,2,13,2,3,8,6,17,2013
5710,"Bancroft, IA","Mason City, IA",1,7,2,0,10,0,6,1,3,10,2013
5688,"Bancroft, IA","Armstrong, IA",2,3,5,3,6,1,5,0,5,10,2013
5709,"Bancroft, IA","Lone Rock, IA",2,4,2,3,3,2,0,6,2,8,2013
5698,"Bancroft, IA","Fenton, IA",1,1,4,1,2,3,1,1,4,6,2013
5692,"Bancroft, IA","Buffalo Center, IA",1,2,3,0,6,0,3,2,1,6,2013
5717,"Bancroft, IA","Woden, IA",4,1,1,0,4,2,2,3,1,6,2013
5700,"Bancroft, IA","Fort Dodge, IA",0,5,0,0,4,1,1,3,1,5,2013
5696,"Bancroft, IA","Crystal Lake, IA",0,1,2,3,0,0,0,2,1,3,2013
5701,"Bancroft, IA","Garner, IA",0,3,0,2,1,0,3,0,0,3,2013
5705,"Bancroft, IA","Humboldt, IA",0,1,2,1,1,1,1,0,2,3,2013
5697,"Bancroft, IA","Eagle Grove, IA",1,1,0,1,1,0,0,1,1,2,2013
5690,"Bancroft, IA","Belmond, IA",1,0,1,0,0,2,1,0,1,2,2013
5699,"Bancroft, IA","Forest City, IA",1,1,0,0,1,1,1,0,1,2,2013
5694,"Bancroft, IA","Clarion, IA",0,2,0,0,2,0,0,0,2,2,2013
5714,"Bancroft, IA","Waverly, IA",2,0,0,0,2,0,1,1,0,2,2013
5704,"Bancroft, IA","Havelock, IA",0,1,1,2,0,0,0,1,1,2,2013
5712,"Bancroft, IA","Ottosen, IA",0,1,1,2,0,0,0,0,2,2,2013
5707,"Bancroft, IA","Lakota, IA",0,1,1,0,1,1,1,1,0,2,2013
5691,"Bancroft, IA","Britt, IA",1,0,1,0,2,0,1,0,1,2,2013
5715,"Bancroft, IA","West Bend, IA",0,1,0,0,0,1,0,0,1,1,2013
5716,"Bancroft, IA","Whittemore, IA",0,1,0,1,0,0,0,1,0,1,2013
5711,"Bancroft, IA","Northwood, IA",0,1,0,0,1,0,0,1,0,1,2013
5702,"Bancroft, IA","Graettinger, IA",1,0,0,1,0,0,0,1,0,1,2013
5708,"Bancroft, IA","Ledyard, IA",0,0,1,1,0,0,1,0,0,1,2013
5706,"Bancroft, IA","Klemme, IA",1,0,0,0,0,1,1,0,0,1,2013
5703,"Bancroft, IA","Hampton, IA",1,0,0,0,1,0,0,1,0,1,2013
5687,"Bancroft, IA","Alta Vista, IA",1,0,0,1,0,0,1,0,0,1,2013
5695,"Bancroft, IA","Corwith, IA",0,0,1,0,0,1,0,1,0,1,2013
5693,"Bancroft, IA","Cedar Falls, IA",1,0,0,1,0,0,1,0,0,1,2013
5689,"Bancroft, IA","Bancroft, IA",0,0,1,0,0,1,0,0,1,1,2013
5718,"Bancroft, IA","Woolstock, IA",0,1,0,1,0,0,0,0,1,1,2013
